symbol,name,industry,screening_bucket,legacy_hit,new_strategy_hit,chip_radar_hit,signal_source,kronos_return,kronos_score,news_score,technical_score,realtime_score,confidence_score,hybrid_score,current_close,predicted_close,realtime_status,action,risk_note,stop_loss_price,take_profit_price,top10_main_force_buy_strength,top10_main_force_net_buy,official_broker_net_buy,foreign_buy_streak_days,branch_main_force_buy_streak_days,branch_main_force_leader,chip_data_date,chip_data_source,chip_data_source_status,top10_main_force_brokers,best_entry,short_entry,dip_reversal
8150.TW,南茂,半導體業,chip_watch,True,False,True,momentum-fallback,nan,100.0,56.2,50.0,100.0,95.0,78.43,nan,nan,盤中強勢,觀察,風險穩定,95.4000015258789,106.5,43.0,,,4.0,,,2026-09-21,TWSE T86 official,official-only,,True,True,False
6239.TW,力成,半導體業,chip_watch,True,False,True,momentum-fallback,nan,100.0,56.2,49.0,70.95070422535213,95.0,75.04507042253522,nan,nan,盤中強勢,觀察,風險穩定,,,40.2,,,4.0,,,2026-09-21,TWSE T86 official,official-only,,True,True,False
3022.TW,威強電,電腦及週邊設備業,chip_watch,False,False,True,momentum-fallback,nan,100.0,50.0,50.0,63.8461538461538,95.0,73.29461538461538,nan,nan,盤中強勢,觀察,風險穩定,,,40.1,,,3.0,,,2026-09-21,TWSE T86 official,official-only,,True,True,False
7827.TW,漢康-KY創,生技醫療業,chip_watch,False,False,True,momentum-fallback,nan,100.0,50.0,42.0,50.0,95.0,70.30000000000001,nan,nan,持平,觀察,技術結構偏空,,,40.0,,,3.0,,,2026-09-21,TWSE T86 official,official-only,,True,True,False
3550.TW,聯穎,電子零組件業,chip_watch,False,False,True,momentum-fallback,nan,100.0,50.0,42.0,73.6286919831224,95.0,72.97286919831225,nan,nan,盤中強勢,觀察,技術結構偏空,,,40.1,,,4.0,,,2026-09-21,TWSE T86 official,official-only,,False,True,False
4906.TW,正文,通信網路業,chip_watch,False,False,True,momentum-fallback,nan,100.0,50.0,42.0,78.3783783783784,95.0,73.46783783783785,nan,nan,盤中強勢,觀察,技術結構偏空,37.20000076293945,39.55000305175781,40.3,,,4.0,,,2026-09-21,TWSE T86 official,official-only,,True,False,False
2885.TW,元大金,金融保險業,chip_watch,True,False,True,momentum-fallback,nan,100.0,50.0,50.0,54.00000000000005,95.0,72.65,nan,nan,小幅走強,觀察,風險穩定,70.9000015258789,73.60000610351562,40.5,,,4.0,,,2026-09-21,TWSE T86 official,official-only,,False,False,False
2409.TW,友達,光電業,chip_watch,False,False,True,momentum-fallback,nan,100.0,50.0,57.0,100.0,95.0,82.69000000000001,nan,nan,盤中強勢,觀察,風險穩定,,,89.9,,,1.0,,,2026-09-21,TWSE T86 official,official-only,,False,False,False
6168.TW,宏齊,光電業,chip_watch,False,False,True,momentum-fallback,nan,100.0,50.0,57.0,100.0,95.0,78.96000000000001,nan,nan,盤中強勢,觀察,風險穩定,,,40.6,,,7.0,,,2026-09-21,TWSE T86 official,official-only,,False,False,False
3312.TW,弘憶股,電子通路業,chip_watch,False,False,True,momentum-fallback,nan,100.0,50.0,58.0,99.31506849315068,95.0,78.75150684931506,nan,nan,盤中強勢,觀察,風險穩定,53.29999923706055,59.89999771118164,40.2,,,4.0,,,2026-09-21,TWSE T86 official,official-only,,False,False,False
2855.TW,統一證,金融保險業,chip_watch,False,False,True,momentum-fallback,nan,100.0,50.0,58.0,100.0,95.0,78.64999999999999,nan,nan,盤中強勢,觀察,風險穩定,53.5,56.599998474121094,41.5,,,3.0,,,2026-09-21,TWSE T86 official,official-only,,False,False,False
3037.TW,欣興,電子零組件業,chip_watch,False,False,True,momentum-fallback,nan,100.0,50.0,65.0,77.82874617736996,95.0,77.72287461773699,nan,nan,盤中強勢,觀察,風險穩定,,,40.4,,,3.0,,,2026-09-21,TWSE T86 official,official-only,,False,False,False
7799.TW,禾榮科,生技醫療業,chip_watch,False,False,True,momentum-fallback,nan,100.0,50.0,58.0,75.00000000000007,95.0,76.30000000000001,nan,nan,盤中強勢,觀察,風險穩定,,,40.0,,,4.0,,,2026-09-21,TWSE T86 official,official-only,,False,False,False
2254.TW,巨鎧精密-創,汽車工業,chip_watch,False,False,True,momentum-fallback,nan,100.0,50.0,58.0,68.22916666666671,95.0,75.33291666666668,nan,nan,盤中強勢,觀察,風險穩定,,,40.1,,,3.0,,,2026-09-21,TWSE T86 official,official-only,,False,False,False
3617.TW,碩天,其他電子業,chip_watch,False,False,True,momentum-fallback,nan,100.0,50.0,58.0,58.53658536585367,95.0,74.95365853658537,nan,nan,小幅走強,觀察,風險穩定,,,40.0,,,7.0,,,2026-09-21,TWSE T86 official,official-only,,False,False,False
6416.TW,瑞祺電通,通信網路業,chip_watch,False,False,True,momentum-fallback,nan,100.0,50.0,58.0,55.833333333333314,95.0,74.68333333333334,nan,nan,小幅走強,觀察,風險穩定,,,40.0,,,5.0,,,2026-09-21,TWSE T86 official,official-only,,False,False,False
2520.TW,冠德,建材營造,chip_watch,False,False,True,momentum-fallback,nan,100.0,50.0,58.0,56.44736842105269,95.0,74.15473684210527,nan,nan,小幅走強,觀察,風險穩定,,,40.1,,,3.0,,,2026-09-21,TWSE T86 official,official-only,,False,False,False
2495.TW,普安,電腦及週邊設備業,chip_watch,False,False,True,momentum-fallback,nan,100.0,50.0,50.0,69.31668856767423,95.0,74.13166885676743,nan,nan,盤中強勢,觀察,風險穩定,39.099998474121094,42.29999542236328,40.0,,,4.0,,,2026-09-21,TWSE T86 official,official-only,,False,False,False
4770.TW,上品,化學工業,chip_watch,False,False,True,momentum-fallback,nan,100.0,50.0,50.0,68.12749003984062,95.0,74.01274900398407,nan,nan,盤中強勢,觀察,風險穩定,,,40.0,,,4.0,,,2026-09-21,TWSE T86 official,official-only,,False,False,False
2033.TW,佳大,鋼鐵工業,chip_watch,False,False,True,momentum-fallback,nan,100.0,50.0,58.0,51.032448377581254,95.0,73.90324483775812,nan,nan,持平,觀察,風險穩定,,,40.0,,,4.0,,,2026-09-21,TWSE T86 official,official-only,,False,False,False
2206.TW,三陽工業,汽車工業,chip_watch,False,False,True,momentum-fallback,nan,100.0,50.0,58.0,46.72386895475819,95.0,73.17238689547582,nan,nan,小幅走弱,觀察,風險穩定,64.5999984741211,66.69999694824219,40.0,,,3.0,,,2026-09-21,TWSE T86 official,official-only,,False,False,False
4722.TW,國精化,化學工業,chip_watch,False,False,True,momentum-fallback,nan,100.0,50.0,50.0,55.54089709762533,95.0,72.75408970976254,nan,nan,小幅走強,觀察,風險穩定,207.5,238.0,40.0,,,4.0,,,2026-09-21,TWSE T86 official,official-only,,False,False,False
2603.TW,長榮,航運業,chip_watch,False,False,True,momentum-fallback,nan,100.0,50.0,50.0,54.365904365904406,95.0,72.66659043659045,nan,nan,小幅走強,觀察,風險穩定,245.5,265.5,40.3,,,4.0,,,2026-09-21,TWSE T86 official,official-only,,False,False,False
2637.TW,慧洋-KY,航運業,chip_watch,False,False,True,momentum-fallback,nan,100.0,50.0,50.0,53.4313725490196,95.0,72.55313725490197,nan,nan,小幅走強,觀察,風險穩定,105.0,114.0999984741211,40.1,,,4.0,,,2026-09-21,TWSE T86 official,official-only,,False,False,False
8464.TW,億豐,居家生活,chip_watch,False,False,True,momentum-fallback,nan,100.0,50.0,50.0,50.0,95.0,72.5,nan,nan,持平,觀察,風險穩定,387.0,414.0,40.0,,,10.0,,,2026-09-21,TWSE T86 official,official-only,,False,False,False
3708.TW,上緯投控,綠能環保,chip_watch,False,False,True,momentum-fallback,nan,100.0,50.0,42.0,71.71664943123064,95.0,72.47166494312307,nan,nan,盤中強勢,觀察,技術結構偏空,100.5,107.69999694824219,40.0,,,3.0,,,2026-09-21,TWSE T86 official,official-only,,False,False,False
2480.TW,敦陽科,資訊服務業,chip_watch,False,False,True,momentum-fallback,nan,100.0,50.0,50.0,47.87878787878787,95.0,72.28787878787878,nan,nan,小幅走弱,觀察,風險穩定,,,40.0,,,9.0,,,2026-09-21,TWSE T86 official,official-only,,False,False,False
1808.TW,潤隆,建材營造,chip_watch,False,False,True,momentum-fallback,nan,100.0,50.0,50.0,50.0,95.0,71.91,nan,nan,持平,觀察,風險穩定,37.349998474121094,41.79999542236328,40.1,,,3.0,,,2026-09-21,TWSE T86 official,official-only,,False,False,False
1514.TW,亞力,電機機械,chip_watch,False,False,True,momentum-fallback,nan,100.0,50.0,42.0,56.89655172413792,95.0,70.99965517241378,nan,nan,小幅走強,觀察,技術結構偏空,105.0,110.5999984741211,40.1,,,3.0,,,2026-09-21,TWSE T86 official,official-only,,False,False,False
