symbol,name,industry,screening_bucket,legacy_hit,new_strategy_hit,chip_radar_hit,signal_source,kronos_return,kronos_score,news_score,technical_score,realtime_score,confidence_score,hybrid_score,current_close,predicted_close,realtime_status,action,risk_note,stop_loss_price,take_profit_price,top10_main_force_buy_strength,top10_main_force_net_buy,official_broker_net_buy,foreign_buy_streak_days,branch_main_force_buy_streak_days,branch_main_force_leader,chip_data_date,chip_data_source,chip_data_source_status,top10_main_force_brokers,best_entry,short_entry,dip_reversal
2892.TW,第一金,金融保險業,chip_watch,False,False,True,kronos,0.047891792199715066,78.73507531982904,52.6,54.0,61.58620689655181,75.0,65.62589705159535,36.849998474121094,38.614810943603516,盤中強勢,等待確認,風險穩定,36.349998474121094,40.249996185302734,42.2,,,10.0,,,2026-09-03,TWSE T86 official,official-only,,False,False,False
2889.TW,國票金,金融保險業,chip_confirmed,False,False,True,kronos,0.034443468160265445,70.66608089615926,52.6,54.0,69.68749999999997,75.0,63.50187831365574,16.450000762939453,17.0165958404541,盤中強勢,等待確認,風險穩定,16.205768585205078,17.097829818725586,44.1,,,4.0,,,2026-09-03,TWSE T86 official,official-only,,False,False,False
7769.TW,鴻勁,半導體業,chip_watch,False,False,True,kronos,0.03501866615204419,71.01119969122651,52.6,54.0,69.61471103327489,75.0,62.90539099525677,5870.0,6075.5595703125,盤中強勢,等待確認,風險穩定,,,40.0,,,3.0,,,2026-09-03,TWSE T86 official,official-only,,False,False,False
6239.TW,力成,半導體業,legacy_watch,True,False,False,kronos,0.1366654829545455,100.0,52.6,50.0,50.0,75.0,65.39,275.0,312.5830078125,無即時資料,等待確認,風險穩定,,,0.0,,,0.0,,,2026-09-03,TWSE T86 official,official-only,,False,False,False
3036.TW,文曄,電子通路業,legacy_watch,True,False,False,kronos,0.15966868963767222,100.0,52.6,42.0,63.101604278074916,75.0,65.1001604278075,190.5,220.91688537597656,盤中強勢,等待確認,技術結構偏空,,,0.0,,,0.0,,,2026-09-03,TWSE T86 official,official-only,,False,False,False
