symbol,name,industry,screening_bucket,legacy_hit,new_strategy_hit,chip_radar_hit,signal_source,kronos_return,kronos_score,news_score,technical_score,realtime_score,hybrid_score,current_close,predicted_close,realtime_status,action,risk_note,top10_main_force_buy_strength,top10_main_force_net_buy,foreign_buy_streak_days,branch_main_force_buy_streak_days,branch_main_force_leader,chip_data_date,chip_data_source,chip_data_source_status,top10_main_force_brokers
2509.TW,全坤建,建材營造,chip_watch,False,False,True,kronos,0.02035439962001062,62.21263977200637,50.0,54.0,57.92452830188679,58.97750873899123,13.399999618530273,13.672748565673828,小幅走強,觀察,風險穩定,40.0,,6.0,,,2026-06-24,TWSE T86 official,official-only,
1805.TW,寶徠,建材營造,chip_watch,False,False,True,kronos,0.02808391080537831,66.85034648322699,50.0,50.0,46.634615384615316,58.90360013175233,10.350000381469727,10.640668869018555,小幅走弱,觀察,風險穩定,40.0,,4.0,,,2026-06-24,TWSE T86 official,official-only,
6873.TW,泓德能源,綠能環保,chip_watch,False,False,True,kronos,0.023330428711577422,63.99825722694645,50.0,50.0,52.56723716381417,58.35602660716,82.0999984741211,84.01542663574219,小幅走強,觀察,風險穩定,40.0,,3.0,,,2026-06-24,TWSE T86 official,official-only,
3596.TW,智易,通信網路業,chip_watch,False,False,True,kronos,0.01692590958032847,60.155545748197085,50.0,50.0,66.5354330708661,58.21576160636545,195.0,198.30055236816406,盤中強勢,觀察,風險穩定,40.3,,3.0,,,2026-06-24,TWSE T86 official,official-only,
2836.TW,高雄銀,金融保險業,chip_watch,False,False,True,kronos,0.02355032783523292,64.13019670113975,50.0,48.0,52.85714285714289,58.037792966170194,12.300000190734863,12.589669227600098,小幅走強,觀察,風險穩定,40.1,,4.0,,,2026-06-24,TWSE T86 official,official-only,
1527.TW,鑽全,電機機械,chip_watch,False,False,True,kronos,0.026423890954758056,65.85433457285484,50.0,44.0,53.13432835820895,57.95516666496284,33.650001525878906,34.53916549682617,小幅走強,觀察,風險穩定,40.0,,3.0,,,2026-06-24,TWSE T86 official,official-only,
1434.TW,福懋,紡織纖維,chip_confirmed,False,False,True,kronos,0.015244758326316887,59.146854995790136,50.0,49.0,68.58407079646021,57.81714907796208,17.399999618530273,17.665258407592773,盤中強勢,觀察,風險穩定,40.5,,8.0,,,2026-06-24,TWSE T86 official,official-only,
8466.TW,美吉吉-KY,其他,chip_watch,False,False,True,kronos,0.00942088039656741,55.652528237940444,50.0,54.0,54.375000000000064,55.99851129517618,16.100000381469727,16.251676559448242,小幅走強,觀察,風險穩定,40.0,,3.0,,,2026-06-24,TWSE T86 official,official-only,
6890.TW,來億-KY,運動休閒,chip_watch,False,False,True,kronos,0.0004279844222530027,50.2567906533518,50.0,53.0,71.82952182952187,55.38566844429291,248.0,248.10614013671875,盤中強勢,觀察,風險穩定,40.0,,3.0,,,2026-06-24,TWSE T86 official,official-only,
9931.TW,欣高,油電燃氣業,chip_watch,False,False,True,kronos,0.0026991590321492342,51.61949541928954,50.0,58.0,43.01994301994302,54.04979246971013,34.75,34.84379577636719,小幅走弱,觀察,風險穩定,40.0,,4.0,,,2026-06-24,TWSE T86 official,official-only,
2330.TW,台積電,半導體業,legacy_watch,True,False,False,kronos,0.039268946946914296,73.56136816814858,66.0,50.0,50.0,65.12454726725943,2390.0,2483.852783203125,無即時資料,等待確認,風險穩定,0.0,0.0,0.0,0.0,,2026-06-24,TWSE T86 official,degraded,
2891.TW,中信金,金融保險業,legacy_watch,True,False,False,kronos,0.04277118634818167,75.662711808909,50.0,58.0,57.01001430615158,65.06608615417876,70.5999984741211,73.61964416503906,小幅走強,等待確認,風險穩定,0.0,0.0,0.0,0.0,,2026-06-24,TWSE T86 official,degraded,
