symbol,name,industry,screening_bucket,legacy_hit,new_strategy_hit,chip_radar_hit,signal_source,kronos_return,kronos_score,news_score,technical_score,realtime_score,confidence_score,hybrid_score,current_close,predicted_close,realtime_status,action,risk_note,stop_loss_price,take_profit_price,top10_main_force_buy_strength,top10_main_force_net_buy,foreign_buy_streak_days,branch_main_force_buy_streak_days,branch_main_force_leader,chip_data_date,chip_data_source,chip_data_source_status,top10_main_force_brokers,best_entry,short_entry
2646.TW,星宇航空,航運業,chip_watch,False,False,True,kronos,0.011108560019786218,56.66513601187173,51.4,50.0,54.964539007092284,75.0,56.06925150486433,21.299999237060547,21.536611557006836,小幅走強,觀察,風險穩定,,,40.3,,5.0,,,2026-08-21,TWSE T86 official,official-only,,True,True
1101.TW,台泥,水泥工業,chip_watch,False,False,True,kronos,0.02621188209868519,65.72712925921111,51.4,50.0,51.411290322580605,75.0,54.25562427298194,24.850000381469727,25.501365661621094,持平,觀察,風險穩定,,,0.0,0.0,3.0,0.0,,2026-08-21,TWSE T86 official,degraded,,False,True
3711.TW,日月光投控,半導體業,chip_watch,True,False,True,kronos,0.039646025207623614,73.78761512457416,59.0,50.0,46.440677966101674,75.0,62.36973309021113,587.0,610.272216796875,小幅走弱,等待確認,風險穩定,,,40.5,,7.0,,,2026-08-21,TWSE T86 official,official-only,,False,False
6770.TW,力積電,半導體業,chip_watch,True,False,True,kronos,0.03650051727070691,71.90031036242415,59.0,56.0,61.44130757800903,75.0,59.259239384649355,68.4000015258789,70.89663696289062,盤中強勢,觀察,風險穩定,,,0.0,5560.0,0.0,2.0,國泰-敦南,2026-08-20,TWSE T86 official + HiStock branch,official+broker,國泰-敦南、凱基-台北、兆豐-松德、群益金鼎-大安、元大-內湖、永豐金-大園、富邦-北港、台新-永和、美好-苗栗、富邦-台中,False,False
2612.TW,中航,航運業,chip_confirmed,False,False,True,kronos,0.15860376759014239,100.0,51.4,50.0,67.88756388415666,75.0,72.50875638841568,60.20000076293945,69.7479476928711,盤中強勢,研究重點,風險穩定,59.5,68.20000076293945,40.1,,5.0,,,2026-08-21,TWSE T86 official,official-only,,False,False
6141.TW,柏承,電子零組件業,chip_watch,False,False,True,kronos,0.1564749274409314,100.0,51.4,32.0,73.09442548350391,75.0,69.4294425483504,45.400001525878906,52.503963470458984,盤中強勢,等待確認,技術結構偏空,,,40.1,,5.0,,,2026-08-21,TWSE T86 official,official-only,,False,False
5876.TW,上海商銀,金融保險業,chip_watch,False,False,True,kronos,0.0664210917585435,89.85265505512609,51.4,52.0,58.01832760595644,75.0,68.43026202988978,44.150001525878906,47.08249282836914,小幅走強,等待確認,風險穩定,43.900001525878906,46.150001525878906,40.7,,5.0,,,2026-08-21,TWSE T86 official,official-only,,False,False
2489.TW,瑞軒,光電業,chip_watch,False,False,True,kronos,0.05239606849719336,81.43764109831602,51.4,45.0,100.0,75.0,67.6531743844106,35.650001525878906,37.517921447753906,盤中強勢,等待確認,風險穩定,,,40.4,,3.0,,,2026-08-21,TWSE T86 official,official-only,,False,False
2515.TW,中工,建材營造,chip_watch,False,False,True,kronos,0.06714344024658203,90.28606414794922,51.4,50.0,52.928870292887,75.0,67.05300948107092,12.0,12.805721282958984,小幅走強,等待確認,風險穩定,,,40.5,,3.0,,,2026-08-21,TWSE T86 official,official-only,,False,False
1503.TW,士電,電機機械,chip_watch,False,False,True,kronos,0.05054277476697866,80.3256648601872,51.4,54.0,51.73697270471458,75.0,64.20767997153698,202.0,212.2096405029297,持平,等待確認,風險穩定,,,40.1,,3.0,,,2026-08-21,TWSE T86 official,official-only,,False,False
1229.TW,聯華,食品工業,chip_watch,False,False,True,kronos,0.035246451926808975,71.14787115608539,51.4,62.0,55.8263971462545,75.0,63.624394619255334,42.400001525878906,43.89445114135742,小幅走強,等待確認,風險穩定,42.29999923706055,44.14999771118164,40.3,,5.0,,,2026-08-21,TWSE T86 official,official-only,,False,False
1802.TW,台玻,玻璃陶瓷,chip_watch,False,False,True,kronos,0.06837023810201859,91.02214286121115,51.4,50.0,48.78682842287696,75.0,62.6464328437116,57.599998474121094,61.538124084472656,持平,等待確認,風險穩定,,,0.0,2125.0,1.0,2.0,台灣摩根士丹利,2026-08-20,TWSE T86 official + HiStock branch,official+broker,台灣摩根士丹利、玉山-景美、永豐金-信義、富邦-新竹、富邦-陽明、新光、元大-蘆洲中正、台新-烏日、元大-竹科、統一,False,False
2204.TW,中華,汽車工業,chip_watch,False,False,True,kronos,0.04168958831315184,75.01375298789111,51.4,46.0,51.27272727272736,75.0,61.302086273034625,55.099998474121094,57.3970947265625,持平,觀察,風險穩定,,,40.1,,6.0,,,2026-08-21,TWSE T86 official,official-only,,False,False
1718.TW,中纖,化學工業,chip_watch,False,False,True,kronos,0.023311454974583645,63.986872984750185,51.4,50.0,73.67149758454102,75.0,60.23255530311666,10.699999809265137,10.949432373046875,盤中強勢,觀察,風險穩定,,,40.6,,4.0,,,2026-08-21,TWSE T86 official,official-only,,False,False
1710.TW,東聯,化學工業,chip_confirmed,False,False,True,kronos,0.01798274721975357,60.78964833185214,51.4,50.0,79.93421052631587,75.0,59.439797968779835,15.850000381469727,16.135026931762695,盤中強勢,觀察,風險穩定,15.5,17.399999618530273,40.6,,3.0,,,2026-08-21,TWSE T86 official,official-only,,False,False
