symbol,name,industry,screening_bucket,legacy_hit,new_strategy_hit,chip_radar_hit,signal_source,kronos_return,kronos_score,news_score,technical_score,realtime_score,hybrid_score,current_close,predicted_close,realtime_status,action,risk_note,top10_main_force_buy_strength,top10_main_force_net_buy,foreign_buy_streak_days,branch_main_force_buy_streak_days,branch_main_force_leader,chip_data_date,chip_data_source,chip_data_source_status,top10_main_force_brokers
3481.TW,群創,光電業,chip_watch,True,False,True,kronos,0.10349068712832321,100.0,51.5,58.0,71.53846153846146,76.55384615384614,67.0,73.93387603759766,盤中強勢,研究重點,風險穩定,0.0,26175.0,0.0,2.0,國泰-敦南,2026-06-26,TWSE T86 official + HiStock branch,official+broker,國泰-敦南、新光、永豐金-埔里、國泰-台中、國泰-板橋、美好-富順、中國信託、新百王、元大-雙和、統一-台中
2887.TW,台新新光金,金融保險業,chip_watch,True,False,True,kronos,0.0381668553207859,72.90011319247154,51.5,52.0,74.1379310344828,64.7738383804369,33.0,34.25950622558594,盤中強勢,等待確認,風險穩定,0.0,0.0,3.0,0.0,,2026-06-29,TWSE T86 official,degraded,
7610.TW,聯友金屬-創,綠能環保,chip_watch,False,False,True,kronos,0.10270135788690471,100.0,51.5,50.0,75.92592592592588,75.39259259259259,2100.0,2315.6728515625,盤中強勢,研究重點,風險穩定,40.0,,5.0,,,2026-06-29,TWSE T86 official,official-only,
1736.TW,喬山,運動休閒,chip_confirmed,False,False,True,kronos,0.0714369372511463,92.86216235068778,51.5,50.0,100.0,74.94486494027511,129.5,138.75108337402344,盤中強勢,研究重點,風險穩定,40.1,,4.0,,,2026-06-29,TWSE T86 official,official-only,
8499.TW,鼎炫-KY,其他電子業,chip_watch,False,False,True,kronos,0.3275357835886934,100.0,51.5,50.0,71.00000000000001,74.9,309.0,410.20855712890625,盤中強勢,研究重點,風險穩定,40.0,,3.0,,,2026-06-29,TWSE T86 official,official-only,
2383.TW,台光電,電子零組件業,chip_watch,False,False,True,kronos,0.16686156106651384,100.0,51.5,42.0,75.97526165556616,73.7975261655566,5450.0,6359.3955078125,盤中強勢,研究重點,技術結構偏空,40.0,,3.0,,,2026-06-29,TWSE T86 official,official-only,
6505.TW,台塑化,油電燃氣業,chip_watch,False,False,True,kronos,0.08564678399976611,100.0,51.5,40.0,73.55140186915885,73.15514018691589,55.29999923706055,60.0362663269043,盤中強勢,研究重點,風險穩定,40.4,,4.0,,,2026-06-29,TWSE T86 official,official-only,
7780.TW,大研生醫*,食品工業,chip_watch,False,False,True,kronos,0.11435532987199726,100.0,51.5,48.0,55.86592178770955,72.98659217877095,18.049999237060547,20.114112854003906,小幅走強,研究重點,風險穩定,40.0,,4.0,,,2026-06-29,TWSE T86 official,official-only,
3530.TW,晶相光,半導體業,chip_watch,False,False,True,kronos,0.07016828297224231,92.10096978334539,55.5,42.0,56.2130177514794,69.4616896884861,68.19999694824219,72.9854736328125,小幅走強,等待確認,技術結構偏空,40.0,,3.0,,,2026-06-29,TWSE T86 official,official-only,
9914.TW,美利達,運動休閒,chip_confirmed,False,False,True,kronos,0.037521949181190006,72.513169508714,51.5,61.0,91.84782608695663,68.19005041218128,78.0,80.92671203613281,盤中強勢,等待確認,風險穩定,40.4,,4.0,,,2026-06-29,TWSE T86 official,official-only,
2485.TW,兆赫,通信網路業,chip_watch,False,False,True,kronos,0.06256490084828714,87.53894050897229,51.5,42.0,64.7509578544061,67.69067198902952,53.29999923706055,56.634708404541016,盤中強勢,等待確認,技術結構偏空,40.2,,3.0,,,2026-06-29,TWSE T86 official,official-only,
2360.TW,致茂,其他電子業,chip_watch,False,False,True,kronos,0.043110656738281294,75.86639404296878,51.5,62.0,65.47911547911549,67.09446916509906,2080.0,2169.670166015625,盤中強勢,等待確認,風險穩定,40.0,,10.0,,,2026-06-29,TWSE T86 official,official-only,
3543.TW,州巧,光電業,chip_watch,False,False,True,kronos,0.06368730366730446,88.21238220038268,51.5,42.0,53.690685413005326,66.85402142145361,28.600000381469727,30.421457290649414,小幅走強,等待確認,技術結構偏空,40.0,,3.0,,,2026-06-29,TWSE T86 official,official-only,
2467.TW,志聖,電子零組件業,chip_watch,False,False,True,kronos,0.028602854857754823,67.1617129146529,51.5,74.0,61.24999999999996,65.58968516586116,569.0,585.2750244140625,盤中強勢,等待確認,風險穩定,0.0,,3.0,,,2026-06-29,TWSE T86 official,official-only,
