symbol,name,industry,screening_bucket,legacy_hit,new_strategy_hit,chip_radar_hit,signal_source,kronos_return,kronos_score,news_score,technical_score,realtime_score,confidence_score,hybrid_score,current_close,predicted_close,realtime_status,action,risk_note,stop_loss_price,take_profit_price,top10_main_force_buy_strength,top10_main_force_net_buy,foreign_buy_streak_days,branch_main_force_buy_streak_days,branch_main_force_leader,chip_data_date,chip_data_source,chip_data_source_status,top10_main_force_brokers,best_entry,short_entry
2489.TW,瑞軒,光電業,chip_watch,True,False,True,kronos,0.06339678901261814,88.03807340757089,51.5,44.0,100.0,75.0,65.3383256926498,40.54999923706055,43.1207389831543,盤中強勢,等待確認,技術結構偏空,,,0.0,5475.0,1.0,1.0,康和,2026-08-24,TWSE T86 official + HiStock branch,official+broker,康和、港商野村、凱基、凱基-台北、美好-市政、國泰、國泰-敦南、元大-士林、台新-宜蘭、中國信託,False,False
2344.TW,華邦電,半導體業,chip_watch,True,False,True,kronos,0.034002208176937776,70.40132490616267,61.3,44.0,57.909604519773936,75.0,56.326424169134334,179.0,185.08639526367188,小幅走強,觀察,風險穩定,,,0.0,7238.0,0.0,2.0,新加坡商瑞銀,2026-08-24,TWSE T86 official + HiStock branch,official+broker,新加坡商瑞銀、美商高盛、國泰-敦南、元大-台北、國泰、富邦-桃園、大昌-安康、元大-桃興、大和國泰141141179.83宏遠-館前13376-362177.99永豐金-大園、國票-九鼎,False,False
2408.TW,南亞科,半導體業,chip_watch,True,False,True,kronos,0.016948864506740158,60.169318704044095,61.3,50.0,62.57485029940122,75.0,54.41174657635555,510.0,518.6439208984375,盤中強勢,觀察,風險穩定,,,0.0,4390.0,0.0,2.0,新加坡商瑞銀,2026-08-24,TWSE T86 official + HiStock branch,official+broker,"新加坡商瑞銀、國泰-敦南、永豐金、新光、元大-中山北路、大和國泰199199527.73凱基-台北2,7123,436-724520.71凱基-站前、花旗環球、台中銀-豐原、國泰-板橋、國泰-台中",False,False
6443.TW,元晶,光電業,chip_watch,False,False,True,kronos,0.223268527710061,100.0,51.5,66.0,66.2475822050289,75.0,74.9497582205029,26.450000762939453,32.35545349121094,盤中強勢,研究重點,風險穩定,,,40.0,,3.0,,,2026-08-25,TWSE T86 official,official-only,,False,False
6861.TW,睿生光電,生技醫療業,chip_watch,False,False,True,kronos,0.13492584228515625,100.0,51.5,58.0,51.86666666666662,75.0,72.21166666666666,188.0,213.36605834960938,持平,研究重點,風險穩定,,,40.0,,4.0,,,2026-08-25,TWSE T86 official,official-only,,False,False
2383.TW,台光電,電子零組件業,chip_watch,False,False,True,kronos,0.06584780286528158,89.50868171916895,51.5,54.0,71.27071823204417,75.0,65.98011042491355,5595.0,5963.41845703125,盤中強勢,等待確認,風險穩定,,,0.0,,8.0,,,2026-08-25,TWSE T86 official,official-only,,False,False
6213.TW,聯茂,電子零組件業,chip_watch,False,False,True,kronos,0.04598711121757071,77.59226673054243,51.5,40.0,100.0,75.0,65.89229335568986,530.0,554.3731689453125,盤中強勢,等待確認,風險穩定,,,40.1,,10.0,,,2026-08-25,TWSE T86 official,official-only,,False,False
2886.TW,兆豐金,金融保險業,chip_watch,False,False,True,kronos,0.01557402915142947,59.34441749085768,51.5,50.0,52.24119530416213,75.0,56.98966565221641,47.0,47.73197937011719,小幅走強,觀察,風險穩定,,,42.7,,9.0,,,2026-08-25,TWSE T86 official,official-only,,False,False
2812.TW,台中銀,金融保險業,chip_watch,False,False,True,kronos,0.018752708787230343,61.2516252723382,51.5,50.0,46.325459317585285,75.0,56.2356147770769,18.950000762939453,19.30536460876465,小幅走弱,觀察,風險穩定,,,40.4,,3.0,,,2026-08-25,TWSE T86 official,official-only,,False,False
