symbol,name,industry,screening_bucket,legacy_hit,new_strategy_hit,chip_radar_hit,signal_source,kronos_return,kronos_score,news_score,technical_score,realtime_score,confidence_score,hybrid_score,current_close,predicted_close,realtime_status,action,risk_note,stop_loss_price,take_profit_price,top10_main_force_buy_strength,top10_main_force_net_buy,official_broker_net_buy,foreign_buy_streak_days,branch_main_force_buy_streak_days,branch_main_force_leader,chip_data_date,chip_data_source,chip_data_source_status,top10_main_force_brokers,best_entry,short_entry,dip_reversal
2330.TW,台積電,半導體業,legacy_watch,True,False,False,kronos,0.05717358094528002,84.30414856716801,51.3,52.0,50.0,75.0,64.4414519985088,2410.0,2547.788330078125,無即時資料,等待確認,風險穩定,,,40.4,,,1.0,,,2026-09-04,TWSE T86 official,official-only,,True,True,False
2548.TW,華固,建材營造,chip_watch,False,False,True,kronos,0.006137146353161427,53.682287811896856,51.3,75,58.23529411764703,75.0,59.7073301459286,94.5999984741211,95.18057250976562,小幅走強,觀察,風險穩定,,,40.0,,,3.0,,,2026-09-04,TWSE T86 official,official-only,,False,True,False
3231.TW,緯創,電腦及週邊設備業,chip_watch,True,False,True,kronos,0.03569439204052238,71.41663522431344,51.3,62.0,85.27851458885935,75.0,66.85867378739563,198.0,205.06748962402344,盤中強勢,等待確認,風險穩定,,,45.4,,,4.0,,,2026-09-04,TWSE T86 official,official-only,,False,False,False
2356.TW,英業達,電腦及週邊設備業,chip_watch,False,False,True,kronos,0.20940969961660882,100.0,51.3,40.0,76.92307692307699,75.0,71.6673076923077,67.5,81.6351547241211,盤中強勢,研究重點,風險穩定,,,42.8,,,5.0,,,2026-09-04,TWSE T86 official,official-only,,False,False,False
5471.TW,松翰,半導體業,chip_watch,False,False,True,kronos,0.11542624903867749,100.0,51.3,50.0,64.02337228714535,75.0,71.50733722871453,61.099998474121094,68.15254211425781,盤中強勢,研究重點,風險穩定,,,40.1,,,3.0,,,2026-09-04,TWSE T86 official,official-only,,False,False,False
2485.TW,兆赫,通信網路業,chip_watch,False,False,True,kronos,0.4196794231808165,100.0,51.3,50.0,60.31941031941017,75.0,71.42694103194101,41.29999923706055,58.63275909423828,小幅走強,研究重點,風險穩定,,,40.0,,,4.0,,,2026-09-04,TWSE T86 official,official-only,,False,False,False
2347.TW,聯強,電子通路業,chip_watch,False,False,True,kronos,0.06330134651877661,87.98080791126597,51.3,40.0,62.96296296296286,75.0,65.56457906523937,88.0,93.57051849365234,盤中強勢,等待確認,技術結構偏空,,,40.8,,,4.0,,,2026-09-04,TWSE T86 official,official-only,,False,False,False
2455.TW,全新,通信網路業,chip_watch,False,False,True,kronos,0.044801191850142086,76.88071511008525,51.3,50.0,54.00000000000005,75.0,62.41325028852984,528.0,551.655029296875,小幅走強,等待確認,風險穩定,,,40.1,,,3.0,,,2026-09-04,TWSE T86 official,official-only,,False,False,False
5876.TW,上海商銀,金融保險業,chip_watch,False,False,True,kronos,0.02839123502844587,67.03474101706752,51.3,42.0,55.33188248095744,75.0,57.84034760406938,46.29999923706055,47.6145133972168,小幅走強,觀察,風險穩定,,,40.5,,,4.0,,,2026-09-04,TWSE T86 official,official-only,,False,False,False
2892.TW,第一金,金融保險業,chip_watch,False,False,True,kronos,0.008561694445606394,55.13701666736384,51.3,54.0,58.54816824966067,75.0,56.957772658543405,37.29999923706055,37.61935043334961,小幅走強,觀察,風險穩定,,,43.1,,,10.0,,,2026-09-04,TWSE T86 official,official-only,,False,False,False
3376.TW,新日興,電子零組件業,chip_watch,False,False,True,kronos,0.000980539909471334,50.5883239456828,51.3,50.0,74.01960784313732,75.0,55.20287416530271,211.0,211.20689392089844,盤中強勢,觀察,風險穩定,,,40.0,,,3.0,,,2026-09-04,TWSE T86 official,official-only,,False,False,False
3481.TW,群創,光電業,legacy_watch,True,False,False,kronos,0.01754446127980036,60.52667676788022,51.3,48.0,55.82120582120582,75.0,51.561457450878656,48.5,49.35090637207031,小幅走強,觀察,風險穩定,,,0.0,,,0.0,,,2026-09-04,TWSE T86 official,official-only,,False,False,False
