symbol,name,industry,screening_bucket,legacy_hit,new_strategy_hit,chip_radar_hit,signal_source,kronos_return,kronos_score,news_score,technical_score,realtime_score,hybrid_score,current_close,predicted_close,realtime_status,action,risk_note,top10_main_force_buy_strength,top10_main_force_net_buy,foreign_buy_streak_days,branch_main_force_buy_streak_days,branch_main_force_leader,chip_data_date,chip_data_source,chip_data_source_status,top10_main_force_brokers
3481.TW,群創,光電業,chip_watch,True,False,True,kronos,0.011809331009922097,57.08559860595326,50.0,48.0,100.0,59.934239442381305,64.4000015258789,65.1605224609375,盤中強勢,觀察,風險穩定,0.0,173031.0,0.0,1.0,富邦,2026-06-18,TWSE T86 official + HiStock branch,official+broker,富邦、凱基-台北、凱基-信義、國票-敦北法人、統一-城中、凱基-城中、國票-安和、元大、群益金鼎、中國信託-松江
2408.TW,南亞科,半導體業,chip_watch,True,False,True,kronos,0.008304234817056555,54.982540890233935,52.0,52.0,86.04118993135003,58.89713534922858,459.5,463.3157958984375,盤中強勢,觀察,風險穩定,0.0,18040.0,0.0,3.0,元大,2026-06-18,TWSE T86 official + HiStock branch,official+broker,元大、美林、元大-松江、凱基-永和、玉山、國泰、港商麥格理、群益金鼎、統一、宏遠
6919.TW,康霈*,生技醫療業,chip_watch,False,False,True,kronos,0.11833904861310196,100.0,50.0,48.0,100.0,77.1,109.0,121.89895629882812,盤中強勢,研究重點,風險穩定,0.0,0.0,6.0,0.0,,2026-06-18,TWSE T86 official,degraded,
3150.TW,鈺寶-創,半導體業,chip_watch,False,False,True,kronos,0.08354897533777828,100.0,52.0,58.0,69.12568306010931,76.41256830601093,18.799999237060547,20.37071990966797,盤中強勢,研究重點,風險穩定,0.0,,3.0,,,2026-06-18,TWSE T86 official,official-only,
6558.TW,興能高,其他電子業,chip_watch,False,False,True,kronos,0.11201031523782068,100.0,50.0,60.0,59.1803278688525,75.41803278688525,30.899999618530273,34.36111831665039,小幅走強,研究重點,風險穩定,40.0,,5.0,,,2026-06-18,TWSE T86 official,official-only,
2228.TW,劍麟,汽車工業,chip_watch,False,False,True,kronos,0.37215303571036684,100.0,50.0,50.0,56.349206349206305,73.13492063492063,89.0,122.12162017822266,小幅走強,研究重點,風險穩定,40.0,,5.0,,,2026-06-18,TWSE T86 official,official-only,
8442.TW,威宏-KY,其他,chip_watch,False,False,True,kronos,0.08320479633349853,99.92287780009912,50.0,50.0,50.86956521739132,72.55610764177878,40.29999923706055,43.65315246582031,持平,研究重點,風險穩定,40.0,,5.0,,,2026-06-18,TWSE T86 official,official-only,
2634.TW,漢翔,航運業,chip_watch,False,False,True,kronos,0.09087012839123143,100.0,50.0,50.0,50.0,72.5,47.20000076293945,51.489070892333984,持平,研究重點,風險穩定,40.0,,8.0,,,2026-06-18,TWSE T86 official,official-only,
1806.TW,冠軍,玻璃陶瓷,chip_watch,False,False,True,kronos,0.12129240268490626,100.0,50.0,46.0,54.28396572827423,72.12839657282743,8.220000267028809,9.217023849487305,小幅走強,研究重點,風險穩定,40.0,,4.0,,,2026-06-18,TWSE T86 official,official-only,
8499.TW,鼎炫-KY,其他電子業,chip_watch,False,False,True,kronos,0.3027611782676296,100.0,50.0,45.0,51.15321252059306,71.6153212520593,304.0,396.0393981933594,持平,研究重點,風險穩定,40.0,,3.0,,,2026-06-18,TWSE T86 official,official-only,
