symbol,name,industry,screening_bucket,legacy_hit,new_strategy_hit,chip_radar_hit,signal_source,kronos_return,kronos_score,news_score,technical_score,realtime_score,confidence_score,hybrid_score,current_close,predicted_close,realtime_status,action,risk_note,stop_loss_price,take_profit_price,top10_main_force_buy_strength,top10_main_force_net_buy,foreign_buy_streak_days,branch_main_force_buy_streak_days,branch_main_force_leader,chip_data_date,chip_data_source,chip_data_source_status,top10_main_force_brokers
2105.TW,正新,橡膠工業,chip_watch,False,False,True,kronos,0.04163090509851508,74.97854305910906,50.3,50.0,45.73820395738196,75.0,61.41131046642637,32.650001525878906,34.00925064086914,小幅走弱,觀察,風險穩定,,,40.5,,9.0,,,2026-07-14,TWSE T86 official,official-only,
2889.TW,國票金,金融保險業,legacy_watch,True,False,False,kronos,0.031127140399023423,68.67628423941406,50.3,50.0,43.37539432176652,75.0,53.419238915971576,15.699999809265137,16.188695907592773,小幅走弱,觀察,風險穩定,,,0.0,,0.0,,,2026-07-14,TWSE T86 official,official-only,
