symbol,name,industry,screening_bucket,legacy_hit,new_strategy_hit,chip_radar_hit,signal_source,kronos_return,kronos_score,news_score,technical_score,realtime_score,confidence_score,hybrid_score,current_close,predicted_close,realtime_status,action,risk_note,stop_loss_price,take_profit_price,top10_main_force_buy_strength,top10_main_force_net_buy,official_broker_net_buy,foreign_buy_streak_days,branch_main_force_buy_streak_days,branch_main_force_leader,chip_data_date,chip_data_source,chip_data_source_status,top10_main_force_brokers,best_entry,short_entry,dip_reversal
7822.TW,倍利科,半導體業,chip_watch,False,False,True,kronos,0.74472900390625,100.0,50.4,60.0,84.5679012345679,75.0,75.41679012345679,850.0,1483.0196533203125,盤中強勢,研究重點,風險穩定,,,40.0,,,3.0,,,2026-09-17,TWSE T86 official,official-only,,False,False,False
6168.TW,宏齊,光電業,chip_watch,False,False,True,kronos,0.0061172207420261415,53.670332445215685,50.0,46.0,100.0,75.0,58.50461635582549,35.349998474121094,35.56624221801758,盤中強勢,觀察,風險穩定,,,40.2,,,5.0,,,2026-09-17,TWSE T86 official,official-only,,False,False,False
8464.TW,億豐,居家生活,chip_watch,False,False,True,kronos,0.027062824428481624,66.23769465708898,50.0,50.0,47.192513368983946,75.0,58.40244446687954,372.5,382.5809020996094,小幅走弱,觀察,風險穩定,,,40.0,,,8.0,,,2026-09-17,TWSE T86 official,official-only,,False,False,False
2472.TW,立隆電,電子零組件業,chip_watch,False,False,True,kronos,0.0309412382203611,68.56474293221666,50.0,50.0,43.34916864608074,75.0,54.83257689088391,208.5,214.9512481689453,小幅走弱,觀察,風險穩定,,,0.0,,,8.0,,,2026-09-17,TWSE T86 official,official-only,,False,False,False
2409.TW,友達,光電業,legacy_watch,True,False,False,kronos,0.24693692525227862,100.0,50.0,62.0,64.2857142857143,75.0,74.51857142857142,30.0,37.40810775756836,盤中強勢,研究重點,風險穩定,,,50.9,,,2.0,,,2026-09-17,TWSE T86 official,official-only,,False,False,False
2449.TW,京元電子,半導體業,legacy_watch,True,False,False,kronos,0.1320302135539504,100.0,50.4,41.0,50.0,75.0,67.91000000000001,265.0,299.9880065917969,無即時資料,等待確認,技術結構偏空,,,40.5,,,2.0,,,2026-09-17,TWSE T86 official,official-only,,False,False,False
