symbol,name,industry,screening_bucket,legacy_hit,new_strategy_hit,chip_radar_hit,signal_source,kronos_return,kronos_score,news_score,technical_score,realtime_score,confidence_score,hybrid_score,current_close,predicted_close,realtime_status,action,risk_note,stop_loss_price,take_profit_price,top10_main_force_buy_strength,top10_main_force_net_buy,official_broker_net_buy,foreign_buy_streak_days,branch_main_force_buy_streak_days,branch_main_force_leader,chip_data_date,chip_data_source,chip_data_source_status,top10_main_force_brokers,best_entry,short_entry,dip_reversal
9910.TW,豐泰,運動休閒,chip_watch,False,False,True,kronos,0.014177447467030202,58.50646848021812,51.0,52.0,59.143686502177005,75.0,57.45163261829404,69.80000305175781,70.78958892822266,小幅走強,觀察,風險穩定,,,40.1,,,5.0,,,2026-09-07,TWSE T86 official,official-only,,True,True,False
2330.TW,台積電,半導體業,legacy_watch,True,False,False,kronos,0.06459415094639231,88.75649056783539,51.0,61.0,50.0,75.0,68.34477169874239,2460.0,2618.901611328125,無即時資料,等待確認,風險穩定,2445.0,2555.0,43.3,,,2.0,,,2026-09-07,TWSE T86 official,official-only,,True,True,False
2454.TW,聯發科,半導體業,chip_watch,False,False,True,kronos,0.16084989659926463,100.0,51.0,54.0,100.0,75.0,75.93,4760.0,5525.6455078125,盤中強勢,研究重點,風險穩定,,,40.8,,,3.0,,,2026-09-07,TWSE T86 official,official-only,,False,False,False
2409.TW,友達,光電業,chip_watch,False,False,True,kronos,0.07812765624873319,96.87659374923992,51.0,40.0,99.62686567164174,75.0,74.70949437939814,28.700000762939453,30.942264556884766,盤中強勢,研究重點,技術結構偏空,,,73.9,,,1.0,,,2026-09-07,TWSE T86 official,official-only,,False,False,False
3673.TW,TPK-KY,光電業,chip_watch,False,False,True,kronos,0.10694010508157081,100.0,51.0,50.0,53.206106870229,75.0,70.3806106870229,65.80000305175781,72.83666229248047,小幅走強,研究重點,風險穩定,,,40.1,,,3.0,,,2026-09-07,TWSE T86 official,official-only,,False,False,False
2886.TW,兆豐金,金融保險業,chip_watch,False,False,True,kronos,0.09320733889990374,100.0,51.0,40.0,59.18264379414746,75.0,69.71826437941475,50.20000076293945,54.87900924682617,小幅走強,等待確認,風險穩定,,,41.5,,,10.0,,,2026-09-07,TWSE T86 official,official-only,,False,False,False
3037.TW,欣興,電子零組件業,chip_watch,False,False,True,kronos,0.04267212814475774,75.60327688685464,51.0,42.0,86.47450110864739,75.0,64.19859702126386,949.0,989.495849609375,盤中強勢,等待確認,技術結構偏空,,,40.4,,,10.0,,,2026-09-07,TWSE T86 official,official-only,,False,False,False
2412.TW,中華電,通信網路業,chip_watch,False,False,True,kronos,0.01143845267917798,56.86307160750679,51.0,52.0,52.54545454545456,75.0,56.22662051717283,138.0,139.57850646972656,小幅走強,觀察,風險穩定,,,40.2,,,5.0,,,2026-09-07,TWSE T86 official,official-only,,False,False,False
2493.TW,揚博,電子零組件業,chip_watch,False,False,True,kronos,0.0067273015561311045,54.036380933678664,51.0,54.0,59.641873278236936,75.0,55.72692065461123,184.0,185.23782348632812,小幅走強,觀察,風險穩定,,,40.0,,,3.0,,,2026-09-07,TWSE T86 official,official-only,,False,False,False
