symbol,name,industry,screening_bucket,legacy_hit,new_strategy_hit,chip_radar_hit,signal_source,kronos_return,kronos_score,news_score,technical_score,realtime_score,hybrid_score,current_close,predicted_close,realtime_status,action,risk_note,top10_main_force_buy_strength,top10_main_force_net_buy,foreign_buy_streak_days,branch_main_force_buy_streak_days,branch_main_force_leader,chip_data_date,chip_data_source,chip_data_source_status,top10_main_force_brokers
6715.TW,嘉基,電子零組件業,chip_watch,False,False,True,kronos,0.36811815204855014,100.0,50.5,55.0,100.0,78.6,569.0,778.459228515625,盤中強勢,研究重點,風險穩定,40.1,,5.0,,,2026-06-23,TWSE T86 official,official-only,
2426.TW,鼎元,光電業,chip_watch,False,False,True,kronos,0.3882395175580007,100.0,50.5,61.0,87.37486095661839,78.53748609566185,94.69999694824219,131.46627807617188,盤中強勢,研究重點,風險穩定,41.4,,4.0,,,2026-06-23,TWSE T86 official,official-only,
6472.TW,保瑞,生技醫療業,chip_watch,False,False,True,kronos,0.07717940641887089,96.30764385132252,50.5,62.0,77.30496453900702,76.25355399442971,439.5,473.42034912109375,盤中強勢,研究重點,風險穩定,40.1,,4.0,,,2026-06-23,TWSE T86 official,official-only,
1477.TW,聚陽,紡織纖維,chip_watch,False,False,True,kronos,0.0890103362327399,100.0,50.5,54.0,54.91803278688525,73.89180327868853,215.0,234.13722229003906,小幅走強,研究重點,風險穩定,40.2,,3.0,,,2026-06-23,TWSE T86 official,official-only,
1517.TW,利奇,電機機械,chip_watch,False,False,True,kronos,0.13839685428011328,100.0,50.5,54.0,46.6666666666666,73.06666666666666,10.449999809265137,11.896246910095215,小幅走弱,研究重點,風險穩定,40.0,,3.0,,,2026-06-23,TWSE T86 official,official-only,
6952.TW,大武山,其他,chip_watch,False,False,True,kronos,0.24417106784500553,100.0,50.5,50.0,47.08333333333334,72.30833333333334,35.849998474121094,44.60353088378906,小幅走弱,研究重點,風險穩定,40.0,,3.0,,,2026-06-23,TWSE T86 official,official-only,
2258.TW,鴻華先進-創,汽車工業,chip_watch,False,False,True,kronos,0.12543453889734613,100.0,50.5,48.0,45.90643274853797,71.7906432748538,34.0,38.264774322509766,小幅走弱,研究重點,風險穩定,40.0,,3.0,,,2026-06-23,TWSE T86 official,official-only,
6921.TW,嘉雨思-創,半導體業,chip_watch,False,False,True,kronos,0.18937824794224323,100.0,52.0,38.0,57.977207977208,71.2977207977208,70.0,83.25647735595703,小幅走強,研究重點,技術結構偏空,40.0,,4.0,,,2026-06-23,TWSE T86 official,official-only,
3017.TW,奇鋐,電腦及週邊設備業,chip_watch,False,False,True,kronos,0.11026639014175266,100.0,50.5,40.0,51.44628099173549,70.74462809917355,2425.0,2692.39599609375,持平,研究重點,風險穩定,40.0,,5.0,,,2026-06-23,TWSE T86 official,official-only,
2028.TW,威致,鋼鐵工業,chip_watch,False,False,True,kronos,0.0762636755177537,95.75820531065222,50.5,50.0,47.91044776119401,70.69432690038029,16.700000762939453,17.973604202270508,持平,研究重點,風險穩定,40.0,,3.0,,,2026-06-23,TWSE T86 official,official-only,
6541.TW,泰福-KY,生技醫療業,chip_watch,False,False,True,kronos,0.04785561809668093,78.71337085800856,50.5,62.0,71.38660399529975,68.6240087427334,43.849998474121094,45.94846725463867,盤中強勢,等待確認,風險穩定,40.0,,3.0,,,2026-06-23,TWSE T86 official,official-only,
2645.TW,長榮航太,航運業,chip_watch,False,False,True,kronos,0.06998023657015495,91.98814194209297,50.5,40.0,50.0,67.39525677683719,173.5,185.64157104492188,持平,等待確認,風險穩定,40.0,,4.0,,,2026-06-23,TWSE T86 official,official-only,
2712.TW,遠雄來,觀光餐旅,chip_watch,False,False,True,kronos,0.058473141571980136,85.08388494318808,50.5,50.0,50.0,66.63355397727523,15.149999618530273,16.03586769104004,持平,等待確認,風險穩定,40.0,,3.0,,,2026-06-23,TWSE T86 official,official-only,
2904.TW,匯僑,其他,chip_watch,False,False,True,kronos,0.05256472135844992,81.53883281506995,50.5,42.0,52.46478873239444,63.86201199926743,14.25,14.99904727935791,小幅走強,等待確認,風險穩定,40.0,,3.0,,,2026-06-23,TWSE T86 official,official-only,
3016.TW,嘉晶,半導體業,chip_watch,False,False,True,kronos,0.007654008709016447,54.59240522540987,52.0,61.0,100.0,61.93696209016395,152.5,153.667236328125,盤中強勢,觀察,風險穩定,40.2,,3.0,,,2026-06-23,TWSE T86 official,official-only,
1531.TW,高林股,電機機械,chip_watch,False,False,True,kronos,0.01413715019927353,58.48229011956412,50.5,54.0,50.0,56.792916047825656,12.899999618530273,13.082368850708008,持平,觀察,風險穩定,40.0,,7.0,,,2026-06-23,TWSE T86 official,official-only,
2303.TW,聯電,半導體業,legacy_watch,True,False,False,kronos,0.014211048799402493,58.5266292796415,52.0,61.0,50.0,58.5106517118566,170.0,172.41587829589844,無即時資料,觀察,風險穩定,0.0,0.0,1.0,0.0,,2026-06-23,TWSE T86 official,degraded,
