symbol,name,industry,screening_bucket,legacy_hit,new_strategy_hit,chip_radar_hit,signal_source,kronos_return,kronos_score,news_score,technical_score,realtime_score,confidence_score,hybrid_score,current_close,predicted_close,realtime_status,action,risk_note,stop_loss_price,take_profit_price,top10_main_force_buy_strength,top10_main_force_net_buy,foreign_buy_streak_days,branch_main_force_buy_streak_days,branch_main_force_leader,chip_data_date,chip_data_source,chip_data_source_status,top10_main_force_brokers
2409.TW,友達,光電業,chip_watch,True,False,True,kronos,0.11147300562431961,100.0,50.0,46.0,69.05626134301272,75.0,66.30562613430128,28.299999237060547,31.45468521118164,盤中強勢,等待確認,風險穩定,,,0.0,18491.0,0.0,1.0,新加坡商瑞銀,2026-07-14,TWSE T86 official + HiStock branch,official+broker,新加坡商瑞銀、凱基-台北、國泰-敦南、永豐金-屏東、元大、元大-大雅、群益金鼎-竹南、元大-北屯、富邦-嘉義、富邦-永和
2883.TW,凱基金,17,chip_watch,True,False,True,kronos,0.07579006461768278,95.47403877060967,50.0,30.0,65.42372881355931,75.0,61.85828645106931,30.149999618530273,32.4350700378418,盤中強勢,觀察,技術結構偏空,,,0.0,0.0,3.0,0.0,,2026-07-15,TWSE T86 official,degraded,
9907.TW,統一實,其他,chip_watch,False,False,True,kronos,0.02986558864486799,67.9193531869208,50.0,56.0,54.60526315789487,75.0,60.39229993121177,15.300000190734863,15.756943702697754,小幅走強,觀察,風險穩定,,,40.6,,3.0,,,2026-07-15,TWSE T86 official,official-only,
2329.TW,華泰,半導體業,legacy_watch,True,False,False,kronos,0.10288312435868185,100.0,50.0,42.0,50.0,75.0,67.73,51.400001525878906,56.688194274902344,無即時資料,等待確認,技術結構偏空,,,40.3,,1.0,,,2026-07-15,TWSE T86 official,official-only,
3041.TW,揚智,半導體業,legacy_watch,True,False,False,kronos,0.058394635206202805,85.03678112372168,50.0,50.0,50.0,75.0,64.06287339330258,26.399999618530273,27.941617965698242,無即時資料,等待確認,風險穩定,,,40.0,,1.0,,,2026-07-15,TWSE T86 official,official-only,
2609.TW,陽明,航運業,legacy_watch,True,False,False,kronos,0.03002501058350515,68.01500635010309,50.0,50.0,82.08333333333337,75.0,61.54358555586942,50.20000076293945,51.70725631713867,盤中強勢,觀察,風險穩定,,,42.3,,1.0,,,2026-07-15,TWSE T86 official,official-only,
