symbol,name,industry,screening_bucket,legacy_hit,new_strategy_hit,chip_radar_hit,signal_source,kronos_return,kronos_score,news_score,technical_score,realtime_score,confidence_score,hybrid_score,current_close,predicted_close,realtime_status,action,risk_note,stop_loss_price,take_profit_price,top10_main_force_buy_strength,top10_main_force_net_buy,foreign_buy_streak_days,branch_main_force_buy_streak_days,branch_main_force_leader,chip_data_date,chip_data_source,chip_data_source_status,top10_main_force_brokers,best_entry,short_entry
9802.TW,鈺齊-KY,運動休閒,chip_confirmed,False,False,True,kronos,0.015273966051537746,59.164379630922646,52.0,45.0,85.34361851332406,75.0,59.05189472215533,74.9000015258789,76.04402160644531,盤中強勢,觀察,風險穩定,74.0999984741211,79.5999984741211,40.1,,5.0,,,2026-08-11,TWSE T86 official,official-only,,True,True
2393.TW,億光,光電業,chip_watch,False,False,True,kronos,0.015468657566375166,59.2811945398251,52.0,52.0,70.19230769230778,75.0,58.99764885816957,64.19999694824219,65.19308471679688,盤中強勢,觀察,風險穩定,,,40.3,,6.0,,,2026-08-11,TWSE T86 official,official-only,,False,True
6770.TW,力積電,半導體業,chip_watch,True,False,True,kronos,0.05771431994082321,84.62859196449392,55.2,50.0,43.78698224852076,75.0,60.27870541242494,67.0,70.86685943603516,小幅走弱,觀察,風險穩定,,,0.0,10485.0,1.0,1.0,美商高盛,2026-08-10,TWSE T86 official + HiStock branch,official+broker,美商高盛、兆豐-松德、台新、港商野村、花旗環球、凱基-東港、兆豐-鹿港、第一金-自由、富邦-台北、美好-富順,False,False
4739.TW,康普,化學工業,chip_watch,False,False,True,kronos,0.14658711611772413,100.0,52.0,54.0,53.21839080459776,75.0,71.32183908045977,87.4000015258789,100.21171569824219,小幅走強,研究重點,風險穩定,,,40.0,,3.0,,,2026-08-11,TWSE T86 official,official-only,,False,False
3019.TW,亞光,光電業,chip_watch,False,False,True,kronos,0.09515436144842626,100.0,52.0,42.0,68.2156133828996,75.0,70.43156133828995,138.0,151.1313018798828,盤中強勢,研究重點,風險穩定,136.0,154.0,40.1,,3.0,,,2026-08-11,TWSE T86 official,official-only,,False,False
1904.TW,正隆,造紙工業,chip_watch,False,False,True,kronos,0.06829841769471456,90.97905061682874,52.0,54.0,58.67768595041327,75.0,69.35043631093139,24.5,26.173311233520508,小幅走強,等待確認,風險穩定,,,40.4,,7.0,,,2026-08-11,TWSE T86 official,official-only,,False,False
7799.TW,禾榮科,生技醫療業,chip_watch,False,False,True,kronos,0.1678244078059714,100.0,52.0,40.0,51.955307262569846,75.0,68.39553072625698,359.0,419.24896240234375,持平,等待確認,風險穩定,,,40.0,,3.0,,,2026-08-11,TWSE T86 official,official-only,,False,False
2002.TW,中鋼,鋼鐵工業,chip_watch,False,False,True,kronos,0.0767199359362638,96.03196156175828,52.0,54.0,53.56234096692123,75.0,66.97742064330751,19.75,21.26521873474121,小幅走強,等待確認,風險穩定,,,0.1,73281.0,5.0,2.0,美商高盛,2026-08-10,TWSE T86 official + HiStock branch,official+broker,美商高盛、台灣摩根士丹利、新加坡商瑞銀、摩根大通、凱基-台北、元大-虎尾、美林、兆豐、港商野村、元大,False,False
2454.TW,聯發科,半導體業,chip_watch,False,False,True,kronos,0.06657945623445283,89.94767374067169,55.2,40.0,60.606060606060595,75.0,66.24229186984115,4020.0,4287.6494140625,盤中強勢,等待確認,風險穩定,,,40.2,,3.0,,,2026-08-11,TWSE T86 official,official-only,,False,False
2891.TW,中信金,金融保險業,chip_watch,False,False,True,kronos,0.04531882987022029,77.19129792213218,52.0,58.0,53.157894736842,75.0,64.82274374643046,66.80000305175781,69.82730102539062,小幅走強,等待確認,風險穩定,66.69999694824219,72.69999313354492,40.9,,9.0,,,2026-08-11,TWSE T86 official,official-only,,False,False
3376.TW,新日興,電子零組件業,chip_watch,False,False,True,kronos,0.08008766174316406,98.05259704589844,52.0,38.0,51.90735694822883,75.0,63.909144660887335,184.0,198.7361297607422,持平,等待確認,技術結構偏空,,,0.0,,5.0,,,2026-08-11,TWSE T86 official,official-only,,False,False
9910.TW,豐泰,運動休閒,chip_watch,False,False,True,kronos,0.05035442976752069,80.21265786051242,52.0,42.0,60.968660968660984,75.0,63.39129634804545,71.30000305175781,74.89027404785156,盤中強勢,等待確認,風險穩定,,,40.2,,6.0,,,2026-08-11,TWSE T86 official,official-only,,False,False
1210.TW,大成,食品工業,chip_watch,False,False,True,kronos,0.024028628771366023,64.41717726281962,52.0,62.0,59.21052631578942,75.0,61.09706467356581,53.900001525878906,55.19514465332031,小幅走強,觀察,風險穩定,,,40.3,,3.0,,,2026-08-11,TWSE T86 official,official-only,,False,False
2605.TW,新興,航運業,chip_watch,False,False,True,kronos,0.03756539148228777,72.53923488937266,52.0,54.0,42.598187311178194,75.0,60.64855094239825,32.75,33.98026657104492,小幅走弱,觀察,盤中走弱,,,40.0,,3.0,,,2026-08-11,TWSE T86 official,official-only,,False,False
2204.TW,中華,汽車工業,chip_watch,False,False,True,kronos,0.026166540700647944,65.69992442038877,52.0,52.0,50.0,75.0,58.594973547136064,51.79999923706055,53.155426025390625,持平,觀察,風險穩定,,,40.0,,3.0,,,2026-08-11,TWSE T86 official,official-only,,False,False
4766.TW,南寶,化學工業,chip_watch,False,False,True,kronos,0.0021520675792638944,51.29124054755834,52.0,54.0,59.30576070901037,75.0,54.882510262546454,343.0,343.7381591796875,小幅走強,觀察,風險穩定,,,40.0,,3.0,,,2026-08-11,TWSE T86 official,official-only,,False,False
