symbol,name,industry,screening_bucket,legacy_hit,new_strategy_hit,chip_radar_hit,signal_source,kronos_return,kronos_score,news_score,technical_score,realtime_score,confidence_score,hybrid_score,current_close,predicted_close,realtime_status,action,risk_note,stop_loss_price,take_profit_price,top10_main_force_buy_strength,top10_main_force_net_buy,official_broker_net_buy,foreign_buy_streak_days,branch_main_force_buy_streak_days,branch_main_force_leader,chip_data_date,chip_data_source,chip_data_source_status,top10_main_force_brokers,best_entry,short_entry,dip_reversal
6165.TW,浪凡,數位雲端,chip_confirmed,False,False,True,kronos,0.005151718697611329,53.0910312185668,50.0,52.0,86.23188405797094,75.0,57.515049332295476,50.79999923706055,51.06170654296875,盤中強勢,觀察,風險穩定,49.0,51.349998474121094,40.1,,,3.0,,,2026-08-31,TWSE T86 official,official-only,,True,True,False
2890.TW,永豐金,金融保險業,chip_watch,False,False,True,kronos,0.060312779199188205,86.18766751951293,50.0,42.0,72.86432160804026,75.0,66.20211579263355,41.099998474121094,43.578853607177734,盤中強勢,等待確認,風險穩定,,,44.5,,,3.0,,,2026-08-31,TWSE T86 official,official-only,,False,True,False
2892.TW,第一金,金融保險業,chip_watch,False,False,True,kronos,0.01642697291446016,59.856183748676095,50.0,54.0,68.31395348837212,75.0,55.08105966087384,35.29999923706055,35.8798713684082,盤中強勢,觀察,風險穩定,,,0.0,0.0,0.0,9.0,0.0,,2026-08-31,TWSE T86 official,degraded,,False,True,False
1303.TW,南亞,塑膠工業,chip_watch,True,False,True,kronos,0.09545608992429133,100.0,50.0,52.0,100.0,75.0,72.10000000000001,242.5,265.6481018066406,盤中強勢,研究重點,風險穩定,,,0.0,26309.0,0.0,5.0,1.0,新加坡商瑞銀,2026-08-28,TWSE T86 official + HiStock branch,official+broker,新加坡商瑞銀、台灣摩根士丹利、摩根大通、美商高盛、永豐金-匯立、凱基、元大、國泰-敦南、港商野村、大和國泰,False,False,False
6770.TW,力積電,半導體業,chip_watch,True,False,True,kronos,0.05081688867856382,80.49013320713829,52.0,68.0,80.00000000000006,75.0,66.0715466224984,73.0,76.70963287353516,盤中強勢,等待確認,風險穩定,,,0.0,7352.0,476.0,2.0,2.0,台灣摩根士丹利,2026-08-28,TWSE T86 official + HiStock branch,official+broker,台灣摩根士丹利、美林、摩根大通、富邦-永和、富隆、凱基-林口、群益金鼎-大安、兆豐-台中、台新-高雄、華南永昌-嘉義,False,False,False
2344.TW,華邦電,半導體業,chip_watch,True,False,True,kronos,0.07326685239190933,93.96011143514559,52.0,40.0,53.856749311294806,75.0,62.27171393343043,182.5,195.87120056152344,小幅走強,等待確認,風險穩定,,,0.0,7756.0,0.0,1.0,2.0,新加坡商瑞銀,2026-08-28,TWSE T86 official + HiStock branch,official+broker,新加坡商瑞銀、國泰-敦南、台新-安南、台新-新莊、元大-桃興、凱基-文心、新光-新竹、元大-中山北路、玉山-桃園、犇亞-鑫豐,False,False,False
3481.TW,群創,光電業,chip_watch,True,False,True,kronos,0.033364024365700296,70.01841461942018,50.0,62.0,68.00411522633743,75.0,58.90685663943081,49.849998474121094,51.5131950378418,盤中強勢,觀察,風險穩定,,,0.0,39677.0,0.0,0.0,1.0,元大,2026-08-28,TWSE T86 official + HiStock branch,official+broker,元大、台灣摩根士丹利、富邦、新加坡商瑞銀、凱基-台北、港商野村、美商高盛、凱基、群益金鼎、永豐金,False,False,False
1718.TW,中纖,化學工業,chip_watch,False,False,True,kronos,0.034491688946774346,70.69501336806461,50.0,56.0,59.76744186046517,75.0,62.219998864869126,10.899999618530273,11.275959014892578,小幅走強,等待確認,風險穩定,,,41.0,,,4.0,,,2026-08-31,TWSE T86 official,official-only,,False,False,False
2455.TW,全新,通信網路業,chip_watch,False,False,True,kronos,0.017593287821835668,60.5559726931014,50.0,52.0,100.0,75.0,62.144590442585496,477.0,485.3919982910156,盤中強勢,等待確認,風險穩定,,,40.5,,,6.0,,,2026-08-31,TWSE T86 official,official-only,,False,False,False
2402.TW,毅嘉,電子零組件業,chip_confirmed,False,False,True,kronos,0.013257638324147836,57.9545829944887,50.0,42.0,88.33922261484095,75.0,58.02802630955514,59.70000076293945,60.49148178100586,盤中強勢,觀察,風險穩定,57.79999923706055,64.5,40.1,,,5.0,,,2026-08-31,TWSE T86 official,official-only,,False,False,False
1717.TW,長興,化學工業,chip_confirmed,False,False,True,kronos,0.000655758019649566,50.39345481178974,50.0,52.0,93.24324324324316,75.0,57.58203350845072,82.5,82.5541000366211,盤中強勢,觀察,風險穩定,79.80000305175781,90.80000305175781,43.2,,,3.0,,,2026-08-31,TWSE T86 official,official-only,,False,False,False
2376.TW,技嘉,電腦及週邊設備業,chip_watch,False,False,True,kronos,0.002225396353439324,51.335237812063596,50.0,60.0,68.05157593123205,75.0,57.30249082734546,358.0,358.79669189453125,盤中強勢,觀察,風險穩定,,,40.3,,,5.0,,,2026-08-31,TWSE T86 official,official-only,,False,False,False
