datetime,account,return,total_turnover,turnover,total_cost,cost,value,cash,bench
2025-06-04,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.042105317
2025-06-05,998949.8104972839,0.0,700126.335144043,0.700126335144043,1050.1895027160645,0.0010501895027160645,700126.335144043,298823.475353241,0.00808084
2025-06-06,996912.2692985535,-0.0020396832526712897,700126.335144043,0.0,1050.1895027160645,0.0,698088.7939453125,298823.475353241,-0.003006041
2025-06-09,1002364.9814079285,0.006041065292147052,1079926.335144043,0.3809763523797681,1619.8895027160645,0.0005714645285696523,752711.2060546875,249653.77535324107,0.010050297
2025-06-10,1002255.3434196473,0.0004219391335127615,1434976.335144043,0.35421229450902647,2152.4645027160645,0.0005313184417635397,786584.1430664062,215671.20035324106,0.039801
2025-06-11,1020836.731050873,0.018988390326551974,1734861.6928100586,0.29921053515446583,2602.292539215088,0.0004488158027316986,718730.0010681152,302106.72998275765,0.019138813
2025-06-12,1018696.7331871034,-0.002096317460644826,1734861.6928100586,0.0,2602.292539215088,0.0,716590.0032043457,302106.72998275765,-0.018779337
2025-06-13,1013607.0267784119,-0.004643193852102713,1974661.6928100586,0.23539881123380033,2961.9925392150876,0.0003530982168507003,745659.9967956543,267947.02998275764,-0.01435405
2025-06-16,1012282.4703281403,-0.0007004602733810387,2384371.689605713,0.4042099018372555,3576.557534408569,0.0006063148527558833,763640.0085449219,248642.4617832185,-0.004854381
2025-06-17,1008824.7732564927,-0.0028450725704161836,2769491.6774749756,0.3804471569525674,4154.237516212464,0.0005706707354288515,777959.9964141846,230864.77684230814,0.019512177
2025-06-18,1004753.3143423082,-0.0034545111366911484,3160466.6774749756,0.38755491574411904,4740.700016212464,0.0005813323736161791,768300.0,236453.31434230818,0.0095694065
2025-06-19,995581.9643423081,-0.008559314885793121,3541366.6774749756,0.3790980279068098,5312.050016212464,0.0005686470418602141,761000.0,234581.96434230814,-0.018957317
2025-06-20,996812.0143423082,0.0018582096364332752,3954666.6774749756,0.4151340771555964,5932.000016212463,0.0006227011157333945,749550.0,247262.01434230816,0.019323707
2025-06-23,991819.3643423081,-0.004414071998222376,4349766.677474976,0.39636360147673894,6524.650016212463,0.000594545402215108,758050.0,233769.36434230814,-0.03317535
2025-06-24,1026715.0643423081,0.03584322032628769,4785966.677474976,0.4397978257757162,7178.950016212462,0.0006596967386635735,777600.0,249115.06434230812,0.029411793
2025-06-25,1028736.4143423081,0.0025810471590747624,5205066.677474976,0.4081950431578274,7807.600016212462,0.0006122925647367407,771350.0,257386.4143423081,0.019047618
2025-06-26,1014171.607628441,-0.013715862019804102,5508266.677474976,0.2947305021703172,8262.400016212461,0.0004420957532554751,804039.9932861328,210131.61434230808,0.004672885
2025-06-27,1009256.9960561753,-0.00426948116048225,5898016.677474976,0.38430379737350284,8847.025016212461,0.0005764556960602543,789760.0067138672,219496.9893423081,0.004651189
2025-06-30,999239.7393423081,-0.009670487053353004,6069516.677474976,0.1699269865556169,9104.275016212461,0.00025489047983342535,608500.0,390739.73934230814,-0.018518507
2025-07-01,1007810.7734805108,0.00912693549304706,6435491.680717468,0.3662534513322845,9653.2375210762,0.0005493801769984267,614594.9998855591,393215.7735949517,0.023584962
2025-07-02,1007559.6296196938,0.00017859863596610693,6722916.674232483,0.285197381371884,10084.375011348722,0.000427796072057826,544350.0,463209.62961969385,0.0
2025-07-03,1028980.0296288491,0.021686061407846742,7009316.668128967,0.2842511604048555,10513.975002193449,0.00042637674060728325,634599.9938964844,394380.03573236475,0.0046082735
2025-07-04,1005153.7607323647,-0.022643776580278874,7360166.668128967,0.3409687164935075,11040.250002193448,0.0005114530747402609,610150.0,395003.7607323647,-0.0045871735
2025-07-07,992521.9182225228,-0.011988215605162967,7748061.674690247,0.38590613865748785,11622.092512035366,0.0005788592079862303,585595.0065612793,406926.9116612436,-0.0046082735
2025-07-08,989522.5450905801,-0.0024835855786168076,8104301.68094635,0.3589240698019877,12156.45252141952,0.0005383861047029804,590969.9996948242,398552.5453957559,0.0
2025-07-09,992694.7516518594,0.0037593954576737036,8469501.68094635,0.3690668816106356,12704.25252141952,0.0005536003224159527,581490.0062561035,411204.74539575586,0.009259224
2025-07-10,1001601.5391396524,0.009438941298119298,8778301.68094635,0.3110724615861543,13167.45252141952,0.00046660869237923216,562059.9937438965,439541.5453957559,0.009174347
2025-07-11,1002264.3616490365,0.0012230412515661837,9153086.674690247,0.37418572066674965,13729.630012035364,0.0005612785810001241,578500.0,423764.3616490365,0.0
2025-07-14,991080.1866490365,-0.01042639088035271,9642536.674690247,0.48834421209460405,14463.805012035366,0.0007325163181419071,671400.0,319680.1866490365,-0.00454545
2025-07-15,1003013.6866490365,0.012208901119203667,9753536.674690247,0.11199901026707496,14630.305012035366,0.00016799851540061245,572500.0,430513.6866490365,0.013698578
2025-07-16,1015013.6866490365,0.011963944420430335,9753536.674690247,0.0,14630.305012035366,0.0,584500.0,430513.6866490365,0.018018007
2025-07-17,1031544.1866490365,0.016452980112153303,9866536.674690247,0.11132854806427084,14799.805012035366,0.00016699282209640625,714200.0,317344.1866490365,0.0
2025-07-18,1035738.3866490365,0.004556275980060518,10203736.674690247,0.3268885660588052,15305.605012035365,0.0004903328490882071,774100.0,261638.3866490365,0.022123933
2025-07-21,1037327.7966378212,0.0021240885037752152,10610796.682167053,0.3930143101037157,15916.195023250575,0.0005895214651555739,794560.0074768066,242767.7891610146,-0.0043290257
2025-07-22,1019251.6941836358,-0.016817263559461077,11031521.682548523,0.40558539137302624,16547.28252382278,0.0006083780870595411,782810.0078582764,236441.6863253594,-0.017391324
2025-07-23,1036873.4702486038,0.017826799969574696,11397001.686477661,0.35857679316576213,17095.50252971649,0.0005378651897486446,721500.0,315373.47024860384,0.013274312
2025-07-24,1040498.1952594757,0.003954195104458572,11713851.679229736,0.30558211955804626,17570.777518844603,0.00045837317933706943,813449.9927520752,227048.20250740054,0.0
2025-07-25,1035472.5347553254,-0.004252756539425649,12114301.679229736,0.38486371415583015,18171.452518844602,0.0005772955712337445,792475.0072479248,242997.52750740055,0.0
2025-07-28,1036483.9975135804,0.0015693248227574882,12523321.675109863,0.3950080587861999,18784.982512664792,0.000592512088179299,804119.995880127,232364.00163345342,0.0
