symbol,name,industry,screening_bucket,legacy_hit,new_strategy_hit,chip_radar_hit,signal_source,kronos_return,kronos_score,news_score,technical_score,realtime_score,hybrid_score,current_close,predicted_close,realtime_status,action,risk_note,stop_loss_price,top10_main_force_buy_strength,top10_main_force_net_buy,foreign_buy_streak_days,branch_main_force_buy_streak_days,branch_main_force_leader,chip_data_date,chip_data_source,chip_data_source_status,top10_main_force_brokers
2618.TW,長榮航,航運業,chip_watch,True,False,True,kronos,0.03532624976035281,71.19574985621169,51.0,67.0,70.32828282828278,66.61112822531295,40.75,42.189544677734375,盤中強勢,等待確認,風險穩定,,0.0,35405.0,4.0,2.0,台灣摩根士丹利,2026-07-09,TWSE T86 official + HiStock branch,official+broker,台灣摩根士丹利、摩根大通、美商高盛、凱基-台北、美林、法銀巴黎、新加坡商瑞銀、新光、合庫-自強、國泰-忠孝
2312.TW,金寶,其他電子業,legacy_watch,True,False,False,kronos,0.1277727243574549,100.0,51.0,42.0,54.117647058823515,71.51176470588236,34.20000076293945,38.569828033447266,小幅走強,研究重點,技術結構偏空,,40.6,,1.0,,,2026-07-13,TWSE T86 official,official-only,
