symbol,name,industry,screening_bucket,legacy_hit,new_strategy_hit,chip_radar_hit,signal_source,kronos_return,kronos_score,news_score,technical_score,realtime_score,confidence_score,hybrid_score,current_close,predicted_close,realtime_status,action,risk_note,stop_loss_price,take_profit_price,top10_main_force_buy_strength,top10_main_force_net_buy,foreign_buy_streak_days,branch_main_force_buy_streak_days,branch_main_force_leader,chip_data_date,chip_data_source,chip_data_source_status,top10_main_force_brokers,best_entry,short_entry
3006.TW,晶豪科,半導體業,chip_watch,True,False,True,kronos,0.3389236258662396,100.0,52.0,55.0,100.0,75.0,76.28999999999999,239.0,320.00274658203125,盤中強勢,研究重點,風險穩定,,,40.9,,3.0,,,2026-08-05,TWSE T86 official,official-only,,True,True
2344.TW,華邦電,半導體業,chip_watch,True,False,True,kronos,0.06939634063540123,91.63780438124074,52.0,51.0,100.0,75.0,68.67323153343426,169.0,180.7279815673828,盤中強勢,等待確認,風險穩定,,,0.0,25040.0,3.0,1.0,凱基-台北,2026-08-04,TWSE T86 official + HiStock branch,official+broker,凱基-台北、康和、富邦、元大、美林、國票-安和、統一、統一-城中、美商高盛、摩根大通,True,True
2465.TW,麗臺,電腦及週邊設備業,chip_watch,False,False,True,kronos,0.15616454166991978,100.0,51.0,55.0,100.0,75.0,76.37,85.80000305175781,99.19892120361328,盤中強勢,研究重點,風險穩定,,,40.2,,4.0,,,2026-08-05,TWSE T86 official,official-only,,True,True
2426.TW,鼎元,光電業,chip_watch,False,False,True,kronos,0.15308068847656253,100.0,51.0,55.0,69.57236842105272,75.0,73.02723684210527,62.5,72.06754302978516,盤中強勢,研究重點,風險穩定,,,40.2,,3.0,,,2026-08-05,TWSE T86 official,official-only,,False,True
1605.TW,華新,電器電纜,chip_watch,False,False,True,kronos,0.10321400025701322,100.0,51.0,45.0,72.81481481481491,75.0,72.00148148148148,34.849998474121094,38.44700622558594,盤中強勢,研究重點,風險穩定,,,43.7,,4.0,,,2026-08-05,TWSE T86 official,official-only,,False,True
2009.TW,第一銅,鋼鐵工業,chip_watch,False,False,True,kronos,0.2205592435371142,100.0,51.0,49.0,66.77762982689754,75.0,71.54776298268976,38.45000076293945,46.930503845214844,盤中強勢,研究重點,風險穩定,,,40.2,,3.0,,,2026-08-05,TWSE T86 official,official-only,,False,True
1717.TW,長興,化學工業,chip_watch,False,False,True,kronos,0.042103817588404535,75.26229055304272,51.0,53.0,81.91823899371064,75.0,65.26362559293602,66.5,69.2999038696289,盤中強勢,等待確認,風險穩定,,,40.8,,3.0,,,2026-08-05,TWSE T86 official,official-only,,False,True
3704.TW,合勤控,通信網路業,chip_watch,False,False,True,kronos,0.021770430733265345,63.06225843995921,51.0,61.0,94.22657952069721,75.0,63.794448406055444,48.79999923706055,49.862396240234375,盤中強勢,等待確認,風險穩定,,,40.5,,3.0,,,2026-08-05,TWSE T86 official,official-only,,False,True
6781.TW,AES-KY,電子零組件業,chip_watch,False,False,True,kronos,0.009394714642018798,55.63682878521128,51.0,55.0,88.11881188118815,75.0,59.64477126294276,1065.0,1075.00537109375,盤中強勢,觀察,風險穩定,,,40.1,,4.0,,,2026-08-05,TWSE T86 official,official-only,,False,True
1513.TW,中興電,電機機械,chip_watch,False,False,True,kronos,0.022638640788771314,63.58318447326279,51.0,49.0,58.80503144654088,75.0,58.60461771029606,161.0,164.6448211669922,小幅走強,觀察,風險穩定,,,40.2,,5.0,,,2026-08-05,TWSE T86 official,official-only,,False,True
6438.TW,迅得,其他電子業,chip_watch,False,False,True,kronos,0.01173535820578242,57.041214923469454,51.0,51.0,64.58333333333329,75.0,57.272758556547636,147.0,148.72509765625,盤中強勢,觀察,風險穩定,,,40.0,,6.0,,,2026-08-05,TWSE T86 official,official-only,,False,True
2464.TW,盟立,其他電子業,chip_watch,False,False,True,kronos,0.1333011402803308,100.0,51.0,51.0,84.5679012345679,75.0,74.02679012345679,170.0,192.66119384765625,盤中強勢,研究重點,風險穩定,,,40.2,,4.0,,,2026-08-05,TWSE T86 official,official-only,,True,False
6456.TW,GIS-KY,光電業,chip_watch,False,False,True,kronos,0.08852204392114693,100.0,51.0,57.0,77.75862068965512,75.0,74.53586206896551,60.29999923706055,65.63787841796875,盤中強勢,研究重點,風險穩定,,,40.1,,4.0,,,2026-08-05,TWSE T86 official,official-only,,False,False
2357.TW,華碩,電腦及週邊設備業,chip_watch,False,False,True,kronos,0.0835754831537141,100.0,51.0,42.0,77.79156327543419,75.0,71.56915632754341,838.0,908.0362548828125,盤中強勢,研究重點,風險穩定,816.0,944.0,40.4,,4.0,,,2026-08-05,TWSE T86 official,official-only,,False,False
8464.TW,億豐,居家生活,chip_watch,False,False,True,kronos,0.10006986127871165,100.0,51.0,54.0,50.0,75.0,71.15,375.5,413.07623291015625,持平,研究重點,風險穩定,,,40.0,,4.0,,,2026-08-05,TWSE T86 official,official-only,,False,False
2371.TW,大同,電機機械,chip_watch,False,False,True,kronos,0.09576393576229325,100.0,51.0,38.0,56.93069306930694,75.0,68.9830693069307,25.5,27.941980361938477,小幅走強,等待確認,風險穩定,,,40.4,,6.0,,,2026-08-05,TWSE T86 official,official-only,,False,False
2467.TW,志聖,電子零組件業,chip_watch,False,False,True,kronos,0.0719787479599856,93.18724877599136,51.0,44.0,69.48310139165004,75.0,68.41384721076199,517.0,554.2130126953125,盤中強勢,等待確認,風險穩定,,,40.0,,3.0,,,2026-08-05,TWSE T86 official,official-only,,False,False
1476.TW,儒鴻,紡織纖維,chip_watch,False,False,True,kronos,0.1425012722821304,100.0,51.0,36.0,50.98730606488011,75.0,67.95873060648802,355.0,405.58795166015625,持平,等待確認,技術結構偏空,,,40.1,,10.0,,,2026-08-05,TWSE T86 official,official-only,,False,False
8454.TW,富邦媒,數位雲端,chip_watch,False,False,True,kronos,0.04238430628585088,75.43058377151053,51.0,69.0,72.09072978303743,75.0,67.45977729833243,261.5,272.58349609375,盤中強勢,等待確認,風險穩定,,,40.0,,3.0,,,2026-08-05,TWSE T86 official,official-only,,False,False
2890.TW,永豐金,金融保險業,chip_watch,False,False,True,kronos,0.03591477262040765,71.54886357224458,51.0,50.0,49.11616161616151,75.0,60.71371841190175,39.54999923706055,40.970428466796875,持平,觀察,風險穩定,,,41.1,,6.0,,,2026-08-05,TWSE T86 official,official-only,,False,False
