datetime,account,return,total_turnover,turnover,total_cost,cost,value,cash,bench
2025-09-15,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0068399906
2025-09-16,998679.0775117874,0.0,880614.9921417236,0.8806149921417237,1320.9224882125854,0.0013209224882125854,880614.9921417236,118064.08537006372,-0.014945626
2025-09-17,1048782.8402147293,0.05072201254996655,1248114.9921417236,0.3679860810898608,1872.1724882125854,0.0005519791216347912,1035770.0048446655,13012.835370063724,0.0
2025-09-18,1127191.5202489852,0.07543981176592669,1722315.0020599365,0.4521431813483185,2583.472503089905,0.0006782147720224779,1113889.9948120117,13301.52543697352,-0.0068965554
2025-09-19,1127991.5790916441,0.0012597760226088204,2135615.007019043,0.3666635150589251,3203.4225105285645,0.0005499952725883877,1071009.998703003,56981.580388641305,0.01111114
2025-09-22,1133186.5955711363,0.004605545445361978,2135615.007019043,0.0,3203.4225105285645,0.0,1076205.0151824951,56981.580388641305,0.017857075
2025-09-23,1173890.2932823182,0.03653413998452378,2599815.007019043,0.4096412733915538,3899.7225105285647,0.0006144619100873309,1153805.0128936768,20085.280388641346,-0.0053981543
2025-09-24,1158045.289391327,-0.013497857492872651,2599815.007019043,0.0,3899.7225105285647,0.0,1137960.0090026855,20085.280388641346,0.00678432
2025-09-25,1134005.2903831482,-0.020759118169561594,2599815.007019043,0.0,3899.7225105285647,0.0,1113920.0099945068,20085.280388641346,0.0
2025-09-26,1111147.1317100525,-0.019638363990205403,2991915.0161743164,0.34576559076086316,4487.872524261475,0.0005186483861412945,1100350.0104904175,10797.12121963501,0.0013477802
2025-09-30,1163031.2938798903,0.04730695707351819,3445800.011062622,0.4084832529691886,5168.7000165939335,0.0006127248794537832,1150530.0052642822,12501.28861560821,0.026917934
2025-10-01,1180890.8281633377,0.015846507639501774,3826100.011062622,0.32699034153355694,5739.150016593933,0.0004904855123003353,1168259.9895477295,12630.838615608198,-0.020969927
2025-10-02,1204331.049685669,0.020399871808946347,4259300.006103516,0.366841696716925,6388.950009155274,0.0005502625450753875,1189529.9995422363,14801.0501434326,-0.004015982
2025-10-03,1200957.5929330825,-0.00215056463165169,4781610.000991821,0.4336930406507653,7172.415001487731,0.0006505395609761474,1184550.002670288,16407.59026279449,0.004032254
2025-10-07,1268191.3383554458,0.05639249530614936,5109110.000991821,0.27269905442718523,7663.665001487731,0.0004090485816407778,1154774.9980926514,113416.34026279449,0.0
2025-10-08,1261301.3485025405,-0.005432926124412752,5109110.000991821,0.0,7663.665001487731,0.0,1147885.008239746,113416.34026279449,-0.0013386607
2025-10-09,1292113.7625925064,0.025005910861358553,5594160.000991821,0.38456313439755513,8391.240001487731,0.0005768447015963325,1271874.997329712,20238.765262794448,-0.004021406
2025-10-13,1261158.7611429214,-0.02395687001079272,5594160.000991821,0.0,8391.240001487731,0.0,1240919.995880127,20238.765262794448,-0.0053836107
2025-10-14,1184342.7584669113,-0.06061885705888884,5838160.004806519,0.1934728690252867,8757.240007209777,0.0002902093035379301,1177469.9970245361,6872.7614423751365,-0.0027064085
2025-10-15,1203006.8099910736,0.016084871874877203,6095460.005950928,0.2172512976542996,9143.19000892639,0.0003258769464814494,1194820.0035095215,8186.8064815520775,-0.0040705204
2025-10-16,1291321.6567276,0.07408103261320245,6632219.998168945,0.44618200641939876,9948.329997253417,0.0006692730096290978,1233179.9980163574,58141.658711242606,-0.0068119764
2025-10-17,1320656.4149269103,0.02306552596223954,6932389.9978637695,0.23245176608862844,10398.584996795653,0.0003486776491329424,1305934.998703003,14721.416223907407,0.009602189
2025-10-20,1358779.4274066924,0.029296035702398072,7310379.999542236,0.2862137323577731,10965.569999313353,0.0004293205985366596,1345454.9850463867,13324.442360305722,0.002717495
2025-10-21,1344131.6074176787,-0.010248168112595508,7792259.992218018,0.3546418079021674,11688.389988327024,0.0005319627118532506,1323409.977722168,20721.629695510812,0.0027099848
2025-10-22,1351547.864893532,0.006201051993363842,8404774.997329712,0.4556957084644762,12607.162495994566,0.0006835435626967143,1335230.0025939941,16317.862299537635,0.009459376
2025-10-23,1358383.8883945465,0.00575635438573756,9034084.983062744,0.4656216787280457,13551.127474594114,0.0006984325180920683,1342019.9851989746,16363.903195571853,0.008032203
2025-10-27,1399740.3995140074,0.03113259918255115,9656424.992370605,0.45814737249526394,14484.637488555905,0.0006872210587428957,1382950.0156402588,16790.38387374871,-0.017264307
2025-10-28,1427865.9235887527,0.02051094552564248,10046074.99885559,0.2783730516174804,15069.112498283384,0.00041755957742622133,1415670.0164794922,12195.907109260472,-0.013513505
2025-10-29,1429022.0059526442,0.001239598080714498,10455339.995193481,0.28662704920449183,15683.009992790221,0.00042994057380673826,1418225.0,10797.00595264425,-0.0082191825
2025-10-30,1411645.8491209028,-0.011528854538745565,11056119.990158081,0.42041339633821473,16584.17998523712,0.0006306200945073208,1364970.018196106,46675.83092479699,0.0069060326
2025-10-31,1386652.7623458384,-0.01724937369117865,11484839.992809296,0.3037022372985394,17227.25998921394,0.00045555335594780913,1371800.0087738037,14852.753572034766,-0.0041152835
2025-11-03,1415363.7561625957,0.021072318619626804,11824169.996929169,0.24471159134736747,17736.25499539375,0.00036706738702105014,1406089.9934768677,9273.762685728027,-0.023415923
2025-11-04,1355194.9406838894,-0.04207045958397127,12240044.515895844,0.2938287186992935,18360.066773843762,0.00044074307804894134,1338289.5198822021,16905.4208016872,0.0028208494
2025-11-05,1393661.0208016871,0.029081041357717507,12869644.515895844,0.4645826080801902,19304.466773843764,0.0006968739121202864,1324100.0,69561.02080168715,0.004219413
2025-11-06,1428271.3735848903,0.025431473115905216,13424644.515895844,0.39823170176686346,20136.966773843764,0.0005973475526502952,1316542.8527832031,111728.52080168715,0.008403301
