symbol,name,industry,screening_bucket,legacy_hit,new_strategy_hit,chip_radar_hit,signal_source,kronos_return,kronos_score,news_score,technical_score,realtime_score,confidence_score,hybrid_score,current_close,predicted_close,realtime_status,action,risk_note,stop_loss_price,take_profit_price,top10_main_force_buy_strength,top10_main_force_net_buy,foreign_buy_streak_days,branch_main_force_buy_streak_days,branch_main_force_leader,chip_data_date,chip_data_source,chip_data_source_status,top10_main_force_brokers
9945.TW,潤泰新,其他,chip_watch,False,False,True,kronos,0.06341392435325166,88.048354611951,50.0,40.0,53.99999999999989,75.0,64.75692411418284,26.399999618530273,28.074127197265625,小幅走強,等待確認,風險穩定,,,40.4,,5.0,,,2026-07-20,TWSE T86 official,official-only,
9933.TW,中鼎,其他,chip_watch,False,False,True,kronos,0.03155910106974935,68.9354606418496,50.0,48.0,55.363984674329544,75.0,59.77380969208031,39.45000076293945,40.69500732421875,小幅走強,觀察,風險穩定,,,40.1,,5.0,,,2026-07-20,TWSE T86 official,official-only,
