symbol,name,industry,screening_bucket,legacy_hit,new_strategy_hit,chip_radar_hit,signal_source,kronos_return,kronos_score,news_score,technical_score,realtime_score,confidence_score,hybrid_score,current_close,predicted_close,realtime_status,action,risk_note,stop_loss_price,take_profit_price,top10_main_force_buy_strength,top10_main_force_net_buy,official_broker_net_buy,foreign_buy_streak_days,branch_main_force_buy_streak_days,branch_main_force_leader,chip_data_date,chip_data_source,chip_data_source_status,top10_main_force_brokers,best_entry,short_entry,dip_reversal
7822.TW,倍利科,半導體業,chip_watch,False,False,True,kronos,0.4572618567425273,100.0,52.0,42.0,79.3318233295583,75.0,71.53318233295583,920.0,1340.680908203125,盤中強勢,研究重點,風險穩定,,,40.0,,,3.0,,,2026-09-24,TWSE T86 official,official-only,,True,True,False
2014.TW,中鴻,鋼鐵工業,chip_watch,False,False,True,kronos,0.11583836382438983,100.0,50.2,42.0,60.51051051051051,75.0,69.42105105105105,16.899999618530273,18.857667922973633,盤中強勢,等待確認,風險穩定,,,40.4,,,3.0,,,2026-09-24,TWSE T86 official,official-only,,False,True,False
3016.TW,嘉晶,半導體業,chip_watch,True,False,True,kronos,0.16067752838134775,100.0,52.0,61.0,100.0,75.0,77.87,160.0,185.70840454101562,盤中強勢,研究重點,風險穩定,,,41.7,,,4.0,,,2026-09-24,TWSE T86 official,official-only,,False,False,False
6196.TW,帆宣,其他電子業,chip_watch,False,False,True,kronos,0.17616668971238947,100.0,50.2,50.0,70.40072859744988,75.0,71.97007285974499,565.0,664.5341796875,盤中強勢,研究重點,風險穩定,,,40.0,,,3.0,,,2026-09-24,TWSE T86 official,official-only,,False,False,False
6213.TW,聯茂,電子零組件業,chip_watch,False,False,True,kronos,0.050701442686449605,80.42086561186977,50.2,56.0,100.0,75.0,69.90730296415441,595.0,625.1673583984375,盤中強勢,等待確認,風險穩定,,,40.3,,,5.0,,,2026-09-24,TWSE T86 official,official-only,,False,False,False
2027.TW,大成鋼,鋼鐵工業,chip_watch,False,False,True,kronos,0.08620470788153356,100.0,50.2,40.0,65.0214592274678,75.0,69.49214592274677,47.599998474121094,51.70334243774414,盤中強勢,等待確認,技術結構偏空,,,40.6,,,3.0,,,2026-09-24,TWSE T86 official,official-only,,False,False,False
6224.TW,聚鼎,電子零組件業,chip_watch,False,False,True,kronos,0.06686310656705263,90.11786394023159,50.2,50.0,50.0,75.0,66.47125237908105,82.19999694824219,87.6961441040039,持平,等待確認,風險穩定,,,40.0,,,3.0,,,2026-09-24,TWSE T86 official,official-only,,False,False,False
8464.TW,億豐,居家生活,chip_watch,False,False,True,kronos,0.04594218618917778,77.56531171350667,50.2,54.0,46.26168224299069,75.0,63.10402732402641,372.5,389.61346435546875,小幅走弱,等待確認,風險穩定,,,40.0,,,10.0,,,2026-09-24,TWSE T86 official,official-only,,False,False,False
1708.TW,東鹼,化學工業,chip_confirmed,False,False,True,kronos,0.03548718826975472,71.29231296185283,50.2,50.0,80.73852295409169,75.0,62.986161832057654,52.29999923706055,54.15597915649414,盤中強勢,等待確認,風險穩定,51.5,55.599998474121094,40.3,,,3.0,,,2026-09-24,TWSE T86 official,official-only,,False,False,False
