symbol,name,industry,screening_bucket,legacy_hit,new_strategy_hit,chip_radar_hit,signal_source,kronos_return,kronos_score,news_score,technical_score,realtime_score,confidence_score,hybrid_score,current_close,predicted_close,realtime_status,action,risk_note,stop_loss_price,take_profit_price,top10_main_force_buy_strength,top10_main_force_net_buy,official_broker_net_buy,foreign_buy_streak_days,branch_main_force_buy_streak_days,branch_main_force_leader,chip_data_date,chip_data_source,chip_data_source_status,top10_main_force_brokers,best_entry,short_entry,dip_reversal
9933.TW,中鼎,其他,chip_watch,False,False,True,kronos,0.13603850557179054,100.0,51.5,42.0,73.42007434944237,75.0,70.91700743494424,41.70000076293945,47.372806549072266,盤中強勢,研究重點,風險穩定,41.55723571777344,44.46446990966797,40.5,,,3.0,,,2026-09-11,TWSE T86 official,official-only,,False,True,False
1560.TW,中砂,電機機械,chip_watch,False,False,True,kronos,0.08420116569422476,100.0,51.5,69.0,100.0,75.0,79.555,790.0,856.5189208984375,盤中強勢,研究重點,風險穩定,,,40.3,,,5.0,,,2026-09-11,TWSE T86 official,official-only,,False,False,False
1402.TW,遠東新,紡織纖維,chip_watch,False,False,True,kronos,0.007429139667253226,54.45748380035194,51.5,60.0,50.0,75.0,56.53511933012317,28.649999618530273,28.862844467163086,持平,觀察,風險穩定,,,40.5,,,4.0,,,2026-09-11,TWSE T86 official,official-only,,False,False,False
2481.TW,強茂,半導體業,legacy_watch,True,False,False,kronos,0.2059401448567708,100.0,52.0,50.0,50.0,75.0,65.3,150.0,180.89102172851562,無即時資料,等待確認,風險穩定,,,0.0,,,0.0,,,2026-09-11,TWSE T86 official,official-only,,False,False,False
6257.TW,矽格,半導體業,legacy_watch,True,False,False,kronos,0.037804281176123,72.6825687056738,52.0,51.0,50.0,75.0,55.93889904698583,211.5,219.49560546875,無即時資料,觀察,風險穩定,,,0.0,,,0.0,,,2026-09-11,TWSE T86 official,official-only,,False,False,False
