symbol,name,industry,screening_bucket,legacy_hit,new_strategy_hit,chip_radar_hit,signal_source,kronos_return,kronos_score,news_score,technical_score,realtime_score,confidence_score,hybrid_score,current_close,predicted_close,realtime_status,action,risk_note,stop_loss_price,take_profit_price,top10_main_force_buy_strength,top10_main_force_net_buy,official_broker_net_buy,foreign_buy_streak_days,branch_main_force_buy_streak_days,branch_main_force_leader,chip_data_date,chip_data_source,chip_data_source_status,top10_main_force_brokers,best_entry,short_entry,dip_reversal
3042.TW,晶技,電子零組件業,chip_watch,False,False,True,kronos,0.15894439865871024,100.0,50.0,50.0,61.79775280898872,75.0,71.11977528089886,181.0,209.76893615722656,盤中強勢,研究重點,風險穩定,,,40.4,,,3.0,,,2026-09-15,TWSE T86 official,official-only,,False,False,False
3702.TW,大聯大,電子通路業,chip_watch,False,False,True,kronos,0.06162682649131135,86.97609589478681,50.0,50.0,50.0,75.0,65.95163356317538,107.0,113.59407043457031,持平,等待確認,風險穩定,,,40.1,,,6.0,,,2026-09-15,TWSE T86 official,official-only,,False,False,False
2480.TW,敦陽科,資訊服務業,chip_watch,False,False,True,kronos,0.025770199224815604,65.46211953488937,50.0,50.0,65.5555555555555,75.0,59.96729739276683,161.0,165.1490020751953,盤中強勢,觀察,風險穩定,,,40.0,,,5.0,,,2026-09-15,TWSE T86 official,official-only,,False,False,False
3045.TW,台灣大,通信網路業,chip_confirmed,False,False,True,kronos,0.014750080723916259,58.85004843434976,50.0,50.0,64.40329218106997,75.0,57.57784617012941,124.0,125.82901000976562,盤中強勢,觀察,風險穩定,121.5,129.5,40.4,,,10.0,,,2026-09-15,TWSE T86 official,official-only,,False,False,False
2880.TW,華南金,金融保險業,chip_watch,False,False,True,kronos,0.008220224987421254,54.93213499245275,50.0,52.0,59.07127429805621,75.0,56.10337467716408,46.900001525878906,47.28553009033203,小幅走強,觀察,風險穩定,,,40.7,,,10.0,,,2026-09-15,TWSE T86 official,official-only,,False,False,False
2351.TW,順德,半導體業,legacy_watch,True,False,False,kronos,0.299840847493166,100.0,50.0,40.0,50.0,75.0,67.31,251.5,326.90997314453125,無即時資料,等待確認,風險穩定,,,40.1,,,1.0,,,2026-09-15,TWSE T86 official,official-only,,False,False,False
4967.TW,十銓,半導體業,legacy_watch,True,False,False,kronos,0.19344622389714528,100.0,50.0,40.0,50.0,75.0,63.0,266.0,317.4566955566406,無即時資料,等待確認,技術結構偏空,,,0.0,,,0.0,,,2026-09-15,TWSE T86 official,official-only,,False,False,False
