symbol,name,industry,screening_bucket,legacy_hit,new_strategy_hit,chip_radar_hit,signal_source,kronos_return,kronos_score,news_score,technical_score,realtime_score,confidence_score,hybrid_score,current_close,predicted_close,realtime_status,action,risk_note,stop_loss_price,take_profit_price,top10_main_force_buy_strength,top10_main_force_net_buy,official_broker_net_buy,foreign_buy_streak_days,branch_main_force_buy_streak_days,branch_main_force_leader,chip_data_date,chip_data_source,chip_data_source_status,top10_main_force_brokers,best_entry,short_entry,dip_reversal
4912.TW,聯德控股-KY,電子零組件業,chip_watch,False,False,True,momentum-fallback,nan,100.0,50.0,50.0,57.12830957230146,95.0,72.91283095723016,nan,nan,小幅走強,觀察,風險穩定,,,40.0,,,4.0,,,2026-08-28,TWSE T86 official,official-only,,False,True,False
6202.TW,盛群,半導體業,chip_watch,False,False,True,momentum-fallback,nan,100.0,52.0,42.0,52.3648648648648,95.0,70.83648648648648,nan,nan,小幅走強,觀察,技術結構偏空,,,40.0,,,3.0,,,2026-08-28,TWSE T86 official,official-only,,False,True,False
3450.TW,聯鈞,半導體業,chip_watch,True,False,True,momentum-fallback,nan,100.0,52.0,50.0,100.0,95.0,77.56,nan,nan,盤中強勢,觀察,風險穩定,,,40.6,,,4.0,,,2026-08-28,TWSE T86 official,official-only,,False,False,False
2491.TW,吉祥全,光電業,chip_watch,False,False,True,momentum-fallback,nan,100.0,50.0,65.0,100.0,95.0,80.21000000000001,nan,nan,盤中強勢,觀察,風險穩定,,,40.1,,,4.0,,,2026-08-28,TWSE T86 official,official-only,,False,False,False
6226.TW,光鼎,光電業,chip_watch,False,False,True,momentum-fallback,nan,100.0,50.0,65.0,100.0,95.0,79.93,nan,nan,盤中強勢,觀察,風險穩定,,,40.3,,,3.0,,,2026-08-28,TWSE T86 official,official-only,,False,False,False
6108.TW,競國,電子零組件業,chip_watch,False,False,True,momentum-fallback,nan,100.0,50.0,58.0,100.0,95.0,78.85,nan,nan,盤中強勢,觀察,風險穩定,,,40.5,,,4.0,,,2026-08-28,TWSE T86 official,official-only,,False,False,False
2886.TW,兆豐金,金融保險業,chip_watch,False,False,True,momentum-fallback,nan,100.0,50.0,50.0,81.09425785482136,95.0,76.40942578548213,nan,nan,盤中強勢,觀察,風險穩定,47.650001525878906,49.70000457763672,48.0,,,10.0,,,2026-08-28,TWSE T86 official,official-only,,False,False,False
2892.TW,第一金,金融保險業,chip_watch,False,False,True,momentum-fallback,nan,100.0,50.0,50.0,72.03898050974504,95.0,75.5538980509745,nan,nan,盤中強勢,觀察,風險穩定,34.25,35.95000076293945,48.5,,,8.0,,,2026-08-28,TWSE T86 official,official-only,,False,False,False
6438.TW,迅得,其他電子業,chip_watch,False,False,True,momentum-fallback,nan,100.0,50.0,58.0,61.78451178451181,95.0,75.27845117845118,nan,nan,盤中強勢,觀察,風險穩定,,,40.0,,,8.0,,,2026-08-28,TWSE T86 official,official-only,,False,False,False
1727.TW,中華化,化學工業,chip_watch,False,False,True,momentum-fallback,nan,100.0,50.0,58.0,58.66873065015474,95.0,74.72687306501548,nan,nan,小幅走強,觀察,風險穩定,,,40.6,,,4.0,,,2026-08-28,TWSE T86 official,official-only,,False,False,False
