symbol,name,industry,screening_bucket,legacy_hit,new_strategy_hit,chip_radar_hit,signal_source,kronos_return,kronos_score,news_score,technical_score,realtime_score,confidence_score,hybrid_score,current_close,predicted_close,realtime_status,action,risk_note,stop_loss_price,take_profit_price,top10_main_force_buy_strength,top10_main_force_net_buy,foreign_buy_streak_days,branch_main_force_buy_streak_days,branch_main_force_leader,chip_data_date,chip_data_source,chip_data_source_status,top10_main_force_brokers,best_entry,short_entry
6770.TW,力積電,半導體業,chip_watch,True,False,True,kronos,0.015186993497266377,59.112196098359824,52.0,52.0,53.40909090909094,75.0,52.430177725335035,61.900001525878906,62.8400764465332,小幅走強,觀察,風險穩定,,,0.0,5339.0,1.0,2.0,國泰-敦南,2026-07-24,TWSE T86 official + HiStock branch,official+broker,國泰-敦南、永豐金-市政、富邦-仁愛、台新-信義、元大-大同、國泰-台中、凱基-林口、富邦-永和、玉山-台南、高橋,False,False
1476.TW,儒鴻,紡織纖維,chip_watch,False,False,True,kronos,0.12171938269239568,100.0,50.0,58.0,64.64872944693572,75.0,73.57487294469358,341.5,383.0671691894531,盤中強勢,研究重點,風險穩定,,,40.1,,8.0,,,2026-07-27,TWSE T86 official,official-only,,False,False
2006.TW,東和鋼鐵,鋼鐵工業,chip_confirmed,False,False,True,kronos,0.056552834706763644,83.93170082405818,50.0,50.0,61.69916434540388,75.0,66.07601172296074,73.0,77.12835693359375,盤中強勢,等待確認,風險穩定,72.5999984741211,75.79999542236328,40.3,,5.0,,,2026-07-27,TWSE T86 official,official-only,,False,False
2885.TW,元大金,金融保險業,chip_watch,False,False,True,kronos,0.04943329043420097,79.65997426052058,50.0,52.0,67.7496038034865,75.0,65.70595137153086,64.69999694824219,67.89833068847656,盤中強勢,等待確認,風險穩定,,,41.5,,5.0,,,2026-07-27,TWSE T86 official,official-only,,False,False
3406.TW,玉晶光,光電業,chip_watch,False,False,True,kronos,0.03842641214337528,73.05584728602517,50.0,50.0,63.806706114398494,75.0,61.85021716154866,517.0,536.866455078125,盤中強勢,觀察,風險穩定,,,40.0,,3.0,,,2026-07-27,TWSE T86 official,official-only,,False,False
4536.TW,拓凱,運動休閒,chip_watch,False,False,True,kronos,0.03823843319250386,72.94305991550232,50.0,50.0,50.0,75.0,61.03007097042581,165.5,171.82846069335938,持平,觀察,風險穩定,,,40.0,,5.0,,,2026-07-27,TWSE T86 official,official-only,,False,False
1102.TW,亞泥,水泥工業,chip_watch,False,False,True,kronos,0.015098134532277818,59.05888071936669,50.0,62.0,57.48091603053438,75.0,59.35869985483178,33.099998474121094,33.59974670410156,小幅走強,觀察,風險穩定,,,40.4,,5.0,,,2026-07-27,TWSE T86 official,official-only,,False,False
6670.TW,復盛應用,運動休閒,chip_watch,False,False,True,kronos,0.011193355797848081,56.716013478708845,50.0,62.0,64.392523364486,75.0,59.18985705399669,273.0,276.0557861328125,盤中強勢,觀察,風險穩定,,,40.0,,5.0,,,2026-07-27,TWSE T86 official,official-only,,False,False
3059.TW,華晶科,光電業,chip_watch,False,False,True,kronos,0.017415724494706186,60.449434696823715,50.0,50.0,56.12500000000003,75.0,56.96980214388831,40.349998474121094,41.0527229309082,小幅走強,觀察,風險穩定,,,40.0,,4.0,,,2026-07-27,TWSE T86 official,official-only,,False,False
2002.TW,中鋼,鋼鐵工業,chip_watch,False,False,True,kronos,0.034515876274604285,70.70952576476257,50.0,49.0,53.655352480417775,75.0,56.81386926570868,19.25,19.914430618286133,小幅走強,觀察,風險穩定,,,0.0,26765.0,10.0,2.0,台灣摩根士丹利,2026-07-24,TWSE T86 official + HiStock branch,official+broker,台灣摩根士丹利、美商高盛、凱基-台北、元大、新加坡商瑞銀、元大-成功、凱基-林口、港商野村、兆豐26826819.23元大-屏南6332-32619.25國票-南京、新光-台中,False,False
2337.TW,旺宏,半導體業,legacy_watch,True,False,False,kronos,0.10273991922933257,100.0,52.0,42.0,58.46774193548394,75.0,64.54677419354839,125.5,138.39385986328125,小幅走強,等待確認,技術結構偏空,,,0.0,0.0,0.0,0.0,,2026-07-27,TWSE T86 official,degraded,,False,False
2887.TW,台新新光金,金融保險業,legacy_watch,True,False,False,kronos,0.0073066458792048206,54.38398752752289,50.0,50.0,66.39824304538814,75.0,51.27421993917183,34.95000076293945,35.20536804199219,盤中強勢,觀察,風險穩定,,,0.0,0.0,2.0,0.0,,2026-07-27,TWSE T86 official,degraded,,False,False
