symbol,date,open,high,low,close,volume
1101,2026-09-09,24.25,25.0,24.25,24.75,33714369.0
1102,2026-09-09,34.95,35.4,34.9,35.4,10648379.0
1103,2026-09-09,13.15,13.25,13.15,13.2,325167.0
1104,2026-09-09,27.3,27.5,27.3,27.45,459761.0
1108,2026-09-09,11.55,11.55,11.45,11.5,391911.0
1109,2026-09-09,13.45,13.5,13.45,13.45,110091.0
1110,2026-09-09,15.9,16.05,15.85,16.05,59596.0
1201,2026-09-09,12.1,12.15,12.05,12.15,213383.0
1203,2026-09-09,45.2,45.8,44.6,44.6,24587.0
1210,2026-09-09,52.3,52.7,52.3,52.5,654099.0
1213,2026-09-09,7.5,7.59,7.5,7.59,5602.0
1215,2026-09-09,111.0,111.0,110.0,110.5,253575.0
1216,2026-09-09,76.2,76.7,75.6,76.0,8532839.0
1217,2026-09-09,9.94,9.99,9.93,9.98,234296.0
1218,2026-09-09,14.45,14.55,14.45,14.55,307811.0
1219,2026-09-09,11.65,11.75,11.55,11.55,185650.0
1220,2026-09-09,11.0,11.0,10.85,10.85,94523.0
1225,2026-09-09,25.0,25.0,24.35,24.6,129383.0
1227,2026-09-09,28.35,28.6,28.35,28.55,240341.0
1229,2026-09-09,41.5,42.1,41.5,41.95,1617152.0
1231,2026-09-09,80.1,80.6,80.1,80.5,161027.0
1232,2026-09-09,156.5,157.5,156.5,156.5,67383.0
1233,2026-09-09,28.0,28.2,28.0,28.2,37010.0
1234,2026-09-09,33.25,33.5,33.2,33.45,70700.0
1235,2026-09-09,39.15,39.5,39.0,39.05,20562.0
1236,2026-09-09,26.1,26.25,26.1,26.25,12330.0
1240,2026-09-10,55.4,55.4,55.3,55.3,5000.0
1256,2026-09-09,174.0,176.5,173.5,174.5,35203.0
1259,2026-09-10,64.8,65.2,63.1,65.2,16000.0
1264,2026-09-10,250.0,250.5,249.0,249.0,33000.0
1268,2026-09-10,172.0,172.5,171.5,172.5,24000.0
1294,2026-09-10,53.1,53.2,53.0,53.0,8000.0
1295,2026-09-10,45.3,45.5,45.2,45.5,14000.0
1301,2026-09-09,64.9,67.4,64.6,66.7,26927598.0
1303,2026-09-09,234.5,244.5,231.0,236.5,67601719.0
1304,2026-09-09,12.45,12.85,12.45,12.8,4243247.0
1305,2026-09-09,12.2,12.6,12.2,12.5,2015544.0
1307,2026-09-09,30.7,30.9,30.45,30.85,384437.0
