symbol,date,open,high,low,close,volume
1101,2026-08-05,23.7,24.05,23.55,24.05,20385198.0
1102,2026-08-05,32.4,32.6,32.25,32.6,8109403.0
1103,2026-08-05,12.95,13.1,12.95,13.0,270174.0
1104,2026-08-05,26.5,26.6,26.35,26.4,591281.0
1108,2026-08-05,12.1,12.1,11.95,11.95,110803.0
1109,2026-08-05,13.6,13.7,13.55,13.55,78991.0
1110,2026-08-05,15.85,16.05,15.7,15.9,218266.0
1201,2026-08-05,12.1,12.1,12.05,12.05,298682.0
1203,2026-08-05,47.05,48.05,47.05,47.8,17282.0
1210,2026-08-05,55.6,55.8,54.8,55.0,4196584.0
1213,2026-08-05,7.13,7.5,7.13,7.5,6001.0
1215,2026-08-05,104.0,104.0,103.0,104.0,625593.0
1216,2026-08-05,74.0,74.0,72.7,73.2,17477976.0
1217,2026-08-05,9.85,9.89,9.8,9.83,463444.0
1218,2026-08-05,15.2,15.65,15.2,15.5,2000100.0
1219,2026-08-05,10.75,10.75,10.45,10.6,1149970.0
1220,2026-08-05,11.2,11.3,11.15,11.15,109758.0
1225,2026-08-05,23.9,24.4,23.9,24.25,118594.0
1227,2026-08-05,28.7,28.85,28.65,28.7,790788.0
1229,2026-08-05,40.1,40.35,39.95,40.1,1487685.0
1231,2026-08-05,80.0,81.0,79.1,80.1,549452.0
1232,2026-08-05,152.5,153.5,152.5,152.5,168033.0
1233,2026-08-05,28.85,28.85,28.65,28.7,5345.0
1234,2026-08-05,33.55,33.7,33.45,33.55,40986.0
1235,2026-08-05,35.8,36.4,35.8,36.05,16040.0
1236,2026-08-05,25.25,25.25,24.8,24.85,43162.0
1240,2026-08-06,55.0,55.0,55.0,55.0,1000.0
1256,2026-08-05,191.0,193.0,179.5,186.0,308471.0
1259,2026-08-06,0.0,0.0,0.0,0.0,0.0
1264,2026-08-06,255.5,255.5,255.0,255.0,11000.0
1268,2026-08-06,170.0,170.5,169.5,170.5,25000.0
1294,2026-08-06,56.7,56.7,56.0,56.2,13000.0
1295,2026-08-06,46.25,46.4,46.0,46.2,36000.0
1301,2026-08-05,55.8,57.2,55.3,56.0,21040185.0
1303,2026-08-05,180.0,184.0,172.5,177.0,83793472.0
1304,2026-08-05,11.45,11.7,11.4,11.6,3288625.0
1305,2026-08-05,11.25,11.5,11.25,11.35,1126193.0
1307,2026-08-05,31.8,32.2,31.7,32.0,360453.0
1308,2026-08-05,12.75,13.05,12.75,13.0,1307573.0
1309,2026-08-05,12.85,13.1,12.7,12.95,1877063.0
1310,2026-08-05,7.5,8.17,7.5,8.17,7230149.0
1312,2026-08-05,11.7,12.1,11.65,12.1,7040774.0
1313,2026-08-05,10.7,11.05,10.7,11.0,3619408.0
1314,2026-08-05,7.74,8.06,7.74,7.84,46518538.0
1315,2026-08-05,63.6,63.7,63.1,63.3,43008.0
1316,2026-08-05,10.05,10.15,9.95,9.96,1366755.0
1319,2026-08-05,72.4,73.3,72.3,72.9,1444291.0
1321,2026-08-05,31.85,31.9,31.4,31.6,71999.0
1323,2026-08-05,20.0,20.0,19.75,19.75,22195.0
1324,2026-08-05,10.0,10.0,9.95,9.96,23407.0
1325,2026-08-05,26.35,27.35,26.25,26.65,732159.0
1326,2026-08-05,59.4,61.0,58.4,58.6,25180356.0
