symbol,date,open,high,low,close,volume
1101,2026-09-14,24.4,24.4,23.9,23.9,35778533.0
1102,2026-09-14,35.3,35.3,34.85,35.0,5772878.0
1103,2026-09-14,13.0,13.15,13.0,13.05,213653.0
1104,2026-09-14,27.0,27.1,26.75,26.85,500283.0
1108,2026-09-14,11.1,11.1,11.0,11.1,247541.0
1109,2026-09-14,13.4,13.45,13.35,13.4,68702.0
1110,2026-09-14,15.65,15.85,15.55,15.55,147000.0
1201,2026-09-14,12.05,12.05,11.95,12.0,347797.0
1203,2026-09-14,43.0,43.7,42.5,43.2,25749.0
1210,2026-09-14,52.0,52.3,51.7,51.8,1310319.0
1213,2026-09-14,0.0,0.0,0.0,0.0,0.0
1215,2026-09-14,110.0,110.0,107.5,107.5,1119388.0
1216,2026-09-14,74.6,75.3,74.6,74.6,9395978.0
1217,2026-09-14,9.97,9.98,9.93,9.96,232673.0
1218,2026-09-14,14.25,14.35,14.2,14.3,880932.0
1219,2026-09-14,11.4,11.45,11.25,11.25,284968.0
1220,2026-09-14,10.8,10.8,10.7,10.75,90889.0
1225,2026-09-14,24.3,25.05,24.1,24.95,122021.0
1227,2026-09-14,28.3,28.35,28.2,28.3,471785.0
1229,2026-09-14,40.5,40.5,40.3,40.35,1516270.0
1231,2026-09-14,80.4,80.4,79.8,80.0,250436.0
1232,2026-09-14,155.0,155.0,153.5,153.5,128103.0
1233,2026-09-14,28.05,28.2,27.9,27.95,18015.0
1234,2026-09-14,33.3,33.4,33.15,33.15,88661.0
1235,2026-09-14,37.6,37.6,37.0,37.1,11392.0
1236,2026-09-14,25.55,25.9,25.55,25.85,32684.0
1240,2026-09-15,55.0,55.2,55.0,55.2,3000.0
1256,2026-09-14,171.5,173.0,171.5,172.0,13838.0
1259,2026-09-15,0.0,0.0,0.0,0.0,0.0
1264,2026-09-15,245.5,245.5,242.0,243.0,58000.0
1268,2026-09-15,171.5,172.0,171.0,172.0,16000.0
1294,2026-09-15,50.8,50.9,50.7,50.7,8000.0
1295,2026-09-15,45.0,45.0,44.45,44.85,4000.0
1301,2026-09-14,63.7,63.8,61.5,62.9,23847845.0
1303,2026-09-14,232.0,236.5,220.5,234.0,54948757.0
1304,2026-09-14,12.4,12.4,12.05,12.25,2067764.0
1305,2026-09-14,12.15,12.15,11.85,11.9,1460709.0
1307,2026-09-14,30.55,30.55,30.05,30.3,370496.0
1308,2026-09-14,14.35,14.35,14.05,14.15,1282420.0
1309,2026-09-14,14.2,14.2,13.6,13.75,2351381.0
1310,2026-09-14,8.6,8.7,8.51,8.65,1330470.0
1312,2026-09-14,14.1,14.55,14.05,14.45,9453345.0
1313,2026-09-14,12.0,12.0,11.65,11.75,1348275.0
1314,2026-09-14,8.15,8.27,8.06,8.22,15174574.0
1315,2026-09-14,65.9,66.3,65.8,66.3,9317.0
1316,2026-09-14,10.7,10.8,10.55,10.7,1078023.0
1319,2026-09-14,78.3,78.6,77.7,78.3,714900.0
1321,2026-09-14,31.8,32.3,31.75,32.3,43020.0
1323,2026-09-14,21.85,21.9,21.45,21.7,106464.0
1324,2026-09-14,10.05,10.1,9.97,10.05,15154.0
1325,2026-09-14,25.55,25.65,25.3,25.5,101358.0
1326,2026-09-14,70.5,70.5,66.2,67.6,27922318.0
1336,2026-09-15,16.5,16.55,16.1,16.1,194000.0
1337,2026-09-14,4.51,4.51,4.39,4.48,491099.0
