symbol,date,open,high,low,close,volume
1101,2026-09-02,25.3,25.4,24.65,24.8,43527079.0
1102,2026-09-02,34.8,35.0,34.5,35.0,7414785.0
1103,2026-09-02,13.25,13.25,13.15,13.25,167858.0
1104,2026-09-02,27.1,27.15,26.9,27.05,666575.0
1108,2026-09-02,11.75,11.75,11.65,11.7,117905.0
1109,2026-09-02,13.55,13.55,13.4,13.45,78658.0
1110,2026-09-02,15.9,16.1,15.85,16.1,201667.0
1201,2026-09-02,12.2,12.25,12.15,12.25,381688.0
1203,2026-09-02,43.75,44.35,43.75,44.35,31471.0
1210,2026-09-02,51.7,52.2,51.5,51.8,1105966.0
1213,2026-09-02,8.29,8.29,7.33,7.6,11274.0
1215,2026-09-02,108.5,110.0,107.5,109.5,667679.0
1216,2026-09-02,75.7,76.6,75.5,76.6,7493926.0
1217,2026-09-02,10.0,10.0,9.93,9.96,181059.0
1218,2026-09-02,14.5,14.55,14.4,14.4,891545.0
1219,2026-09-02,11.5,11.55,11.4,11.55,266553.0
1220,2026-09-02,10.7,10.75,10.7,10.75,41847.0
1225,2026-09-02,25.25,25.5,25.1,25.15,108202.0
1227,2026-09-02,28.4,28.6,28.4,28.6,441360.0
1229,2026-09-02,41.5,41.95,41.5,41.95,1460422.0
1231,2026-09-02,80.3,80.4,80.1,80.2,246811.0
1232,2026-09-02,157.0,157.0,156.0,156.5,90293.0
1233,2026-09-02,28.5,28.5,28.3,28.3,8131.0
1234,2026-09-02,33.15,33.45,33.15,33.45,65803.0
1235,2026-09-02,36.6,37.7,36.6,37.0,14093.0
1236,2026-09-02,26.0,26.25,25.55,25.95,57255.0
1240,2026-09-03,55.0,55.6,54.0,55.0,60000.0
1256,2026-09-02,179.5,181.0,177.5,177.5,54960.0
1259,2026-09-03,63.6,63.6,63.6,63.6,2000.0
1264,2026-09-03,252.5,252.5,252.0,252.0,6000.0
1268,2026-09-03,181.5,182.0,180.0,181.5,88000.0
1294,2026-09-03,53.2,53.5,53.1,53.4,20000.0
1295,2026-09-03,45.45,45.45,45.35,45.35,23000.0
1301,2026-09-02,69.0,70.6,65.5,66.8,53476275.0
1303,2026-09-02,240.0,248.0,232.0,237.5,127824204.0
1304,2026-09-02,12.8,13.05,12.45,12.6,3533470.0
1305,2026-09-02,12.7,13.0,12.4,12.5,2314282.0
1307,2026-09-02,30.6,30.7,30.4,30.45,582155.0
1308,2026-09-02,14.7,15.05,14.45,14.6,1945889.0
1309,2026-09-02,14.0,14.45,13.7,13.8,4705111.0
1310,2026-09-02,8.82,9.07,8.8,8.97,2724992.0
1312,2026-09-02,15.2,15.7,15.0,15.25,37656164.0
1313,2026-09-02,12.25,12.4,11.95,12.05,2254463.0
1314,2026-09-02,8.3,8.33,8.14,8.22,16925294.0
1315,2026-09-02,65.6,66.3,65.5,66.0,23447.0
1316,2026-09-02,10.85,11.0,10.75,10.8,1481541.0
1319,2026-09-02,82.9,83.5,82.7,83.0,1133367.0
