symbol,date,open,high,low,close,volume
1101,2026-08-03,24.25,24.25,23.75,23.8,40992838.0
1102,2026-08-03,32.65,32.8,32.35,32.7,11458827.0
1103,2026-08-03,13.05,13.15,13.0,13.15,261826.0
1104,2026-08-03,26.8,27.0,26.6,26.9,438835.0
1108,2026-08-03,11.9,12.1,11.9,12.1,118362.0
1109,2026-08-03,13.8,13.8,13.6,13.7,122040.0
1110,2026-08-03,15.9,16.1,15.9,16.0,51028.0
1201,2026-08-03,12.2,12.2,12.1,12.2,263636.0
1203,2026-08-03,48.5,49.55,47.75,48.35,24446.0
1210,2026-08-03,56.0,56.5,55.8,56.0,2015540.0
1213,2026-08-03,7.3,7.3,7.24,7.24,7000.0
1215,2026-08-03,104.0,105.0,102.0,103.0,1926108.0
1216,2026-08-03,73.6,74.0,72.7,73.0,16576338.0
1217,2026-08-03,9.96,9.96,9.83,9.85,616325.0
1218,2026-08-03,15.95,15.95,15.5,15.7,1878975.0
1219,2026-08-03,11.3,11.3,10.95,11.0,1419083.0
1220,2026-08-03,11.2,11.25,11.1,11.25,41924.0
1225,2026-08-03,25.8,25.8,24.7,24.7,322667.0
1227,2026-08-03,29.2,29.3,28.8,28.95,1450304.0
1229,2026-08-03,40.3,40.75,40.05,40.2,2355679.0
1231,2026-08-03,81.5,81.5,79.7,80.4,702154.0
1232,2026-08-03,154.0,155.0,152.0,153.5,282930.0
1233,2026-08-03,29.05,29.05,28.9,28.95,11113.0
1234,2026-08-03,33.5,33.85,33.4,33.85,118718.0
1235,2026-08-03,36.25,37.2,36.25,37.2,9146.0
1236,2026-08-03,25.15,25.15,24.55,24.7,74742.0
1240,2026-08-04,54.9,55.4,54.5,55.2,25000.0
1256,2026-08-03,181.0,183.0,180.5,182.0,44132.0
1259,2026-08-04,58.9,59.1,58.9,59.1,8000.0
1264,2026-08-04,255.0,255.5,255.0,255.0,22000.0
1268,2026-08-04,171.0,172.0,170.5,172.0,12000.0
1294,2026-08-04,56.2,56.6,55.7,56.2,29000.0
1295,2026-08-04,46.95,46.95,46.0,46.6,27000.0
1301,2026-08-03,54.6,55.3,53.7,53.8,26143059.0
1303,2026-08-03,166.0,175.0,162.0,165.0,144838220.0
1304,2026-08-03,11.05,11.35,11.0,11.15,2549083.0
1305,2026-08-03,10.95,11.15,10.85,11.0,937519.0
1307,2026-08-03,31.7,31.7,31.1,31.35,466429.0
1308,2026-08-03,12.35,12.7,12.35,12.6,1264622.0
1309,2026-08-03,12.25,12.65,12.2,12.55,1530649.0
1310,2026-08-03,7.31,7.4,7.15,7.34,5488081.0
1312,2026-08-03,11.15,11.5,11.15,11.45,4041140.0
1313,2026-08-03,10.25,10.65,10.2,10.55,2245757.0
1314,2026-08-03,7.48,7.72,7.43,7.66,21481702.0
1315,2026-08-03,63.9,63.9,63.1,63.4,21353.0
1316,2026-08-03,9.86,10.1,9.86,10.05,829949.0
1319,2026-08-03,71.2,71.9,70.9,71.4,1606266.0
1321,2026-08-03,32.45,32.5,31.85,31.95,193807.0
1323,2026-08-03,19.65,19.95,19.4,19.95,35449.0
1324,2026-08-03,9.9,10.05,9.87,9.98,56705.0
1325,2026-08-03,26.9,26.9,26.05,26.1,385262.0
1326,2026-08-03,56.6,57.3,55.6,56.3,28925031.0
1336,2026-08-04,15.0,15.3,15.0,15.2,98000.0
1337,2026-08-03,4.55,4.72,4.55,4.66,430709.0
1338,2026-08-03,15.35,15.55,15.25,15.3,46014.0
1339,2026-08-03,44.0,44.5,43.85,44.4,50378.0
1340,2026-08-03,5.09,5.13,5.0,5.04,205192.0
1341,2026-08-03,57.7,57.7,57.7,57.7,1877.0
1342,2026-08-03,96.0,98.8,94.9,98.1,523397.0
1402,2026-08-03,27.0,27.25,26.8,26.9,10333637.0
1409,2026-08-03,20.8,22.05,20.75,21.8,12476640.0
1410,2026-08-03,26.5,26.5,25.7,25.7,57116.0
1413,2026-08-03,9.0,9.46,8.92,9.46,160364.0
1414,2026-08-03,19.1,19.1,18.3,18.9,256582.0
1416,2026-08-03,10.7,10.85,10.7,10.8,93841.0
1417,2026-08-03,8.23,8.28,8.11,8.27,131200.0
1418,2026-08-03,18.75,18.75,17.95,18.05,43009.0
1419,2026-08-03,67.1,68.7,66.4,67.8,202737.0
1423,2026-08-03,35.0,35.3,35.0,35.3,4237.0
1432,2026-08-03,15.1,15.1,15.0,15.0,171938.0
1434,2026-08-03,17.25,17.55,17.05,17.1,2855904.0
1435,2026-08-03,22.4,24.4,22.4,24.4,45518.0
1436,2026-08-03,36.5,36.5,35.6,36.4,174473.0
1437,2026-08-03,31.7,31.7,31.0,31.25,319625.0
1438,2026-08-03,23.3,23.3,22.55,22.9,72379.0
1439,2026-08-03,26.65,28.05,26.65,28.05,70256.0
