symbol,date,open,high,low,close,volume
1240,2026-08-18,56.8,57.0,56.8,56.9,24000.0
1259,2026-08-18,0.0,0.0,0.0,0.0,0.0
1264,2026-08-18,259.0,259.0,258.0,258.5,21000.0
1268,2026-08-18,181.0,181.0,176.5,179.0,41000.0
1294,2026-08-18,57.1,57.1,56.0,56.1,27000.0
1295,2026-08-18,46.05,46.1,45.8,45.9,102000.0
1336,2026-08-18,17.6,17.9,17.25,17.5,759000.0
1565,2026-08-18,94.3,94.7,94.1,94.5,42000.0
1569,2026-08-18,43.25,44.85,42.85,44.6,548000.0
1570,2026-08-18,33.9,33.9,33.0,33.3,63000.0
1580,2026-08-18,107.5,107.5,107.0,107.5,56000.0
1584,2026-08-18,18.05,18.05,17.75,17.9,217000.0
1586,2026-08-18,19.2,19.5,18.8,18.95,1231000.0
1591,2026-08-18,35.95,37.15,35.0,35.4,163000.0
1593,2026-08-18,32.25,32.25,31.6,31.7,24000.0
1595,2026-08-18,64.0,64.4,62.0,62.0,191000.0
1599,2026-08-18,23.1,23.4,23.0,23.15,31000.0
1742,2026-08-18,17.6,18.4,17.35,17.95,82000.0
1777,2026-08-18,73.9,74.5,73.7,74.1,18000.0
1780,2026-08-18,23.65,24.05,23.6,24.05,57000.0
1781,2026-08-18,10.95,11.0,10.95,11.0,7000.0
1784,2026-08-18,60.4,60.7,59.7,59.7,68000.0
1785,2026-08-18,106.0,106.0,99.9,100.0,6450000.0
1788,2026-08-18,131.0,131.0,129.5,129.5,10000.0
1796,2026-08-18,30.3,30.3,30.0,30.3,33000.0
1799,2026-08-18,30.85,30.85,30.0,30.0,91000.0
1813,2026-08-18,11.35,11.4,11.25,11.4,17000.0
1815,2026-08-18,98.5,105.5,94.9,95.3,69730000.0
2035,2026-08-18,0.0,0.0,0.0,0.0,0.0
2061,2026-08-18,51.0,51.3,48.0,48.0,2231000.0
2063,2026-08-18,24.7,24.7,24.15,24.6,25000.0
2064,2026-08-18,0.0,0.0,0.0,0.0,0.0
2065,2026-08-18,36.3,36.3,35.85,35.85,26000.0
2066,2026-08-18,57.4,58.8,56.5,58.8,130000.0
2067,2026-08-18,5.95,5.95,5.68,5.71,117000.0
2070,2026-08-18,61.0,66.9,60.0,66.9,791000.0
