symbol,date,open,high,low,close,volume
1240,2026-08-07,55.0,55.0,54.8,54.8,3000.0
1259,2026-08-07,59.8,60.0,59.8,60.0,8000.0
1264,2026-08-07,255.0,256.0,254.5,256.0,25000.0
1268,2026-08-07,178.0,185.0,176.5,183.5,212000.0
1294,2026-08-07,55.5,61.0,55.5,56.6,36000.0
1295,2026-08-07,46.5,46.5,45.85,46.25,45000.0
1336,2026-08-07,15.1,15.1,14.55,14.55,335000.0
1565,2026-08-07,92.4,94.1,92.4,93.3,85000.0
1569,2026-08-07,44.3,44.5,42.2,42.35,304000.0
1570,2026-08-07,32.65,33.95,32.6,33.95,26000.0
1580,2026-08-07,113.0,113.0,112.0,112.5,37000.0
1584,2026-08-07,17.7,18.35,17.45,18.05,1314000.0
1586,2026-08-07,18.2,18.3,18.05,18.2,164000.0
1591,2026-08-07,35.75,37.35,35.4,35.6,190000.0
1593,2026-08-07,33.7,33.7,31.4,31.7,81000.0
1595,2026-08-07,62.7,63.1,60.1,60.4,415000.0
1599,2026-08-07,23.5,23.8,23.5,23.8,12000.0
1742,2026-08-07,18.0,18.0,17.5,17.8,52000.0
1777,2026-08-07,75.0,75.1,74.3,74.8,79000.0
1780,2026-08-07,23.05,23.05,22.2,22.75,144000.0
1781,2026-08-07,11.35,11.35,11.35,11.35,3000.0
1784,2026-08-07,60.1,60.8,59.8,60.2,72000.0
1785,2026-08-07,116.0,116.0,112.5,114.5,5310000.0
1788,2026-08-07,130.5,130.5,130.0,130.5,27000.0
1796,2026-08-07,30.85,30.85,30.25,30.75,12000.0
1799,2026-08-07,32.15,32.2,31.6,31.65,117000.0
1813,2026-08-07,11.4,11.55,11.3,11.5,34000.0
1815,2026-08-07,85.2,90.5,84.0,85.9,31055000.0
2035,2026-08-07,0.0,0.0,0.0,0.0,0.0
2061,2026-08-07,57.2,59.8,56.0,56.2,2161000.0
2063,2026-08-07,24.0,24.1,23.9,24.1,16000.0
2064,2026-08-07,11.75,11.85,11.75,11.85,4000.0
2065,2026-08-07,32.5,33.25,32.3,33.05,70000.0
2066,2026-08-07,62.8,64.7,62.8,63.4,238000.0
2067,2026-08-07,6.41,6.41,6.41,6.41,1000.0
2070,2026-08-07,64.1,64.1,59.0,59.3,1343000.0
2073,2026-08-07,26.8,26.8,26.8,26.8,1000.0
2221,2026-08-07,46.8,47.4,45.35,46.95,154000.0
2230,2026-08-07,27.0,27.0,25.65,26.5,184000.0
2235,2026-08-07,27.7,27.7,27.7,27.7,1000.0
2596,2026-08-07,31.25,32.15,31.25,32.15,167000.0
2640,2026-08-07,146.0,146.0,144.5,144.5,7000.0
2641,2026-08-07,17.15,17.4,17.1,17.3,923000.0
2643,2026-08-07,63.7,63.9,63.2,63.8,36000.0
2718,2026-08-07,45.0,45.2,44.5,44.75,8000.0
2719,2026-08-07,21.65,21.65,21.65,21.65,4000.0
2724,2026-08-07,10.65,10.9,10.65,10.9,3000.0
2726,2026-08-07,8.63,8.75,8.61,8.68,26000.0
2729,2026-08-07,159.0,160.0,159.0,160.0,7000.0
2732,2026-08-07,63.2,64.2,63.2,64.0,14000.0
2734,2026-08-07,14.8,14.9,14.7,14.9,60000.0
2736,2026-08-07,11.6,11.65,11.4,11.5,18000.0
2740,2026-08-07,30.9,30.9,30.9,30.9,1000.0
2743,2026-08-07,56.9,57.7,56.9,57.7,65000.0
2745,2026-08-07,89.5,89.5,88.1,88.5,58000.0
2751,2026-08-07,51.9,51.9,51.5,51.5,5000.0
2752,2026-08-07,175.0,175.0,175.0,175.0,4000.0
2754,2026-08-07,70.5,72.5,70.4,71.1,86000.0
2755,2026-08-07,104.0,105.0,101.0,102.5,70000.0
2756,2026-08-07,55.6,57.8,55.6,57.0,19000.0
2916,2026-08-07,41.2,41.4,41.1,41.2,21000.0
2924,2026-08-07,17.45,17.45,15.55,16.95,13000.0
2926,2026-08-07,30.5,30.7,30.4,30.4,5000.0
2937,2026-08-07,44.9,44.9,44.15,44.9,14000.0
2941,2026-08-07,0.0,0.0,0.0,0.0,0.0
2947,2026-08-07,62.3,62.5,62.1,62.2,33000.0
2948,2026-08-07,38.55,39.8,38.5,38.65,21000.0
2949,2026-08-07,60.0,60.5,60.0,60.5,2000.0
3064,2026-08-07,0.0,0.0,0.0,0.0,0.0
3066,2026-08-07,22.65,24.4,22.55,23.95,1530000.0
3067,2026-08-07,0.0,0.0,0.0,0.0,0.0
3071,2026-08-07,26.0,26.25,25.85,26.0,106000.0
3073,2026-08-07,22.25,22.5,22.05,22.1,87000.0
3078,2026-08-07,53.5,54.3,53.4,54.1,719000.0
3081,2026-08-07,2420.0,2555.0,2275.0,2305.0,5700000.0
3083,2026-08-07,25.25,25.5,25.1,25.45,59000.0
3085,2026-08-07,11.7,11.75,11.7,11.75,5000.0
3086,2026-08-07,27.55,27.7,27.1,27.15,122000.0
3088,2026-08-07,134.0,139.5,132.0,136.5,1850000.0
3093,2026-08-07,49.15,49.15,47.05,47.4,392000.0
3095,2026-08-07,39.4,39.4,39.4,39.4,1000.0
3105,2026-08-07,384.5,394.5,359.5,366.0,23497000.0
3114,2026-08-07,37.4,39.85,36.9,38.8,5360000.0
3115,2026-08-07,9.32,9.32,9.29,9.29,3000.0
3118,2026-08-07,31.65,32.65,31.5,32.6,8000.0
3122,2026-08-07,25.05,26.7,25.0,25.0,91000.0
3128,2026-08-07,22.45,22.45,21.4,21.6,158000.0
3131,2026-08-07,2385.0,2455.0,2380.0,2385.0,873000.0
3141,2026-08-07,78.8,83.5,78.7,79.0,2958000.0
3147,2026-08-07,231.5,232.5,221.5,223.0,1874000.0
3152,2026-08-07,221.0,223.5,218.0,218.0,124000.0
3158,2026-08-07,0.0,0.0,0.0,0.0,0.0
3162,2026-08-07,66.4,66.9,62.0,62.2,1094000.0
3163,2026-08-07,702.0,745.0,668.0,671.0,6252000.0
3169,2026-08-07,104.0,106.5,102.5,102.5,100000.0
3171,2026-08-07,66.0,66.3,66.0,66.2,8000.0
3176,2026-08-07,32.5,33.75,32.2,33.7,309000.0
3178,2026-08-07,58.9,59.1,57.2,57.3,37000.0
3188,2026-08-07,23.2,23.35,23.1,23.15,163000.0
3191,2026-08-07,18.9,18.9,18.6,18.75,26000.0
3205,2026-08-07,50.0,50.0,48.55,49.25,19000.0
3206,2026-08-07,33.8,33.8,33.35,33.35,22000.0
3207,2026-08-07,41.6,42.35,41.2,41.4,183000.0
3211,2026-08-07,358.0,358.5,337.0,338.5,10889000.0
3213,2026-08-07,138.5,140.5,133.0,136.5,998000.0
3217,2026-08-07,144.0,145.0,142.0,142.0,620000.0
3218,2026-08-07,140.0,145.5,140.0,142.5,481000.0
3219,2026-08-07,76.6,78.6,69.4,69.4,1239000.0
3221,2026-08-07,48.0,49.1,46.15,46.15,3323000.0
3224,2026-08-07,35.3,35.6,34.8,35.0,23000.0
3226,2026-08-07,51.3,51.6,51.3,51.6,21000.0
3227,2026-08-07,205.5,211.0,204.5,205.5,1908000.0
3228,2026-08-07,145.0,146.5,138.0,141.5,253000.0
3230,2026-08-07,41.0,41.3,40.1,40.25,510000.0
3232,2026-08-07,19.6,19.6,19.4,19.55,8000.0
3234,2026-08-07,111.0,112.5,103.0,107.5,946000.0
3236,2026-08-07,43.9,43.95,40.75,40.9,2105000.0
3252,2026-08-07,15.85,15.9,15.85,15.85,10000.0
3259,2026-08-07,14.15,14.9,14.0,14.8,48000.0
3260,2026-08-07,427.0,437.0,413.5,416.0,19734000.0
3264,2026-08-07,211.5,219.0,206.0,207.5,9841000.0
3265,2026-08-07,157.5,159.5,153.5,153.5,623000.0
3268,2026-08-07,20.4,20.65,20.4,20.45,26000.0
3272,2026-08-07,13.8,13.95,13.8,13.85,37000.0
3276,2026-08-07,14.85,15.0,14.45,14.45,195000.0
3284,2026-08-07,21.8,22.1,21.2,21.2,323000.0
3285,2026-08-07,38.5,39.4,38.15,39.4,19000.0
3287,2026-08-07,29.3,29.8,29.3,29.6,32000.0
3288,2026-08-07,22.65,23.15,22.55,22.6,48000.0
3289,2026-08-07,142.5,143.5,137.0,138.5,1227000.0
3290,2026-08-07,55.0,55.0,53.2,53.5,455000.0
3293,2026-08-07,784.0,805.0,784.0,799.0,2521000.0
3294,2026-08-07,30.35,30.95,30.2,30.2,210000.0
3297,2026-08-07,27.0,29.05,27.0,27.5,283000.0
3303,2026-08-07,54.3,54.9,53.7,54.8,552000.0
3306,2026-08-07,43.35,44.5,43.35,43.65,123000.0
3310,2026-08-07,68.5,68.5,67.7,68.0,9000.0
3313,2026-08-07,10.3,10.4,10.25,10.3,55000.0
3317,2026-08-07,69.8,70.2,67.2,67.3,584000.0
3322,2026-08-07,11.4,11.45,11.25,11.25,385000.0
3323,2026-08-07,30.05,31.0,30.0,30.7,646000.0
3324,2026-08-07,1060.0,1075.0,1000.0,1015.0,4450000.0
3325,2026-08-07,11.85,12.0,11.85,12.0,38000.0
3332,2026-08-07,61.9,61.9,61.9,61.9,1000.0
3339,2026-08-07,40.05,41.55,37.45,37.8,2617000.0
3349,2026-08-07,22.1,23.0,21.7,23.0,54000.0
3354,2026-08-07,20.45,20.55,20.3,20.4,61000.0
3357,2026-08-07,219.0,219.5,205.0,207.0,1755000.0
3360,2026-08-07,16.25,16.6,15.95,16.05,478000.0
3362,2026-08-07,180.0,181.0,173.0,173.5,1056000.0
3363,2026-08-07,604.0,622.0,571.0,582.0,2722000.0
3372,2026-08-07,16.25,16.25,15.6,15.6,462000.0
3373,2026-08-07,16.95,17.0,16.5,16.65,113000.0
3374,2026-08-07,310.0,330.0,301.0,306.5,11964000.0
3379,2026-08-07,27.5,29.95,27.3,29.95,641000.0
3388,2026-08-07,73.2,73.5,72.1,72.6,270000.0
3390,2026-08-07,23.0,23.25,22.55,22.7,428000.0
3402,2026-08-07,129.5,130.0,125.0,126.0,415000.0
3430,2026-08-07,118.0,118.0,109.5,109.5,537000.0
