symbol,top10_main_force_buy_strength,top10_main_force_net_buy,top10_main_force_buy_rank,branch_main_force_buy_streak_days,foreign_buy_streak_days,investment_trust_buy_streak_days,dealer_buy_streak_days,foreign_net_buy,investment_trust_net_buy,dealer_net_buy,chip_data_date,chip_data_source,chip_data_source_status,top10_main_force_brokers,branch_main_force_leader,top10_main_force_buy_strength_proxy,institutional_main_force_strength_proxy
0050,,,,,2,5,0,55359860,4604000,-82996874,2026-08-03,TWSE T86 official,official-only,,,41.8,41.8
0051,,,,,1,0,2,30,0,806,2026-08-03,TWSE T86 official,official-only,,,40.0,40.0
0052,,,,,0,0,1,-4716329,0,871599,2026-08-03,TWSE T86 official,official-only,,,0.0,0.0
0053,,,,,0,0,1,-15992,0,44056,2026-08-03,TWSE T86 official,official-only,,,40.0,40.0
0055,,,,,0,0,1,-254818,0,223479,2026-08-03,TWSE T86 official,official-only,,,0.0,0.0
0056,,,,,3,1,0,9309736,300000,-1981626,2026-08-03,TWSE T86 official,official-only,,,41.7,41.7
0057,,,,,0,0,0,-992,0,-4000,2026-08-03,TWSE T86 official,official-only,,,0.0,0.0
0061,,,,,0,0,1,-739000,0,600888,2026-08-03,TWSE T86 official,official-only,,,0.0,0.0
1101,,,,,0,5,0,-23554419,4000,-213056,2026-08-03,TWSE T86 official,official-only,,,0.0,0.0
1102,,,,,0,0,0,-34063,-2014879,-175000,2026-08-03,TWSE T86 official,official-only,,,0.0,0.0
1103,,,,,0,0,0,-97312,0,-30000,2026-08-03,TWSE T86 official,official-only,,,0.0,0.0
1104,,,,,0,1,0,-145955,4000,-39003,2026-08-03,TWSE T86 official,official-only,,,0.0,0.0
1108,,,,,4,0,0,16000,0,-15000,2026-08-03,TWSE T86 official,official-only,,,40.0,40.0
1109,,,,,0,0,0,-6000,0,-21190,2026-08-03,TWSE T86 official,official-only,,,0.0,0.0
1110,,,,,6,0,0,20000,0,-14000,2026-08-03,TWSE T86 official,official-only,,,40.0,40.0
1201,,,,,0,0,0,-1776,0,-17000,2026-08-03,TWSE T86 official,official-only,,,0.0,0.0
1203,,,,,2,0,0,10000,0,-4000,2026-08-03,TWSE T86 official,official-only,,,40.0,40.0
