symbol,top10_main_force_buy_strength,top10_main_force_net_buy,top10_main_force_buy_rank,branch_main_force_buy_streak_days,foreign_buy_streak_days,investment_trust_buy_streak_days,dealer_buy_streak_days,foreign_net_buy,investment_trust_net_buy,dealer_net_buy,chip_data_date,chip_data_source,chip_data_source_status,top10_main_force_brokers,branch_main_force_leader,top10_main_force_buy_strength_proxy,institutional_main_force_strength_proxy
5258,,,,,1,0,0,133015,0,0,2026-07-31,TWSE T86 official,official-only,,,40.0,40.0
5269,,,,,0,1,1,-15275,40000,23240,2026-07-31,TWSE T86 official,official-only,,,40.0,40.0
5283,,,,,2,0,0,50000,0,0,2026-07-31,TWSE T86 official,official-only,,,40.0,40.0
5284,,,,,1,0,1,137000,0,9392,2026-07-31,TWSE T86 official,official-only,,,40.0,40.0
5285,,,,,0,0,1,-316000,0,55425,2026-07-31,TWSE T86 official,official-only,,,0.0,0.0
5288,,,,,0,5,0,-69000,4000,-5900,2026-07-31,TWSE T86 official,official-only,,,0.0,0.0
5292,,,,,1,0,1,38010,0,17,2026-07-31,TWSE T86 official,official-only,,,40.0,40.0
5306,,,,,0,0,2,-29000,0,1000,2026-07-31,TWSE T86 official,official-only,,,0.0,0.0
5388,,,,,1,0,0,181711,0,-62842,2026-07-31,TWSE T86 official,official-only,,,40.0,40.0
5434,,,,,3,1,2,331395,38117,7309,2026-07-31,TWSE T86 official,official-only,,,40.1,40.1
5469,,,,,0,3,1,-387321,4000,62334,2026-07-31,TWSE T86 official,official-only,,,0.0,0.0
5471,,,,,0,0,1,-715977,0,17548,2026-07-31,TWSE T86 official,official-only,,,0.0,0.0
5484,,,,,0,0,1,-12000,0,1000,2026-07-31,TWSE T86 official,official-only,,,0.0,0.0
5515,,,,,0,0,0,-26810,0,-27819,2026-07-31,TWSE T86 official,official-only,,,0.0,0.0
5519,,,,,4,0,0,70000,0,-5000,2026-07-31,TWSE T86 official,official-only,,,40.0,40.0
5521,,,,,0,0,1,-468000,0,5000,2026-07-31,TWSE T86 official,official-only,,,0.0,0.0
5522,,,,,0,3,2,-96467,2000,52000,2026-07-31,TWSE T86 official,official-only,,,0.0,0.0
5525,,,,,1,0,2,1000,0,3000,2026-07-31,TWSE T86 official,official-only,,,40.0,40.0
5531,,,,,6,0,1,142000,0,8000,2026-07-31,TWSE T86 official,official-only,,,40.0,40.0
5533,,,,,3,0,1,33000,0,2000,2026-07-31,TWSE T86 official,official-only,,,40.0,40.0
5534,,,,,3,0,0,25372,0,-11742,2026-07-31,TWSE T86 official,official-only,,,40.0,40.0
5538,,,,,5,0,2,5000,0,2000,2026-07-31,TWSE T86 official,official-only,,,40.0,40.0
5546,,,,,1,0,0,3000,0,0,2026-07-31,TWSE T86 official,official-only,,,40.0,40.0
5607,,,,,0,3,2,-74578,2000,10000,2026-07-31,TWSE T86 official,official-only,,,0.0,0.0
5608,,,,,2,0,2,334999,0,2000,2026-07-31,TWSE T86 official,official-only,,,40.1,40.1
5706,,,,,0,0,0,-35930,0,0,2026-07-31,TWSE T86 official,official-only,,,0.0,0.0
5871,,,,,6,1,2,542726,34002,13321,2026-07-31,TWSE T86 official,official-only,,,40.1,40.1
5876,,,,,6,1,3,6486283,10000,167000,2026-07-31,TWSE T86 official,official-only,,,41.3,41.3
5880,0.1,46257,2,2,7,6,0,25973950,844632,-275822,2026-07-30,TWSE T86 official + HiStock branch,official+broker,"台灣摩根士丹利、美林、花旗環球、新加坡商瑞銀、土銀、摩根大通、元大、凱基-台北、港商野村1,3371,33626.49元大-員林14591-57726.76永豐金、群益金鼎-新竹",台灣摩根士丹利,45.3,45.3
5906,,,,,1,0,1,2000,0,1000,2026-07-31,TWSE T86 official,official-only,,,40.0,40.0
5907,,,,,0,0,1,-43000,0,1000,2026-07-31,TWSE T86 official,official-only,,,0.0,0.0
6005,,,,,1,6,0,2797772,21000,0,2026-07-31,TWSE T86 official,official-only,,,40.6,40.6
6024,,,,,2,1,1,414425,6000,4000,2026-07-31,TWSE T86 official,official-only,,,40.1,40.1
6108,,,,,1,0,1,140063,0,3000,2026-07-31,TWSE T86 official,official-only,,,40.0,40.0
6112,,,,,3,0,1,45024,0,821,2026-07-31,TWSE T86 official,official-only,,,40.0,40.0
6115,,,,,0,0,1,-21000,0,12000,2026-07-31,TWSE T86 official,official-only,,,0.0,0.0
6116,,,,,0,0,2,-8932857,0,95433,2026-07-31,TWSE T86 official,official-only,,,0.0,0.0
6117,,,,,1,0,1,19622,0,2158,2026-07-31,TWSE T86 official,official-only,,,40.0,40.0
