symbol,top10_main_force_buy_strength,top10_main_force_net_buy,top10_main_force_buy_rank,branch_main_force_buy_streak_days,foreign_buy_streak_days,investment_trust_buy_streak_days,dealer_buy_streak_days,foreign_net_buy,investment_trust_net_buy,dealer_net_buy,chip_data_date,chip_data_source,chip_data_source_status,top10_main_force_brokers,branch_main_force_leader,top10_main_force_buy_strength_proxy,institutional_main_force_strength_proxy
0050,,,,,0,10,1,-13975027,2514000,5712598,2026-07-23,TWSE T86 official,official-only,,,0.0,0.0
0051,,,,,1,0,0,30,0,-4944,2026-07-23,TWSE T86 official,official-only,,,0.0,0.0
0052,,,,,4,0,2,2897825,0,27127,2026-07-23,TWSE T86 official,official-only,,,40.6,40.6
0053,,,,,0,0,0,-991,0,-3853,2026-07-23,TWSE T86 official,official-only,,,0.0,0.0
0055,,,,,0,0,0,-16000,0,-15199,2026-07-23,TWSE T86 official,official-only,,,0.0,0.0
0056,,,,,0,0,2,-1279559,0,6198385,2026-07-23,TWSE T86 official,official-only,,,40.5,40.5
0057,,,,,0,0,0,0,0,-6417,2026-07-23,TWSE T86 official,official-only,,,0.0,0.0
0061,,,,,2,0,1,21040,0,61469,2026-07-23,TWSE T86 official,official-only,,,40.0,40.0
1101,,,,,1,0,1,1518016,-10000,55463,2026-07-23,TWSE T86 official,official-only,,,40.3,40.3
1102,,,,,3,0,0,1511270,-7470,-39648,2026-07-23,TWSE T86 official,official-only,,,40.3,40.3
1103,,,,,0,0,1,-220898,0,1000,2026-07-23,TWSE T86 official,official-only,,,0.0,0.0
1104,,,,,0,0,1,-236000,0,132,2026-07-23,TWSE T86 official,official-only,,,0.0,0.0
1108,,,,,0,0,0,-41000,0,-21000,2026-07-23,TWSE T86 official,official-only,,,0.0,0.0
1109,,,,,0,0,0,-1000,0,-407,2026-07-23,TWSE T86 official,official-only,,,0.0,0.0
1110,,,,,0,0,0,-19000,0,0,2026-07-23,TWSE T86 official,official-only,,,0.0,0.0
1201,,,,,0,0,1,-170000,0,42985,2026-07-23,TWSE T86 official,official-only,,,0.0,0.0
1203,,,,,1,0,0,8000,0,-2000,2026-07-23,TWSE T86 official,official-only,,,40.0,40.0
1210,,,,,0,0,10,-488016,0,397031,2026-07-23,TWSE T86 official,official-only,,,0.0,0.0
1215,,,,,0,0,1,-334000,0,2107,2026-07-23,TWSE T86 official,official-only,,,0.0,0.0
1216,,,,,0,10,1,-9082385,4998094,68780,2026-07-23,TWSE T86 official,official-only,,,0.0,0.0
1217,,,,,0,0,1,-37000,0,1000,2026-07-23,TWSE T86 official,official-only,,,0.0,0.0
1218,,,,,0,0,1,-945000,0,19284,2026-07-23,TWSE T86 official,official-only,,,0.0,0.0
1219,,,,,0,0,0,-531320,0,0,2026-07-23,TWSE T86 official,official-only,,,0.0,0.0
1220,,,,,0,0,0,-6000,0,0,2026-07-23,TWSE T86 official,official-only,,,0.0,0.0
1225,,,,,1,0,0,1000,0,0,2026-07-23,TWSE T86 official,official-only,,,40.0,40.0
1227,,,,,0,1,1,-884100,4000,3823,2026-07-23,TWSE T86 official,official-only,,,0.0,0.0
1229,,,,,1,0,0,378064,0,-137,2026-07-23,TWSE T86 official,official-only,,,40.1,40.1
1231,,,,,1,0,1,37000,0,117,2026-07-23,TWSE T86 official,official-only,,,40.0,40.0
1232,,,,,0,0,1,-12295,0,996,2026-07-23,TWSE T86 official,official-only,,,0.0,0.0
1233,,,,,0,0,1,-3000,0,3000,2026-07-23,TWSE T86 official,official-only,,,0.0,0.0
1234,,,,,0,0,1,-2000,0,2000,2026-07-23,TWSE T86 official,official-only,,,0.0,0.0
1235,,,,,1,0,0,2000,0,-1000,2026-07-23,TWSE T86 official,official-only,,,40.0,40.0
1236,,,,,0,0,0,-8000,0,0,2026-07-23,TWSE T86 official,official-only,,,0.0,0.0
1256,,,,,1,0,1,269,0,1000,2026-07-23,TWSE T86 official,official-only,,,40.0,40.0
1301,0.0,0,,0,2,0,1,28618349,0,257728,2026-07-23,TWSE T86 official,degraded,,,45.8,45.8
1303,0.0,8869,9,1,0,10,0,-19336325,2177097,-731620,2026-07-22,TWSE T86 official + HiStock branch,official+broker,"美商高盛、永豐金-匯立2,0902,090205.07摩根大通1,4452,780-1,335204.65統一-城中、香港上海匯豐1,2161,216206.09兆豐-忠孝72674-602204.66富邦、永豐金、中國信託、永豐金-敦南、富邦-台北、合庫、元大-民生三民、永豐金-忠孝",美商高盛,0.0,0.0
1304,,,,,0,0,2,-2090000,0,207432,2026-07-23,TWSE T86 official,official-only,,,0.0,0.0
1305,,,,,0,0,0,-614660,0,-1025,2026-07-23,TWSE T86 official,official-only,,,0.0,0.0
1307,,,,,3,0,0,170000,0,-6000,2026-07-23,TWSE T86 official,official-only,,,40.0,40.0
1308,,,,,0,0,0,-1757640,0,-9472,2026-07-23,TWSE T86 official,official-only,,,0.0,0.0
1309,,,,,2,0,0,499000,0,-13289,2026-07-23,TWSE T86 official,official-only,,,40.1,40.1
1310,,,,,0,0,3,-1552164,0,5164,2026-07-23,TWSE T86 official,official-only,,,0.0,0.0
1312,,,,,3,0,0,2792284,0,-311436,2026-07-23,TWSE T86 official,official-only,,,40.5,40.5
1313,,,,,0,0,1,-978425,0,32355,2026-07-23,TWSE T86 official,official-only,,,0.0,0.0
1314,,,,,0,0,0,-4967005,0,-210139,2026-07-23,TWSE T86 official,official-only,,,0.0,0.0
1315,,,,,0,0,1,-3000,0,1000,2026-07-23,TWSE T86 official,official-only,,,0.0,0.0
1316,,,,,0,0,1,-232000,0,22475,2026-07-23,TWSE T86 official,official-only,,,0.0,0.0
1319,,,,,0,0,0,-205000,0,-40695,2026-07-23,TWSE T86 official,official-only,,,0.0,0.0
1321,,,,,0,0,0,-2000,0,-138,2026-07-23,TWSE T86 official,official-only,,,0.0,0.0
1323,,,,,0,0,0,-7000,0,0,2026-07-23,TWSE T86 official,official-only,,,0.0,0.0
1324,,,,,3,0,0,3000,0,0,2026-07-23,TWSE T86 official,official-only,,,40.0,40.0
1325,,,,,0,0,1,-166050,0,5516,2026-07-23,TWSE T86 official,official-only,,,0.0,0.0
1326,0.0,23425,3,1,2,0,3,19835389,0,683796,2026-07-22,TWSE T86 official + HiStock branch,official+broker,台灣摩根士丹利、港商野村、美商高盛、新加坡商瑞銀、摩根大通、美林、凱基-台北、台新-敦南、群益金鼎-竹南、宏遠-館前,台灣摩根士丹利,44.0,44.0
1337,,,,,0,0,0,-106000,0,0,2026-07-23,TWSE T86 official,official-only,,,0.0,0.0
1338,,,,,0,0,0,-19000,0,0,2026-07-23,TWSE T86 official,official-only,,,0.0,0.0
1339,,,,,0,0,0,-5000,0,-1314,2026-07-23,TWSE T86 official,official-only,,,0.0,0.0
1340,,,,,0,0,0,-20000,0,0,2026-07-23,TWSE T86 official,official-only,,,0.0,0.0
1341,,,,,0,0,0,0,0,0,2026-07-23,TWSE T86 official,official-only,,,0.0,0.0
1342,,,,,0,5,0,-56493,19000,-5,2026-07-23,TWSE T86 official,official-only,,,0.0,0.0
1402,,,,,8,0,0,7181534,-25548,-306051,2026-07-23,TWSE T86 official,official-only,,,41.4,41.4
1409,,,,,0,0,0,-1538096,0,-44126,2026-07-23,TWSE T86 official,official-only,,,0.0,0.0
1410,,,,,1,0,1,13000,0,3000,2026-07-23,TWSE T86 official,official-only,,,40.0,40.0
1413,,,,,3,0,0,4000,0,0,2026-07-23,TWSE T86 official,official-only,,,40.0,40.0
1414,,,,,0,0,1,-42000,0,5000,2026-07-23,TWSE T86 official,official-only,,,0.0,0.0
1416,,,,,0,0,0,-24000,0,0,2026-07-23,TWSE T86 official,official-only,,,0.0,0.0
