symbol,top10_main_force_buy_strength,top10_main_force_net_buy,top10_main_force_buy_rank,branch_main_force_buy_streak_days,foreign_buy_streak_days,investment_trust_buy_streak_days,dealer_buy_streak_days,foreign_net_buy,investment_trust_net_buy,dealer_net_buy,chip_data_date,chip_data_source,chip_data_source_status,top10_main_force_brokers,branch_main_force_leader,top10_main_force_buy_strength_proxy,institutional_main_force_strength_proxy,official_broker_net_buy
0050,,,,,1,0,1,39055497,0,38655688,2026-09-01,TWSE T86 official,official-only,,,52.4,52.4,
0051,,,,,0,0,1,0,0,36121,2026-09-01,TWSE T86 official,official-only,,,40.0,40.0,
0052,,,,,1,0,1,10545439,0,5599818,2026-09-01,TWSE T86 official,official-only,,,42.8,42.8,
0053,,,,,0,0,1,-999,0,5510,2026-09-01,TWSE T86 official,official-only,,,40.0,40.0,
0055,,,,,3,0,0,17818,0,-111180,2026-09-01,TWSE T86 official,official-only,,,0.0,0.0,
0056,,,,,0,0,6,-752779,0,8917679,2026-09-01,TWSE T86 official,official-only,,,40.9,40.9,
0057,,,,,0,0,1,0,0,6812,2026-09-01,TWSE T86 official,official-only,,,40.0,40.0,
0061,,,,,1,0,0,58000,0,-4894,2026-09-01,TWSE T86 official,official-only,,,40.0,40.0,
1101,0.1,315822,2,2,1,0,2,22642097,-1000,912497,2026-08-31,TWSE T86 official + HiStock branch,official+broker,台灣摩根士丹利、美商高盛、美林、摩根大通、港商麥格理、台中銀-員林、台新-中港、富邦-竹北、富邦、犇亞-鑫豐,台灣摩根士丹利,44.6,44.6,0
1102,,,,,2,2,0,3065090,2156487,-240060,2026-09-01,TWSE T86 official,official-only,,,40.9,40.9,
1103,,,,,1,0,1,7170,0,3000,2026-09-01,TWSE T86 official,official-only,,,40.0,40.0,
1104,,,,,2,0,0,340880,0,-1000,2026-09-01,TWSE T86 official,official-only,,,40.1,40.1,
1108,,,,,0,0,1,-24000,0,3000,2026-09-01,TWSE T86 official,official-only,,,0.0,0.0,
1109,,,,,0,0,1,0,0,1000,2026-09-01,TWSE T86 official,official-only,,,40.0,40.0,
1110,,,,,1,0,2,7000,0,4000,2026-09-01,TWSE T86 official,official-only,,,40.0,40.0,
1201,,,,,0,0,1,-155115,0,1000,2026-09-01,TWSE T86 official,official-only,,,0.0,0.0,
1203,,,,,0,0,1,-1000,0,2000,2026-09-01,TWSE T86 official,official-only,,,40.0,40.0,
1210,,,,,0,1,2,-633116,130000,1696,2026-09-01,TWSE T86 official,official-only,,,0.0,0.0,
1213,,,,,0,0,0,-1000,0,0,2026-09-01,TWSE T86 official,official-only,,,0.0,0.0,
1215,,,,,1,0,1,37990,0,1000,2026-09-01,TWSE T86 official,official-only,,,40.0,40.0,
1216,,,,,2,0,0,3755349,-638000,-241463,2026-09-01,TWSE T86 official,official-only,,,40.6,40.6,
1217,,,,,1,0,0,11000,0,0,2026-09-01,TWSE T86 official,official-only,,,40.0,40.0,
1218,,,,,0,0,1,-190000,0,451,2026-09-01,TWSE T86 official,official-only,,,0.0,0.0,
1219,,,,,0,0,1,-127370,0,1000,2026-09-01,TWSE T86 official,official-only,,,0.0,0.0,
1220,,,,,9,0,1,9000,0,2000,2026-09-01,TWSE T86 official,official-only,,,40.0,40.0,
1225,,,,,1,0,0,24000,0,0,2026-09-01,TWSE T86 official,official-only,,,40.0,40.0,
1227,,,,,0,0,0,-1016500,0,-467,2026-09-01,TWSE T86 official,official-only,,,0.0,0.0,
1229,,,,,0,1,6,-840130,721000,11166,2026-09-01,TWSE T86 official,official-only,,,0.0,0.0,
1231,,,,,0,0,0,-75235,0,-8702,2026-09-01,TWSE T86 official,official-only,,,0.0,0.0,
1232,,,,,0,0,1,-13180,0,1000,2026-09-01,TWSE T86 official,official-only,,,0.0,0.0,
1233,,,,,0,0,1,-2000,0,1000,2026-09-01,TWSE T86 official,official-only,,,0.0,0.0,
1234,,,,,0,0,1,-2000,0,2254,2026-09-01,TWSE T86 official,official-only,,,0.0,0.0,
1235,,,,,1,0,1,3000,0,1000,2026-09-01,TWSE T86 official,official-only,,,40.0,40.0,
1236,,,,,3,0,0,51800,0,0,2026-09-01,TWSE T86 official,official-only,,,40.0,40.0,
1256,,,,,0,0,0,-24005,0,-2000,2026-09-01,TWSE T86 official,official-only,,,0.0,0.0,
1301,0.0,0,,0,6,0,2,15600036,-1032000,2499138,2026-09-01,TWSE T86 official,degraded,,,43.3,43.3,0
1303,0.0,0,,0,0,9,0,-6697232,4339000,-414739,2026-09-01,TWSE T86 official,degraded,,,0.0,0.0,0
1304,,,,,0,0,2,-413751,0,28447,2026-09-01,TWSE T86 official,official-only,,,0.0,0.0,
1305,,,,,2,0,0,289547,0,-18453,2026-09-01,TWSE T86 official,official-only,,,40.1,40.1,
1307,,,,,2,0,1,62000,-9958,4000,2026-09-01,TWSE T86 official,official-only,,,40.0,40.0,
1308,,,,,5,0,0,218304,0,-7490,2026-09-01,TWSE T86 official,official-only,,,40.0,40.0,
1309,,,,,0,0,2,-554966,0,41486,2026-09-01,TWSE T86 official,official-only,,,0.0,0.0,
1310,,,,,0,0,2,-214006,0,3505,2026-09-01,TWSE T86 official,official-only,,,0.0,0.0,
1312,0.0,0,,0,3,0,2,4228000,0,35719,2026-09-01,TWSE T86 official,degraded,,,40.8,40.8,0
1313,,,,,2,0,0,526891,0,-25077,2026-09-01,TWSE T86 official,official-only,,,40.1,40.1,
1314,,,,,2,0,0,4202249,0,-136000,2026-09-01,TWSE T86 official,official-only,,,40.8,40.8,
1315,,,,,1,0,1,3997,0,1000,2026-09-01,TWSE T86 official,official-only,,,40.0,40.0,
1316,,,,,0,0,1,-178000,0,3000,2026-09-01,TWSE T86 official,official-only,,,0.0,0.0,
1319,,,,,3,3,7,770770,101916,49000,2026-09-01,TWSE T86 official,official-only,,,40.2,40.2,
1321,,,,,1,0,0,15079,0,0,2026-09-01,TWSE T86 official,official-only,,,40.0,40.0,
1323,,,,,1,0,1,1984,0,1000,2026-09-01,TWSE T86 official,official-only,,,40.0,40.0,
