symbol,top10_main_force_buy_strength,top10_main_force_net_buy,top10_main_force_buy_rank,branch_main_force_buy_streak_days,foreign_buy_streak_days,investment_trust_buy_streak_days,dealer_buy_streak_days,foreign_net_buy,investment_trust_net_buy,dealer_net_buy,chip_data_date,chip_data_source,chip_data_source_status,top10_main_force_brokers,branch_main_force_leader,top10_main_force_buy_strength_proxy,institutional_main_force_strength_proxy,official_broker_net_buy
6591,,,,,4,0,0,38000,0,-354,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
6592,,,,,5,0,5,46231,0,2989,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
6598,,,,,2,0,3,130000,0,1000,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
6605,,,,,3,0,2,46247,0,2429,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
6606,,,,,2,0,0,33000,0,-12000,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
6614,,,,,0,0,0,-2000,0,0,2026-08-27,TWSE T86 official,official-only,,,0.0,0.0,
6625,,,,,4,0,0,26000,0,-7000,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
6641,,,,,1,0,0,1000,0,-4000,2026-08-27,TWSE T86 official,official-only,,,0.0,0.0,
6645,,,,,4,0,0,1000,0,-250,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
6655,,,,,6,0,0,2000,0,0,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
6657,,,,,2,0,0,15000,0,0,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
6658,,,,,3,0,3,68080,0,60,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
6666,,,,,0,0,0,-3000,0,0,2026-08-27,TWSE T86 official,official-only,,,0.0,0.0,
6668,,,,,2,0,2,222000,0,16470,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
6669,,,,,0,0,7,-304062,-15437,64088,2026-08-27,TWSE T86 official,official-only,,,0.0,0.0,
6670,,,,,1,1,2,289164,37000,23777,2026-08-27,TWSE T86 official,official-only,,,40.1,40.1,
6671,,,,,1,0,0,1000,0,0,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
6672,,,,,1,0,3,880609,-6000,29566,2026-08-27,TWSE T86 official,official-only,,,40.2,40.2,
6674,,,,,2,0,0,2000,0,0,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
6689,,,,,0,0,0,-7000,0,-2000,2026-08-27,TWSE T86 official,official-only,,,0.0,0.0,
6691,,,,,0,0,0,-61819,-4000,-11922,2026-08-27,TWSE T86 official,official-only,,,0.0,0.0,
6695,,,,,2,0,0,36270,0,-113,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
6698,,,,,2,0,0,2000,0,-1000,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
6706,,,,,0,0,1,-205685,0,11829,2026-08-27,TWSE T86 official,official-only,,,0.0,0.0,
6715,,,,,0,0,0,-260013,0,-8925,2026-08-27,TWSE T86 official,official-only,,,0.0,0.0,
6719,,,,,0,0,2,-15912,0,3423,2026-08-27,TWSE T86 official,official-only,,,0.0,0.0,
6722,,,,,0,0,0,-4000,0,0,2026-08-27,TWSE T86 official,official-only,,,0.0,0.0,
6742,,,,,0,0,2,-154235,0,345,2026-08-27,TWSE T86 official,official-only,,,0.0,0.0,
6743,,,,,3,0,0,35000,0,-6000,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
6753,,,,,2,0,0,487718,0,-77864,2026-08-27,TWSE T86 official,official-only,,,40.1,40.1,
6754,,,,,0,0,0,-2000,0,0,2026-08-27,TWSE T86 official,official-only,,,0.0,0.0,
6756,,,,,0,0,1,-11820,0,1000,2026-08-27,TWSE T86 official,official-only,,,0.0,0.0,
6757,,,,,0,0,3,-85000,0,997,2026-08-27,TWSE T86 official,official-only,,,0.0,0.0,
6768,,,,,7,0,0,7203,-2000,-305,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
6770,0.0,10077,6,2,0,0,0,-5072975,-29000,-211644,2026-08-27,TWSE T86 official + HiStock branch,official+broker,台灣摩根士丹利、元大、美商高盛、摩根大通、凱基-台北、元大-桃興、元大-佳里、兆豐-民生、永豐金-市政、群益金鼎-建成,台灣摩根士丹利,0.0,0.0,302
6771,,,,,0,0,2,-13000,0,610,2026-08-27,TWSE T86 official,official-only,,,0.0,0.0,
6776,,,,,0,0,0,-6000,0,-10032,2026-08-27,TWSE T86 official,official-only,,,0.0,0.0,
6781,,,,,1,0,3,29434,0,44105,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
6782,,,,,0,0,0,-100409,0,-84234,2026-08-27,TWSE T86 official,official-only,,,0.0,0.0,
6789,,,,,0,0,2,-247044,-3000,30693,2026-08-27,TWSE T86 official,official-only,,,0.0,0.0,
6790,,,,,3,0,0,17000,0,-21000,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
6792,,,,,3,0,0,17000,0,0,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
6794,,,,,0,0,0,0,0,0,2026-08-27,TWSE T86 official,official-only,,,0.0,0.0,
6796,,,,,0,0,0,-9000,0,0,2026-08-27,TWSE T86 official,official-only,,,0.0,0.0,
6799,,,,,2,0,0,28998,0,-81,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
6805,,,,,0,10,0,-85728,673000,-17538,2026-08-27,TWSE T86 official,official-only,,,40.1,40.1,
6807,,,,,2,0,0,1000,0,0,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
6830,,,,,0,4,1,-373099,150000,8866,2026-08-27,TWSE T86 official,official-only,,,0.0,0.0,
6831,,,,,0,1,3,-11471,17000,22767,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
6834,,,,,0,0,4,-155160,-1000,2178,2026-08-27,TWSE T86 official,official-only,,,0.0,0.0,
6835,,,,,6,0,0,4000,0,0,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
6838,,,,,0,0,0,-2000,0,0,2026-08-27,TWSE T86 official,official-only,,,0.0,0.0,
6854,,,,,2,0,0,18000,0,-261,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
6861,,,,,1,0,4,65000,0,22229,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
6862,,,,,3,0,0,49000,0,-484,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
6863,,,,,3,0,2,19161,0,1000,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
6869,,,,,4,0,0,40164,0,-543,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
6873,,,,,2,0,4,116699,0,1000,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
6885,,,,,0,0,2,-703590,0,11000,2026-08-27,TWSE T86 official,official-only,,,0.0,0.0,
6887,,,,,1,0,0,2000,0,-1000,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
