symbol,top10_main_force_buy_strength,top10_main_force_net_buy,top10_main_force_buy_rank,branch_main_force_buy_streak_days,foreign_buy_streak_days,investment_trust_buy_streak_days,dealer_buy_streak_days,foreign_net_buy,investment_trust_net_buy,dealer_net_buy,chip_data_date,chip_data_source,chip_data_source_status,top10_main_force_brokers,branch_main_force_leader,top10_main_force_buy_strength_proxy,institutional_main_force_strength_proxy,official_broker_net_buy
0050,,,,,0,0,0,-7138096,-1000000,-1866966,2026-09-03,TWSE T86 official,official-only,,,0.0,0.0,
0051,,,,,0,0,0,0,0,-3381,2026-09-03,TWSE T86 official,official-only,,,0.0,0.0,
0052,,,,,0,0,1,-163824,0,352724,2026-09-03,TWSE T86 official,official-only,,,40.0,40.0,
0053,,,,,1,0,0,5,0,-57849,2026-09-03,TWSE T86 official,official-only,,,0.0,0.0,
0055,,,,,0,0,0,-117978,0,-1001569,2026-09-03,TWSE T86 official,official-only,,,0.0,0.0,
0056,,,,,0,0,0,-3556910,0,-306517,2026-09-03,TWSE T86 official,official-only,,,0.0,0.0,
0057,,,,,1,0,0,3,0,-3345,2026-09-03,TWSE T86 official,official-only,,,0.0,0.0,
0061,,,,,1,0,0,56000,0,-562,2026-09-03,TWSE T86 official,official-only,,,40.0,40.0,
1101,,,,,0,2,0,-5934846,284000,-132956,2026-09-03,TWSE T86 official,official-only,,,0.0,0.0,
1102,,,,,1,4,0,4126,2803973,-81277,2026-09-03,TWSE T86 official,official-only,,,40.4,40.4,
1103,,,,,0,0,0,-62395,0,0,2026-09-03,TWSE T86 official,official-only,,,0.0,0.0,
1104,,,,,4,0,0,840719,0,-1000,2026-09-03,TWSE T86 official,official-only,,,40.2,40.2,
1108,,,,,0,0,0,-49000,0,0,2026-09-03,TWSE T86 official,official-only,,,0.0,0.0,
1109,,,,,0,0,0,-14980,0,0,2026-09-03,TWSE T86 official,official-only,,,0.0,0.0,
1110,,,,,1,0,0,22000,0,0,2026-09-03,TWSE T86 official,official-only,,,40.0,40.0,
1201,,,,,0,0,1,-142000,0,10000,2026-09-03,TWSE T86 official,official-only,,,0.0,0.0,
1203,,,,,1,0,0,2000,0,0,2026-09-03,TWSE T86 official,official-only,,,40.0,40.0,
1210,,,,,2,0,0,21546,0,-9873,2026-09-03,TWSE T86 official,official-only,,,40.0,40.0,
1213,,,,,0,0,0,-1000,0,0,2026-09-03,TWSE T86 official,official-only,,,0.0,0.0,
1215,,,,,0,0,1,-54537,0,15000,2026-09-03,TWSE T86 official,official-only,,,0.0,0.0,
1216,,,,,4,0,0,246299,-147000,-153462,2026-09-03,TWSE T86 official,official-only,,,40.0,40.0,
1217,,,,,1,0,0,77000,0,0,2026-09-03,TWSE T86 official,official-only,,,40.0,40.0,
