symbol,top10_main_force_buy_strength,top10_main_force_net_buy,top10_main_force_buy_rank,branch_main_force_buy_streak_days,foreign_buy_streak_days,investment_trust_buy_streak_days,dealer_buy_streak_days,foreign_net_buy,investment_trust_net_buy,dealer_net_buy,chip_data_date,chip_data_source,chip_data_source_status,top10_main_force_brokers,branch_main_force_leader,top10_main_force_buy_strength_proxy,institutional_main_force_strength_proxy
0050,,,,,0,2,0,-104923092,6350000,-196851488,2026-07-29,TWSE T86 official,official-only,,,0.0,0.0
0051,,,,,1,0,0,31102,0,-85392,2026-07-29,TWSE T86 official,official-only,,,0.0,0.0
0052,,,,,0,0,1,-3322646,0,3696723,2026-07-29,TWSE T86 official,official-only,,,0.0,0.0
0053,,,,,1,0,0,9019,0,-49846,2026-07-29,TWSE T86 official,official-only,,,0.0,0.0
0055,,,,,2,0,0,270057,0,-39609,2026-07-29,TWSE T86 official,official-only,,,40.0,40.0
0056,,,,,0,0,0,-15884046,0,-18050042,2026-07-29,TWSE T86 official,official-only,,,0.0,0.0
0057,,,,,1,0,0,16017,0,-36000,2026-07-29,TWSE T86 official,official-only,,,0.0,0.0
0061,,,,,0,0,5,-69000,0,157941,2026-07-29,TWSE T86 official,official-only,,,40.0,40.0
1101,0.0,0,,0,3,2,0,1455200,53000,-131928,2026-07-29,TWSE T86 official,degraded,,,40.3,40.3
1102,,,,,7,4,3,230308,45919,349413,2026-07-29,TWSE T86 official,official-only,,,40.1,40.1
1103,,,,,1,0,3,163895,0,12000,2026-07-29,TWSE T86 official,official-only,,,40.0,40.0
1104,,,,,2,0,3,69754,0,4485,2026-07-29,TWSE T86 official,official-only,,,40.0,40.0
1108,,,,,1,0,3,93100,0,2000,2026-07-29,TWSE T86 official,official-only,,,40.0,40.0
1109,,,,,3,0,4,74000,0,3125,2026-07-29,TWSE T86 official,official-only,,,40.0,40.0
1110,,,,,3,0,3,132000,0,7000,2026-07-29,TWSE T86 official,official-only,,,40.0,40.0
1201,,,,,2,0,5,317900,0,24826,2026-07-29,TWSE T86 official,official-only,,,40.1,40.1
1203,,,,,3,0,3,65200,0,1000,2026-07-29,TWSE T86 official,official-only,,,40.0,40.0
1210,,,,,1,4,10,213767,67000,189170,2026-07-29,TWSE T86 official,official-only,,,40.1,40.1
1215,,,,,2,1,1,279443,2000,9049,2026-07-29,TWSE T86 official,official-only,,,40.1,40.1
1216,,,,,2,10,5,537666,1890906,1578084,2026-07-29,TWSE T86 official,official-only,,,40.6,40.6
1217,,,,,4,0,5,387700,0,4000,2026-07-29,TWSE T86 official,official-only,,,40.1,40.1
1218,,,,,2,0,1,437800,0,13000,2026-07-29,TWSE T86 official,official-only,,,40.1,40.1
1219,,,,,4,0,4,216055,0,44000,2026-07-29,TWSE T86 official,official-only,,,40.0,40.0
1220,,,,,1,0,3,28100,0,20000,2026-07-29,TWSE T86 official,official-only,,,40.0,40.0
1225,,,,,5,0,1,106200,0,4000,2026-07-29,TWSE T86 official,official-only,,,40.0,40.0
1227,,,,,4,2,3,1871659,5000,4000,2026-07-29,TWSE T86 official,official-only,,,40.4,40.4
1229,,,,,2,4,4,901393,13000,54714,2026-07-29,TWSE T86 official,official-only,,,40.2,40.2
1231,,,,,0,0,3,-59342,0,6953,2026-07-29,TWSE T86 official,official-only,,,0.0,0.0
1232,,,,,4,0,0,105817,0,-4000,2026-07-29,TWSE T86 official,official-only,,,40.0,40.0
1233,,,,,0,0,0,-5400,0,0,2026-07-29,TWSE T86 official,official-only,,,0.0,0.0
1234,,,,,4,0,5,252585,0,14000,2026-07-29,TWSE T86 official,official-only,,,40.1,40.1
1235,,,,,5,0,1,44300,0,2000,2026-07-29,TWSE T86 official,official-only,,,40.0,40.0
1236,,,,,4,0,4,23500,0,1000,2026-07-29,TWSE T86 official,official-only,,,40.0,40.0
1256,,,,,1,0,2,71960,0,4000,2026-07-29,TWSE T86 official,official-only,,,40.0,40.0
1301,0.0,0,,0,0,0,0,-1199087,0,-186077,2026-07-29,TWSE T86 official,degraded,,,0.0,0.0
1303,0.0,0,,0,4,0,3,25498257,-14534097,2118693,2026-07-29,TWSE T86 official,degraded,,,43.0,43.0
1304,,,,,0,0,1,-342342,0,72097,2026-07-29,TWSE T86 official,official-only,,,0.0,0.0
1305,,,,,0,0,0,-450800,0,-72900,2026-07-29,TWSE T86 official,official-only,,,0.0,0.0
1307,,,,,0,0,0,-310000,0,-16859,2026-07-29,TWSE T86 official,official-only,,,0.0,0.0
1308,,,,,0,0,1,-344872,0,13850,2026-07-29,TWSE T86 official,official-only,,,0.0,0.0
1309,,,,,2,0,2,139289,0,2718,2026-07-29,TWSE T86 official,official-only,,,40.0,40.0
1310,,,,,3,0,1,3161473,0,43838,2026-07-29,TWSE T86 official,official-only,,,40.6,40.6
1312,,,,,0,0,0,-436600,0,-464709,2026-07-29,TWSE T86 official,official-only,,,0.0,0.0
1313,,,,,0,0,0,-2238601,0,-28847,2026-07-29,TWSE T86 official,official-only,,,0.0,0.0
1314,,,,,0,0,1,-3605894,0,117004,2026-07-29,TWSE T86 official,official-only,,,0.0,0.0
1315,,,,,1,0,2,17469,0,1000,2026-07-29,TWSE T86 official,official-only,,,40.0,40.0
1316,,,,,1,0,1,15600,0,8327,2026-07-29,TWSE T86 official,official-only,,,40.0,40.0
1319,,,,,3,2,0,537918,5000,-154078,2026-07-29,TWSE T86 official,official-only,,,40.1,40.1
1321,,,,,4,0,1,94000,0,11000,2026-07-29,TWSE T86 official,official-only,,,40.0,40.0
1323,,,,,4,0,0,15600,0,-3000,2026-07-29,TWSE T86 official,official-only,,,40.0,40.0
1324,,,,,1,0,0,1300,0,0,2026-07-29,TWSE T86 official,official-only,,,40.0,40.0
1325,,,,,0,0,0,-9122,0,0,2026-07-29,TWSE T86 official,official-only,,,0.0,0.0
1326,0.0,0,,0,2,2,0,1631072,2000,-713408,2026-07-29,TWSE T86 official,degraded,,,40.2,40.2
1337,,,,,1,0,1,32416,0,1000,2026-07-29,TWSE T86 official,official-only,,,40.0,40.0
1338,,,,,1,0,0,31500,0,0,2026-07-29,TWSE T86 official,official-only,,,40.0,40.0
1339,,,,,0,0,3,-1700,0,2967,2026-07-29,TWSE T86 official,official-only,,,40.0,40.0
1340,,,,,0,0,1,-14300,0,2000,2026-07-29,TWSE T86 official,official-only,,,0.0,0.0
