symbol,top10_main_force_buy_strength,top10_main_force_net_buy,top10_main_force_buy_rank,branch_main_force_buy_streak_days,foreign_buy_streak_days,investment_trust_buy_streak_days,dealer_buy_streak_days,foreign_net_buy,investment_trust_net_buy,dealer_net_buy,chip_data_date,chip_data_source,chip_data_source_status,top10_main_force_brokers,branch_main_force_leader,top10_main_force_buy_strength_proxy,institutional_main_force_strength_proxy
0050,,,,,0,1,0,-148153654,3600000,-208887397,2026-07-28,TWSE T86 official,official-only,,,0.0,0.0
0051,,,,,0,0,0,-9892,0,-89004,2026-07-28,TWSE T86 official,official-only,,,0.0,0.0
0052,,,,,0,0,0,-1560581,-350000,-20084118,2026-07-28,TWSE T86 official,official-only,,,0.0,0.0
0053,,,,,0,0,0,-8024,0,-25107,2026-07-28,TWSE T86 official,official-only,,,0.0,0.0
0055,,,,,1,0,0,255800,0,-295121,2026-07-28,TWSE T86 official,official-only,,,40.0,40.0
0056,,,,,0,1,0,-31857966,353000,-39830369,2026-07-28,TWSE T86 official,official-only,,,0.0,0.0
0057,,,,,0,0,0,-1997,0,-10000,2026-07-28,TWSE T86 official,official-only,,,0.0,0.0
0061,,,,,0,0,4,-224900,0,157975,2026-07-28,TWSE T86 official,official-only,,,0.0,0.0
1101,0.0,0,,0,2,1,2,17795221,12000,159771,2026-07-28,TWSE T86 official,degraded,,,43.6,43.6
1102,,,,,6,3,2,1601578,10000,325651,2026-07-28,TWSE T86 official,official-only,,,40.4,40.4
1103,,,,,0,0,2,-47972,0,20000,2026-07-28,TWSE T86 official,official-only,,,0.0,0.0
1104,,,,,1,1,2,235000,1000,4713,2026-07-28,TWSE T86 official,official-only,,,40.0,40.0
1108,,,,,0,0,2,-75000,0,24000,2026-07-28,TWSE T86 official,official-only,,,0.0,0.0
1109,,,,,2,0,3,40000,0,37834,2026-07-28,TWSE T86 official,official-only,,,40.0,40.0
1110,,,,,2,0,2,66000,0,3000,2026-07-28,TWSE T86 official,official-only,,,40.0,40.0
1201,,,,,1,0,4,213000,0,17000,2026-07-28,TWSE T86 official,official-only,,,40.0,40.0
1203,,,,,2,0,2,40000,0,7000,2026-07-28,TWSE T86 official,official-only,,,40.0,40.0
1210,,,,,0,3,10,-371646,61000,190377,2026-07-28,TWSE T86 official,official-only,,,0.0,0.0
1215,,,,,1,0,0,255725,0,-1573,2026-07-28,TWSE T86 official,official-only,,,40.1,40.1
1216,,,,,1,10,4,780594,1764906,1853270,2026-07-28,TWSE T86 official,official-only,,,40.7,40.7
1217,,,,,3,0,4,249000,0,156000,2026-07-28,TWSE T86 official,official-only,,,40.1,40.1
1218,,,,,1,0,0,48000,0,-16000,2026-07-28,TWSE T86 official,official-only,,,40.0,40.0
1219,,,,,3,0,3,50191,0,27000,2026-07-28,TWSE T86 official,official-only,,,40.0,40.0
1220,,,,,0,0,2,-10000,0,11000,2026-07-28,TWSE T86 official,official-only,,,0.0,0.0
1225,,,,,4,0,0,59000,0,-2000,2026-07-28,TWSE T86 official,official-only,,,40.0,40.0
1227,,,,,3,1,2,1635065,1000,1000,2026-07-28,TWSE T86 official,official-only,,,40.3,40.3
1229,,,,,1,3,3,771395,1000,103175,2026-07-28,TWSE T86 official,official-only,,,40.2,40.2
