symbol,top10_main_force_buy_strength,top10_main_force_net_buy,top10_main_force_buy_rank,branch_main_force_buy_streak_days,foreign_buy_streak_days,investment_trust_buy_streak_days,dealer_buy_streak_days,foreign_net_buy,investment_trust_net_buy,dealer_net_buy,chip_data_date,chip_data_source,chip_data_source_status,top10_main_force_brokers,branch_main_force_leader,top10_main_force_buy_strength_proxy,institutional_main_force_strength_proxy
0050,,,,,1,6,1,34254143,4925000,5787479,2026-07-15,TWSE T86 official,official-only,,,48.3,48.3
0051,,,,,0,0,1,-13774,0,29060,2026-07-15,TWSE T86 official,official-only,,,40.0,40.0
0052,,,,,1,0,1,185128,0,1127721,2026-07-15,TWSE T86 official,official-only,,,40.2,40.2
0053,,,,,2,0,0,56,0,-6636,2026-07-15,TWSE T86 official,official-only,,,0.0,0.0
0055,,,,,2,0,0,93010,0,-62165,2026-07-15,TWSE T86 official,official-only,,,40.0,40.0
0056,,,,,1,0,1,8232523,0,311070,2026-07-15,TWSE T86 official,official-only,,,41.7,41.7
0057,,,,,3,0,0,2,0,-3129,2026-07-15,TWSE T86 official,official-only,,,0.0,0.0
0061,,,,,1,0,2,62100,0,102976,2026-07-15,TWSE T86 official,official-only,,,40.0,40.0
1101,,,,,1,0,0,11474610,-80000,-35687,2026-07-15,TWSE T86 official,official-only,,,42.3,42.3
1102,,,,,0,9,0,-13228242,81887,-862660,2026-07-15,TWSE T86 official,official-only,,,0.0,0.0
1103,,,,,2,0,0,201212,0,-31000,2026-07-15,TWSE T86 official,official-only,,,40.0,40.0
1104,,,,,1,0,0,19000,-1000,-60339,2026-07-15,TWSE T86 official,official-only,,,0.0,0.0
1108,,,,,1,0,0,89987,0,0,2026-07-15,TWSE T86 official,official-only,,,40.0,40.0
1109,,,,,2,0,0,47000,0,-4290,2026-07-15,TWSE T86 official,official-only,,,40.0,40.0
1110,,,,,2,0,0,307000,0,0,2026-07-15,TWSE T86 official,official-only,,,40.1,40.1
1201,,,,,1,0,2,75232,0,7922,2026-07-15,TWSE T86 official,official-only,,,40.0,40.0
1203,,,,,4,0,3,16000,0,2000,2026-07-15,TWSE T86 official,official-only,,,40.0,40.0
1210,,,,,1,1,10,77313,227000,278355,2026-07-15,TWSE T86 official,official-only,,,40.1,40.1
1213,,,,,0,0,0,-383,0,0,2026-07-15,TWSE T86 official,official-only,,,0.0,0.0
1215,,,,,8,0,0,30100,-3000,-6520,2026-07-15,TWSE T86 official,official-only,,,40.0,40.0
1216,,,,,1,10,10,1110549,168108,201450,2026-07-15,TWSE T86 official,official-only,,,40.3,40.3
1217,,,,,4,0,0,133000,0,0,2026-07-15,TWSE T86 official,official-only,,,40.0,40.0
1218,,,,,1,0,2,74000,0,5881,2026-07-15,TWSE T86 official,official-only,,,40.0,40.0
1219,,,,,2,0,2,415955,0,10000,2026-07-15,TWSE T86 official,official-only,,,40.1,40.1
1220,,,,,8,0,0,37000,0,-8000,2026-07-15,TWSE T86 official,official-only,,,40.0,40.0
1225,,,,,2,0,0,33000,0,0,2026-07-15,TWSE T86 official,official-only,,,40.0,40.0
1227,,,,,1,0,2,143335,0,6209,2026-07-15,TWSE T86 official,official-only,,,40.0,40.0
1229,,,,,1,10,0,725332,3000,-30058,2026-07-15,TWSE T86 official,official-only,,,40.1,40.1
1231,,,,,1,0,0,112000,0,-4000,2026-07-15,TWSE T86 official,official-only,,,40.0,40.0
1232,,,,,0,0,0,-16159,0,-2000,2026-07-15,TWSE T86 official,official-only,,,0.0,0.0
1233,,,,,0,0,0,0,0,-1000,2026-07-15,TWSE T86 official,official-only,,,0.0,0.0
1234,,,,,5,0,0,84037,0,0,2026-07-15,TWSE T86 official,official-only,,,40.0,40.0
1235,,,,,3,0,0,16000,0,0,2026-07-15,TWSE T86 official,official-only,,,40.0,40.0
1236,,,,,1,0,2,54000,0,5000,2026-07-15,TWSE T86 official,official-only,,,40.0,40.0
1256,,,,,0,0,1,-9960,0,3000,2026-07-15,TWSE T86 official,official-only,,,0.0,0.0
1301,0.0,37827,3,2,3,0,3,7161232,-2000,631314,2026-07-14,TWSE T86 official + HiStock branch,official+broker,"台灣摩根士丹利、新加坡商瑞銀、美商高盛、美林、摩根大通、元大-天母、花旗環球98298261.71元大-忠孝鼎富6927-92161.53法銀巴黎、元大-信義安和、永豐金-敦南、港商麥格理57557563.38富邦-南屯5731,357-78461.3玉山-嘉義",台灣摩根士丹利,41.5,41.5
