symbol,top10_main_force_buy_strength,top10_main_force_net_buy,top10_main_force_buy_rank,branch_main_force_buy_streak_days,foreign_buy_streak_days,investment_trust_buy_streak_days,dealer_buy_streak_days,foreign_net_buy,investment_trust_net_buy,dealer_net_buy,chip_data_date,chip_data_source,chip_data_source_status,top10_main_force_brokers,branch_main_force_leader,top10_main_force_buy_strength_proxy,institutional_main_force_strength_proxy
0050,,,,,5,0,0,35877135,0,-7802790,2026-08-14,TWSE T86 official,official-only,,,46.2,46.2
0051,,,,,10,0,2,200,0,12196,2026-08-14,TWSE T86 official,official-only,,,40.0,40.0
0052,,,,,4,0,8,3903690,-20000,4767159,2026-08-14,TWSE T86 official,official-only,,,41.3,41.3
0053,,,,,0,0,5,0,0,28000,2026-08-14,TWSE T86 official,official-only,,,40.0,40.0
0055,,,,,0,0,2,-7032,0,117771,2026-08-14,TWSE T86 official,official-only,,,40.0,40.0
0056,,,,,1,0,9,17125395,0,19257687,2026-08-14,TWSE T86 official,official-only,,,45.7,45.7
0057,,,,,0,0,0,0,0,-1749,2026-08-14,TWSE T86 official,official-only,,,0.0,0.0
0061,,,,,6,0,0,11100,0,-52086,2026-08-14,TWSE T86 official,official-only,,,0.0,0.0
1101,0.0,0,,0,1,0,0,5804732,-29000,-64499,2026-08-14,TWSE T86 official,degraded,,,41.1,41.1
1102,,,,,1,0,0,15414529,-13468,-86883,2026-08-14,TWSE T86 official,official-only,,,43.1,43.1
1103,,,,,0,0,0,-2165,0,0,2026-08-14,TWSE T86 official,official-only,,,0.0,0.0
1104,,,,,0,0,2,-467778,0,3371,2026-08-14,TWSE T86 official,official-only,,,0.0,0.0
1108,,,,,3,0,0,47000,0,0,2026-08-14,TWSE T86 official,official-only,,,40.0,40.0
1109,,,,,0,0,2,-13662,0,928,2026-08-14,TWSE T86 official,official-only,,,0.0,0.0
1110,,,,,0,0,2,-119000,0,1000,2026-08-14,TWSE T86 official,official-only,,,0.0,0.0
1201,,,,,0,0,0,-59000,0,-25000,2026-08-14,TWSE T86 official,official-only,,,0.0,0.0
1203,,,,,0,0,0,-5130,0,-2000,2026-08-14,TWSE T86 official,official-only,,,0.0,0.0
1210,,,,,0,0,0,-1322849,0,-20184,2026-08-14,TWSE T86 official,official-only,,,0.0,0.0
1213,,,,,1,0,0,1000,0,0,2026-08-14,TWSE T86 official,official-only,,,40.0,40.0
1215,,,,,0,0,7,-161601,0,3538,2026-08-14,TWSE T86 official,official-only,,,0.0,0.0
1216,,,,,10,1,0,856514,87561,-362074,2026-08-14,TWSE T86 official,official-only,,,40.1,40.1
1217,,,,,1,0,2,412001,0,61000,2026-08-14,TWSE T86 official,official-only,,,40.1,40.1
1218,,,,,0,0,1,-291780,0,57313,2026-08-14,TWSE T86 official,official-only,,,0.0,0.0
1219,,,,,2,0,0,19278,0,-2000,2026-08-14,TWSE T86 official,official-only,,,40.0,40.0
1220,,,,,0,0,0,-24000,0,0,2026-08-14,TWSE T86 official,official-only,,,0.0,0.0
1225,,,,,0,0,0,-21057,0,-1000,2026-08-14,TWSE T86 official,official-only,,,0.0,0.0
1227,,,,,0,0,0,-786834,0,-37481,2026-08-14,TWSE T86 official,official-only,,,0.0,0.0
1229,,,,,0,1,2,-466993,2000,3018,2026-08-14,TWSE T86 official,official-only,,,0.0,0.0
1231,,,,,0,0,0,-174000,0,-491,2026-08-14,TWSE T86 official,official-only,,,0.0,0.0
